Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
17001,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder,Adventure,,PSP,Alchemist,Alchemist,,,,0.0,0.03,,,0.03,,2011.0,,http://www.vgchartz.com/game/50284/otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder/?region=All,1,,/games/boxart/full_otome-wa-oanesama-ni-koi-shiteru-portable-2-jin-no-elder_933JapanFront.jpg,0.03, 
17002,Little Bears,little-bears,Simulation,E,DS,Zoo Games,B-Alive,,,,0.0,0.03,0.03,,,0.0,2010.0,,http://www.vgchartz.com/game/44852/little-bears/?region=All,1,,/games/boxart/full_1652828AmericaFrontccc.jpg,0.03,"How sweet the little baby bears in the Zoo are-if only I could take one home with me! Now you can with Little Bears for Nintendo DS! Take your baby bear home and spend the whole day together. Feed, wash, play with and rock your baby bear to sleep and they'll love you forever! With Little Bears for Nintendo DS, you get to explore a whole world of activities for you and your Little Bear!  "
17003,Monster Hunter Frontier Online: Forward 1,monster-hunter-frontier-online-forward-1,Role-Playing,,X360,Capcom,Capcom,,,,0.0,0.03,,,0.03,,2011.0,,http://www.vgchartz.com/game/50894/monster-hunter-frontier-online-forward-1/?region=All,1,,/games/boxart/default.jpg,0.03, 
17004,Check vs. Mate,check-vs-mate,Misc,T,PC,Unknown,TopWare Interactive,,,,0.0,0.03,,0.02,,0.0,2011.0,,http://www.vgchartz.com/game/45895/check-vs-mate/?region=All,1,,/games/boxart/full_battle-vs-chess_10AmericaFront.jpg,0.03,"Developed by TopWare Interactive and Gaijin Entertainment, Battle Vs Chess aims to bring the classic tabletop game into the modern age, without removing the essential qualities that have made it popular for centuries. Familiar chess pieces are brought to life as richly detailed 3D models, with players seeing the spectacular results of their actions in their quest for domination of the board.

The traditional white and black armies have evolved into an army of light with their brave knights in shining armor, pitted against the wicked dark army of demons and beastly golems. Each piece is intricately animated and as players move them around the board they spring into life, ready to wage war. If a square is occupied by an enemy unit, they enter into a brutal clash that sees the foe removed from the board in bloody combat.

Another evolutionary element Battle vs. Chess brings to the arena is the addition of the optional Action Mode. If selected, instead of entering a scripted animation when attacking, players challenge their opponent in a beat-'em-up style encounter. Using a variety of weapons, fighting techniques and combos, players must best their opponent in a fast-paced flurry of blows and special moves –adding a whole new meaning to the phrase checkmate. "
17005,D1 Professional Drift Grand Prix Series,d1-professional-drift-grand-prix-series,Racing,E10,PS2,Yuke's,Yuke's Future Media Creators,,,,0.0,0.03,0.01,0.01,,0.0,2006.0,,http://www.vgchartz.com/game/444/d1-professional-drift-grand-prix-series/?region=All,1,,/games/boxart/7885929ccc.jpg,0.03,"D1 Grand Prix recreates the exhilarating art of drifting, including all the cars, tracks, drivers and physics that has made the D1 Grand Prix the pinnacle series in drift racing. Players will be able to select from 39 American and Japanese drivers, as well as vehicles from Toyota, Honda, Mazda, Subaru, Pontiac, and more.
Playstation "
17006,Max Payne,max-payne,Action,M,GBA,Rockstar Games,Mobius Entertainment,,7.8,,0.0,0.03,0.02,0.01,,0.0,2003.0,,http://www.vgchartz.com/game/16315/max-payne/?region=All,1,,/games/boxart/full_max-payne_116AmericaFront.jpg,0.03,"Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder, and now hunted by cops and the mob. Max is a man with his back against the wall, fighting a battle he cannot hope to win. Prepare for a new breed of deep action game. Prepare for pain...
Take 2 "
17007,Timeshock! Pro Pinball,timeshock-pro-pinball,Misc,E,PS,Empire Interactive,Cunning Developments,,,,0.0,0.03,0.02,0.01,,0.0,1998.0,,http://www.vgchartz.com/game/13084/timeshock-pro-pinball/?region=All,1,,/games/boxart/9490939ccc.jpg,0.03, 
17008,Check vs. Mate,check-vs-mate,Misc,T,X360,Unknown,TopWare Interactive,,,,0.0,0.03,,0.03,,0.0,1998.0,,http://www.vgchartz.com/game/45893/check-vs-mate/?region=All,1,,/games/boxart/full_battle-vs-chess_7AmericaFront.jpg,0.03,"Developed by TopWare Interactive and Gaijin Entertainment, Battle Vs Chess aims to bring the classic tabletop game into the modern age, without removing the essential qualities that have made it popular for centuries. Familiar chess pieces are brought to life as richly detailed 3D models, with players seeing the spectacular results of their actions in their quest for domination of the board.

The traditional white and black armies have evolved into an army of light with their brave knights in shining armor, pitted against the wicked dark army of demons and beastly golems. Each piece is intricately animated and as players move them around the board they spring into life, ready to wage war. If a square is occupied by an enemy unit, they enter into a brutal clash that sees the foe removed from the board in bloody combat.

Another evolutionary element Battle vs. Chess brings to the arena is the addition of the optional Action Mode. If selected, instead of entering a scripted animation when attacking, players challenge their opponent in a beat-'em-up style encounter. Using a variety of weapons, fighting techniques and combos, players must best their opponent in a fast-paced flurry of blows and special moves –adding a whole new meaning to the phrase checkmate. "
17009,Baja: Edge of Control HD,baja-edge-of-control-hd,Racing,E,PS4,THQ Nordic,2XL Games,,,,0.0,0.03,0.02,,,0.01,2017.0,29th Jun 18,http://www.vgchartz.com/game/203188/baja-edge-of-control-hd/?region=All,1,,/games/boxart/full_707014AmericaFrontccc.jpg,0.03, 
17010,Warhammer: Mark of Chaos,warhammer-mark-of-chaos,Strategy,M,PC,Namco Bandai,Black Hole Entertainment,,,,0.0,0.03,,0.02,,0.0,2006.0,,http://www.vgchartz.com/game/31540/warhammer-mark-of-chaos/?region=All,1,,/games/boxart/full_6425881AmericaFrontccc.jpg,0.03,"""Fear me mortals, for I am the Anointed, the Favoured Son of Chaos, the Scourge of the World. The armies of the gods rally behind me, and it is by my will and by my sword that your weakling nations shall fall."" Archaon, lord of the End Times
Warhammer - Mark of Chaos gives you unprecedented control over the tactics, appearance and unit content of Chaos, Empire, Skaven and High Elf armies. Design your own personal army and take up arms against the mighty Empire. Crush your enemies beneath your feet and bring chaos to the Warhammer world. Fight your way through a huge single player epic, or bring death to your enemies online.
Make your mark.
<back of the box>  "
