,Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
0,13001,Digimon World Re:Digitize Decode,digimon-world-redigitize-decode,Role-Playing,,3DS,Namco Bandai Games,Tri-Crescendo,,,,0.0,0.09,,,0.09,,2013.0,01st Dec 18,http://www.vgchartz.com/game/74332/digimon-world-redigitize-decode/?region=All,1,,/games/boxart/full_613248JapanFrontccc.jpg,0.09, 
1,13002,Digimon World 4,digimon-world-4,Role-Playing,E,GC,Bandai,Bandai,,5.2,,0.0,0.09,0.07,0.02,,0.0,2005.0,,http://www.vgchartz.com/game/525/digimon-world-4/?region=All,1,,/games/boxart/6241010ccc.jpg,0.09,"Get ready. The Digimon are back and they’re ready for another new adventure! In Digimon World 4, a freak security breach has terminated the connection with the Real World. In the process of searching for the cause of the breach, researchers stumbled upon a mysterious new world. It's up to you, The Digital Security Guard, to investigate this new discovery. You must uncover the secrets behind the problem and return peace to the Digital World.   In this four player action RPG, you will get to play as your favorite Digmon from the TV show. Fights will take place in real-time thanks to an enhanced battle system, unlike the usual turn-taking fights. By mastering skills and techniques, you can unlock special Digivolved Digimon.
Features:
Play as the most popular Digimon from the TV series!  
Action and adventure – Digimon-style for up to 4 players!  
Featuring a new enhanced battle system, with real-time battles.  
Unlock special Digivolved Digimon by mastering skills and technique
 "
2,13003,Brain Voyage,brain-voyage,Puzzle,E,DS,Eidos Interactive,Razorback Developments,,,,0.0,0.09,0.06,0.02,,0.01,2008.0,,http://www.vgchartz.com/game/16846/brain-voyage/?region=All,1,,/games/boxart/full_5922039AmericaFrontccc.jpg,0.09,"Pack your suitcases and prepare to uncover amazing puzzles around the        world! Travel around the world solving puzzles specific to that city!        Track marine life off the coast of Cape Town, restore the ancient        mosaics of Beijing, organize the Rio carnival, uncover the amazing        secrets of the Aztec ruins and much more! Each iconic global city that        you visit has a set of 5 puzzles, ranging from the easy to the        elaborately ambitious, all designed by the award-winning genius - Dr.        Reiner Knizia. Developed by specialist DS developer Razorback        Developments, Brain Voyage, gives the player top quality puzzles while        allowing players to experience the thrill of world travel!
 

 Travel to 16 cities around the world, each with a distinct puzzle to          solve! 


 80 Puzzles – Each puzzle has 5 distinct difficulty levels to master! 


 Each puzzle is different every time you play 


 World Tour mode and 3 Random Play mode 


 Puzzles are themed round iconic global locations 


 Simple, intuitive Touch Screen controls 


 Download play lets you share puzzles with friends 


 Reiner’s introductions (and his dancing) will definitely put a smile          on your face 

Nintendo "
3,13004,Nickelodeon Kart Racers,nickelodeon-kart-racers,Racing,E,PS4,GameMill Entertainment,Solutions 2 Go,,,,0.0,0.09,0.07,,,0.02,2018.0,09th Feb 19,http://www.vgchartz.com/game/222197/nickelodeon-kart-racers/?region=All,1,,/games/boxart/full_3926896PALFrontccc.jpg,0.09,"Hit the Slime-filled race tracks with Nickelodeon Kart Racers! Select a racer from one of your favorite Nickelodeon series, including SpongeBob, Patrick, and Sandy from SpongeBob SquarePants, Leonardo, Raphael, Michelangelo, and Donatello from Teenage Mutant Ninja Turtles, Arnold and Helga from Hey Arnold!, & Angelica, Tommy and Reptar from Rugrats. Race your friends in up to 4-player local multiplayer or check out the Battle Arena for a variety of challenges.
Hit the road with racers from some of your favorite Nickelodeon series in a variety of Slime-filled tracks in the ultimate race to win cups and upgrades for your Kart! There’s no slowing down there — shift to the next gear and challenge your friends in split-screen racing and battle modes!

Choose from 12 of the most iconic Nickelodeon characters; SpongeBob, TMNT, Hey Arnold!, Rugrats and MORE!!!
Race on 24 different Slime-filled tracks, including Bikini Bottom, NYC sewers, Tommy Pickle’s house, Arnold’s school and more!
Customizable Karts with multiple power-ups and special attacks
Awesome Co-Op and Local Multi-Player for non-stop action the entire family will love!!

Source: Publisher "
4,13005,Grand Kingdom,grand-kingdom,Role-Playing,T,PSV,NIS America,Monochrome Corporation,,,,0.0,0.09,0.02,0.01,0.05,0.01,2016.0,03rd Jul 18,http://www.vgchartz.com/game/85887/grand-kingdom/?region=All,1,,/games/boxart/full_5253042AmericaFrontccc.jpg,0.09, 
5,13006,Ford Racing 3,ford-racing-3,Racing,E,XB,2K Games,Razorworks Studios,,,,0.0,0.09,0.07,0.02,,0.0,2005.0,,http://www.vgchartz.com/game/787/ford-racing-3/?region=All,1,,/games/boxart/2691518ccc.jpg,0.09,"In less than a century, Ford and its vehicles have revolutionized all aspects of the world in which we live. Experience the thrill of racing these awesome machines ranging from the Model T to the 2005 Mustang GT to the F150 Pickup truck and test your skill on challenging courses including raceway, rally and off-road competitions.
Features:
55 beautifully detailed Ford automobiles: Ford GTs, Thunderbirds, concepts, SVT vehicles, Mustangs and trucks. 
26 highly detailed tracks with interactive scenery: road, off-road, oval tracks and more! 
Unlock a huge range of game modes, tracks and vehicles as you face each challenge. 
6 Player racing on Xbox Live for the ultimate race experience.
 "
6,13007,Rock Band 3,rock-band-3,Misc,E10,DS,MTV Games,Harmonix Music Systems,,8.5,,0.0,0.09,0.07,0.01,,0.01,2010.0,,http://www.vgchartz.com/game/29397/rock-band-3/?region=All,1,,/games/boxart/full_rock-band-3_2AmericaFront.jpg,0.09,"Harmonix keeps on a'rocking with the third edition of Rock Band. Rock Band 3 for Nintendo DS lets fans take the ultimate music video game experience on the road. The game features eight distinctive gameplay modes, including Road Challenges that focus on sets of songs and gigs over a series of new venues, and Career Mode that leads players through a goal-based career system. In addition, fans will be able to rock 25 songs from the Rock Band 3 master setlist and challenge a friend to go head-to-head with Competitive Multiplayer -- a first for a Harmonix handheld game. "
7,13008,MLB SlugFest Loaded,mlb-slugfest-loaded,Sports,T,XB,Midway Games,Point of View,,,,0.0,0.09,0.07,0.02,,0.0,2004.0,,http://www.vgchartz.com/game/1387/mlb-slugfest-loaded/?region=All,1,,/games/boxart/full_8397970AmericaFrontccc.jpg,0.09,"MLB® SlugFest®: Loaded is on-fire, in-depth, and online baseball. “On-fire” means that gamers will get more over-the-top moves, more control on the mound, more options at the plate, and more outrageous commentary from Tim Kitzrow and Jim Shorts than ever before. “In-depth” means that we’ve added arguably the deepest franchise mode ever in a baseball video game. And, “Online” means that the best multiplayer baseball game is ready for the largest multiplayer audience there is: world-wide.
This title is playable on Xbox 360™ with a software emulator. Please see http://www.xbox.com/en-us/games/backwardscompatibility.htm for more details.
 
Xbox.com "
8,13009,Sotsugyou Crossworld,sotsugyou-crossworld,Simulation,,PS,Hearty Robin,Hearty Robin,,,,0.0,0.09,,,0.08,0.01,1996.0,,http://www.vgchartz.com/game/4352/sotsugyou-crossworld/?region=All,1,,/games/boxart/full_4837492JapanFrontccc.jpg,0.09, 
9,13010,Ty the Tasmanian Tiger 3: Night of the Quinkan,ty-the-tasmanian-tiger-3-night-of-the-quinkan,Action,E10,GC,Activision,Krome Studios,,6.2,,0.0,0.09,0.07,0.02,,0.0,2005.0,,http://www.vgchartz.com/game/2555/ty-the-tasmanian-tiger-3-night-of-the-quinkan/?region=All,1,,/games/boxart/full_2247231AmericaFrontccc.jpg,0.09,"Krome Studios® is carrying on its spirit in TY the Tasmanian TigerTM 3: Night of the Quinkan, the latest instalment in the company`s distinct 3-D character action adventure series. TY the Tasmanian Tiger 3: Night of the Quinkan follows in the footsteps of its popular predecessors which have sold more than two million copies worldwide and garnered numerous awards and accolades for its high quality kid-friendly entertainment and value. Unlike any other games in its category, the TY the Tasmanian Tiger series is set in the beautiful, lush Australian Outback and features an unique array of interesting characters inspired by indigenous animals including the thought-to-be-extinct Tasmanian tiger. In this new chapter, TY and his mates face their biggest challenge yet: an otherworldly invasion by an ancient evil. TY`s next adventure takes him into a shadowy world full of dangerous creatures. TY the Tasmanian Tiger 3: Night of the Quinkan will offer new thrills as well as deliver a more immersive feel while still retaining the good-natured humor and whimsical fun the series is best known for. The game is set in a bountiful open world where players can explore and embark on a series of action packed missions and challenges filled with new characters, new vehicles and new weapons that are customizable and upgradeable - including TY`s trademark boomerang collection.Called to the Dreamtime by the Bunyip Elder, TY must help to rid their world of their sworn enemy, the Quinkan - beings of darkness that exist to suck the joy out of people`s lives. Although successful in his task of getting rid of the Quinkan, TY has unwittingly sent them on a collision course with Earth. Arriving home, tired and battle weary, TY discovers that the Quinkan have invaded and subjected everyone to their cruel occupation. With Bush Rescue disbanded, TY begins the challenging task of reforming his team and leading the fight against their dark oppressors. But time is running out. Soon the Quinkan will unleash the Quinking; supreme ruler of the dark creatures and possessor of almost unlimited power. But there is hope. Legend speaks of a magical boomerang that has the ability to vanquish the foe. Long lost in the mists of time, this may be TY`s last chance to save the planet.
Kromestudios.com "
