Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
8001,Imagine: Zookeeper,imagine-zookeeper,Simulation,E,DS,Ubisoft,Magic Pockets,,,,0.0,0.24,0.15,0.06,,0.02,2009.0,,http://www.vgchartz.com/game/37124/imagine-zookeeper/?region=All,1,,/games/boxart/full_7393897AmericaFrontccc.jpg,0.24,"Run Your Own Wildlife Reserve – Build your own animal preserve while you care for its inhabitants
Lead visitors on a fun tour of the park.
Exploration and Knowledge – Explore your preserve and count the different species as you learn what their individual needs are.
Photograph them to document the growth of baby animals.
Wild Animal Rescue – Rescue injured animals and nurse them back to health at the preserve headquarters.
Preserve the Territory – Prevent poachers from entering your preserve and learn to fight pollution to keep your park safe for all animals
Ubisoft "
8002,Grand Slam Tennis 2,grand-slam-tennis-2,Sports,E,PS3,EA Sports,EA Sports,,,,0.0,0.24,0.09,0.1,,0.04,2012.0,,http://www.vgchartz.com/game/57500/grand-slam-tennis-2/?region=All,1,,/games/boxart/full_grand-slam-tennis-2_63AmericaFront.jpg,0.24,"Feel the true excitement and emotion of championship tennis with Grand Slam Tennis 2.For the first time in HD and on the next generation platforms, experience the thrill of winning at Wimbledon and capturing all four Grand Slam tournaments. Rise to stardom with the revolutionary Total Racquet Control as you challenge a deep roster of elite players, including Djokovic, Federer, Nadal, Sharapova, Borg, and McEnroe. With immersive PlayStation Move support, authentic gameplay, ESPN broadcast integration, a deep 10-year career mode and so much more, get ready to Swing the racquet like a Grand Slam champion with Grand Slam Tennis 2.

Game Description

- All-New Total Racquet Control:  Control every shot with the right analog stick, smashing forehands, backhands, overheads, and volleys with precision, accuracy, and power. Utilize this innovative control system to take your game to the top!
- PlayStation Move Support:  An immersive motion control experience puts a racquet right in the palm of your hands. From casual players to tennis superstars, PlayStation Move gives you the chance to swing your way to victory.
- Win all four Grand Slam tournaments: Become a true Grand Slam champion by capturing all four major championships, for the first time ever in Next Gen gaming. The prestige of some of the most historic events in tennis jumps to life like never before, including the Australian Open, French Open, U.S. Open, and exclusive to EA SPORTS, Wimbledon. 
- Legends of Now and Then: Play with or against more than 20 of the greatest players to ever grace the courts, including Djokovic, Federer, Nadal, Djokovic, Borg, Sharapova, the Williams sisters, and exclusive to Grand Slam Tennis 2, seventeen time Grand Slam winner John McEnroe.
- P.R.O. AI: The playing styles and behaviors of the sport’s greatest stars are captured right down to their signature swings. Realistic tactics and strategies are your keys to success against each legend on a variety of court surfaces including clay and grass. The organic AI adapts to your game so there’s never a dull moment in Grand Slam Tennis 2.
- ESPN Grand Slam Classics:  Relive the most memorable moments in tennis. From Borg vs. McEnroe to Nadal vs. Federer, play your way through history while unlocking up to 25 amazing Grand Slam moments.
- The Deepest Tennis Experience:  Play countless hours of tennis in a deep 10-year Career mode or battle head-to-head online*. Experience a wide variety of online gameplay features, including EA SPORTS Game Face and more, keeping your experience fresh and authentic.
Source:  http://www.ea.com/grand-slam-tennis-2/ps3

 "
8003,Killer is Dead,killer-is-dead,Action,M,PS3,Xseed Games,Grasshopper Manufacture,,,,0.0,0.24,0.12,0.04,0.05,0.03,2013.0,20th Aug 18,http://www.vgchartz.com/game/71347/killer-is-dead/?region=All,1,,/games/boxart/full_3858958AmericaFrontccc.jpg,0.24, 
8004,Are You Smarter than a 5th Grader? Game Time,are-you-smarter-than-a-5th-grader-game-time,Puzzle,E,DS,THQ,THQ,,,,0.0,0.24,0.22,,,0.02,2009.0,,http://www.vgchartz.com/game/38303/are-you-smarter-than-a-5th-grader-game-time/?region=All,1,,/games/boxart/full_4822853AmericaFrontccc.jpg,0.24, 
8005,METRO 2033,metro-2033,Shooter,M,PC,THQ,4a-games,,7.5,,0.0,0.24,,0.19,,0.04,2010.0,,http://www.vgchartz.com/game/40227/metro-2033/?region=All,1,,/games/boxart/full_5366225AmericaFrontccc.jpg,0.24,"Set in the shattered subway of a post apocalyptic Moscow, Metro 2033 is a story of intensive underground survival where the fate of mankind rests in your hands.In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the earth’s surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age.The year is 2033. An entire generation has been born and raised underground, and their besieged Metro Station-Cities struggle for survival, with each other, and the mutant horrors that await outside.You are Artyom, born in the last days before the fire, but raised Underground. Having never ventured beyond your Metro Station-City limits, one fateful event sparks a desperate mission to the heart of the Metro system, to warn the remnants of mankind of a terrible impending threat. Your journey takes you from the forgotten catacombs beneath the subway to the desolate wastelands above, where your actions will determine the fate of mankind.
THQ "
8006,NASCAR 08,nascar-08,Racing,E,PS2,EA Sports,EA Tiburon,,,,0.0,0.24,0.12,0.09,,0.03,2007.0,,http://www.vgchartz.com/game/7087/nascar-08/?region=All,1,,/games/boxart/8854371ccc.jpg,0.24,"Take the wheel of NASCAR’s revolutionary new car and drive your way to the NEXTEL Cup championship. As the new rookie driver on the circuit, develop your racing skills to gain licenses and contracts from hungry owners and unlock legendary top performing cars from NASCAR’s biggest stars. Gain new experiences as you race the NASCAR Nextel Cup Series, NASCAR Busch Series, and NASCAR Craftsman Truck Series, then modify your car’s handling to fit your driving style. Share your setups with the gaming community, then challenge the field in live races with up to 15 other drivers. Experience tomorrow’s racing today in NASCAR 08.
 
Source - www.electronicarts.co.uk (publisher) "
8007,Payday 2,payday-2,Shooter,M,XOne,505 Games,Overkill Software,,,,0.0,0.23,0.14,0.07,,0.02,2015.0,08th Jan 18,http://www.vgchartz.com/game/85347/payday-2/?region=All,1,,/games/boxart/full_9488711AmericaFrontccc.png,0.23, 
8008,DC Universe Online,dc-universe-online,MMO,T,PC,Sony Online Entertainment,WBIE,,7.0,,0.0,0.23,0.16,0.06,,0.02,2011.0,15th Sep 18,http://www.vgchartz.com/game/47159/dc-universe-online/?region=All,1,,/games/boxart/full_dc-universe-online_17AmericaFront.jpg,0.23, 
8009,Hot Shots Tennis: Get a Grip,hot-shots-tennis-get-a-grip,Sports,E,PSP,Sony Computer Entertainment,Clap Hanz,,8.0,,0.0,0.23,0.08,0.0,0.13,0.02,2010.0,,http://www.vgchartz.com/game/42744/hot-shots-tennis-get-a-grip/?region=All,1,8.1,/games/boxart/full_hot-shots-tennis-get-a-grip_1AmericaFront.jpg,0.23,"Clap Hanz, creators of the critically acclaimed Hot Shots Golf series, serves yet another exciting addition to one of the most beloved gaming franchises in the industry with the Hot Shots Tennis for PSP.  Complete with Hot Shots' signature over-the-top visuals and pick-up-and-play fun, franchise fans will now be able to take the action on the go with new characters, exotic court locations, and fun-filled game modes.

Incorporating gameplay balanced with fast-paced tennis action and strategy, players can not only engage in single-player modes to soar through the ranks, but take part in challenge modes and match-up play against friends.  Mirroring the fun from Hot Shots Golf, players will also be able to customize and power-up their characters with unlockable collectibles available throughout the game. "
8010,Naruto: Path of the Ninja 2,naruto-path-of-the-ninja-2,Role-Playing,E10,DS,D3 Publisher,TOSE,,,,0.0,0.23,0.22,,,0.02,2008.0,,http://www.vgchartz.com/game/25974/naruto-path-of-the-ninja-2/?region=All,1,,/games/boxart/full_4904203AmericaFrontccc.jpg,0.23,"Lead your ninja squad to victory against all new, mysterious enemies!  TOMY Corporation and D3Publisher present NARUTO: Path of the Ninja 2, the latest in the popular RPG videogame series this fall as Naruto and his friends take on a brand-new mission. The completely original storyline will test the resolve of aspiring ninja everywhere as they use the DS Touch Screen to explore the world, solve puzzles, and unleash devastating jutsu attacks. The expanded roster features 30 playable characters from VIZ Media's hit television series NARUTO, currently running on Cartoon Network. Improvements to the battle system will give players more options than ever before as they make use of the newly-added Squad Leader and Ninja Tag systems.
* All-new, original storyline - Players guide Naruto and his squad as they attempt to complete a brand-new mission and battle never-before-seen enemies.
* Extensive character roster - With thirty different characters to choose from and the new Squad Leader and Ninja Tag systems, players have more squad-building options than ever before.
* Take command with the DS Touch Screen and microphone - Players can use the Touch Screen and microphone to explore the world, navigate menus, solve puzzles, and unleash devastating melee and jutsu attacks in the heat of battle.
* Test your reflexes - Travel across a wide variety of maps and test your reflexes with side-scrolling adventure sequences that allow players to move quickly from one area to the next.

Nintendo "
