,Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
0,4001,Championship Motocross featuring Ricky Carmichael,championship-motocross-featuring-ricky-carmichael,Racing,E,PS,THQ,Funcom,,7.5,,0.0,0.58,0.32,0.22,,0.04,1999.0,,http://www.vgchartz.com/game/338/championship-motocross-featuring-ricky-carmichael/?region=All,1,,/games/boxart/full_2370672AmericaFrontccc.jpg,0.58,"Protective gear on, boots on, helmet on - then kick down and go. Featuring motocross star Ricky Carmichael, you'll put a variety of machines through their paces. Start out on a 125cc bike, and work your way up to 500cc, on realistic race circuits and dirt tracks. 
Six gameplay modes, including a head-to-head option that allows you to take on a friend in split-screen action. You'll learn some new jumps and go faster than a greased bullet. This is one time you won't want to use your brakes . . .

Get down, get dirty and watch the mud fly!  "
1,4002,Dragon Ball Z: Chou Saiya Densetsu,dragon-ball-z-chou-saiya-densetsu,Role-Playing,,SNES,Bandai,TOSE,,,,0.0,0.58,,,0.58,,1992.0,,http://www.vgchartz.com/game/3171/dragon-ball-z-chou-saiya-densetsu/?region=All,1,,/games/boxart/full_6021853JapanFrontccc.jpg,0.58,"Dragon Ball Z: Chou Saiya Densetsu is a Role-Playing game, developed by TOSE and published by Bandai,  which was released in Japan in 1992. "
2,4003,NEKOPARA Vol. 1,nekopara-vol-1,Visual Novel,,PC,Unknown,Neko Works,,,,0.58,0.0,,,,,1992.0,08th Feb 19,http://www.vgchartz.com/game/223446/nekopara-vol-1/?region=All,1,,/games/boxart/full_7445079AmericaFrontccc.jpg,0.58, 
3,4004,Skate it,skate-it,Sports,E,Wii,Electronic Arts,EA Montreal,,6.6,,0.0,0.58,0.5,0.03,,0.04,2008.0,,http://www.vgchartz.com/game/24042/skate-it/?region=All,1,7.2,/games/boxart/full_6762668AmericaFrontccc.jpg,0.58,The Flickit revolution is now unleashed on Wii! Use the Wii Remote or        Wii Remote and Nunchuk to string together your sickest tricks for the        ultimate line. Deepen your gameplay by planting your feet on the Wii        Balance Board. Ride with the pros & rake in sponsors on your way to        becoming Thrasher Magazine's Skater of the Year. Tap into the sould and        grit of being on a board. 
4,4005,Disney Magic World 2,disney-magic-world-2,Simulation,E,3DS,Nintendo,High Horse Entertainment,,7.5,,0.0,0.58,0.07,0.25,0.23,0.02,2016.0,08th Jan 18,http://www.vgchartz.com/game/86172/disney-magic-world-2/?region=All,1,,/games/boxart/full_2207606AmericaFrontccc.jpg,0.58,"
Live your dream life in Disney Magical World 2 alongside fan-favorite        Disney characters! Adventure with Elsa and Olaf from Disney Frozen,        dance with Disney Princesses, soar with Mickey in Magical Dream parades,        and more, while snapping photos to share your memories. The magic is in        your hands, so use your wand to solve a ghostly mystery along the way!
Explore six different Disney-themed worlds from classics like Disney        Frozen, Disney The Little Mermaid, and Walt Disney Lilo & Stitch. You        can harvest a field with Winnie the Pooh, fish with Donald Duck, mine        with the Seven Dwarves, explore ghost-filled dungeons for treasures, and        more! On your journey, you’ll discover the magical town of Castleton,        where you’ll live amongst classic Disney characters. Shop with Daisy,        Minnie, and others to build and buy hundreds of Disney-themed items. You        can customize amazing outfits and even decorate your dream home and        Café. Ready to make a memory? Then dance at the Enchanted Ball or throw        a Café Party with your new Disney friends!
Source: Publisher
 "
5,4006,My Secret World by Imagine,my-secret-world-by-imagine,Misc,E,DS,Ubisoft,Ubisoft Milan,,,,0.0,0.58,0.38,0.19,,0.01,2008.0,,http://www.vgchartz.com/game/27257/my-secret-world-by-imagine/?region=All,1,,/games/boxart/full_5389087AmericaFrontccc.jpg,0.58,"In My Secret World by Imagine, you can express yourself in a fully customizable scrapbook style diary.

Know yourself better with dozens of fun quizzes and your personality star 
Socialize with your friends trading tons of customization elements, sharing secrets, taking quizzes together or playing mini-games 
Design avatars that look like you and your friends 
 "
6,4007,Fire Emblem: Seisen no Keifu,fire-emblem-seisen-no-keifu,Strategy,,SNES,Nintendo,Intelligent Systems,,,,0.0,0.58,,,0.58,,1996.0,,http://www.vgchartz.com/game/3336/fire-emblem-seisen-no-keifu/?region=All,1,,/games/boxart/full_7735142JapanFrontccc.jpg,0.58, 
7,4008,ABZU,abzu,Adventure,E,PC,505 Games,Giant Squid Studios,,,,0.58,0.0,,,,,2016.0,01st Aug 18,http://www.vgchartz.com/game/118836/abzu/?region=All,1,,/games/boxart/full_8381592AmericaFrontccc.jpg,0.58,"
Discover a lush hidden world as you descend into the heart of the ocean, where ancient secrets lie forgotten and encounters with majestic creatures await.
ABZÛ is an epic descent into the depths of the sea, where players will explore beautifully rendered ocean environments with fluid swimming controls. The experience draws inspiration from the deep innate narrative that we all carry within our subconscious: the story of ABZÛ is a universal myth that resonates across cultures. The name references a concept from the oldest mythologies; it is the combination of the two ancient words AB, meaning ocean, and ZÛ, meaning to know. ABZÛ is the ocean of wisdom.
Source: http://www.abzugame.com/
 "
8,4009,Tenchu 2: Birth of the Stealth Assassins,tenchu-2-birth-of-the-stealth-assassins,Action,M,PS,Activision,Acquire,,8.5,,0.0,0.58,0.32,0.22,,0.04,2000.0,,http://www.vgchartz.com/game/2350/tenchu-2-birth-of-the-stealth-assassins/?region=All,1,,/games/boxart/7462190ccc.jpg,0.58,"For generations, the House of Gohda has called upon the Azuma Ninja in times of need.Now, in his darkest hour, he again requests the help of the mysterious shadow warriors.When three young ninja step forward to save the House of Gohda, they find themselves ina fierce battle with a sinister force that threatens to change the course of history.Take on the role of three ninja assassins, each with their own story and fighting techniques.Create an infinite number of missions with the Mission Editor mode and share your stealthadventures by trading via memory card or over the Internet.Strike from the shadows in 29 new day and night stealth missions. Utilize a variety of new ninja weapons and items, like flaming arrows and invisibility. Conceal and search bodies, swim,and hide underwater using a bamboo reed to breathe. Live by honor. Kill by stealth.
Official site "
9,4010,Sniper Elite: Nazi Zombie Army,sniper-elite-nazi-zombie-army,Shooter,,PC,Unknown,Rebellion Games,,,,0.58,0.0,,,,,2000.0,08th Feb 19,http://www.vgchartz.com/game/223447/sniper-elite-nazi-zombie-army/?region=All,1,,/games/boxart/full_2035586AmericaFrontccc.jpg,0.58, 
10,4011,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,T,GC,Activision,Neversoft Entertainment,,9.2,,0.0,0.58,0.45,0.12,,0.02,2002.0,,http://www.vgchartz.com/game/5920/tony-hawks-pro-skater-4/?region=All,1,,/games/boxart/8103855ccc.jpg,0.58,"Drop in to the ultimate challenge
Pros challenge you to make your mark in huge free-roaming levels, taking  on 190 progressively harder goals with no time limits to hold you back.  Decide when you're ready to take on your Pro Challenge and move into  the pro ranks, where it's a whole new game. Build your skills, earn  respect, and show that you?ve got what it takes to go Pro...
Features: - All new tricks-skitch behind cars, skate on moving objects,                   and transfer over spines.-                    Play up to 8 player online in all new modes like Goal Attack                   and Capture the Flag! - 14 of the World's top pro challenge you to prove your skills.
*back cover* "
11,4012,Disgaea 4: A Promise Unforgotten,disgaea-4-a-promise-unforgotten,Role-Playing,T,PS3,NIS America,Nippon Ichi Software,,7.9,,0.0,0.58,0.27,0.11,0.14,0.06,2011.0,,http://www.vgchartz.com/game/47358/disgaea-4-a-promise-unforgotten/?region=All,1,,/games/boxart/full_disgaea-4-a-promise-unforgotten_709AmericaFront.jpg,0.58,"This latest incarnation of the popular Disgaea strategy RPG series  boasts major graphical improvements, Disgaea's most in-depth gameplay  yet, everlasting value, and the great sense of humor you've come love.  The new graphics engine truly brings Takehito Harada's characters to  life with fluid animations and high definition details. Create your own  political party and take advantage of a slew of new battle and strategic  features expanding upon the already staggering replay value. Finally,  Disgaea 4 adopts an all new map-generating mode, enabling players to  create and share custom maps with other players! You can even design  your own pirate ship to attack them with! This summer, Disgaea 4 will  relentlessly invade your gaming room! Beware!
 
NIS America, Inc. "
12,4013,Doom 3 BFG Edition,doom-3-bfg-edition,Misc,,PS3,Bethesda Softworks,Unknown,,,,0.0,0.58,0.26,0.22,,0.1,2012.0,,http://www.vgchartz.com/game/71022/doom-3-bfg-edition/?region=All,1,,/games/boxart/full_2105732AmericaFrontccc.jpg,0.58, 
13,4014,Naruto: Uzumaki Chronicles 2,naruto-uzumaki-chronicles-2,Action,T,PS2,Namco Bandai,Cavia Inc.,,,,0.0,0.58,0.28,0.22,,0.07,2007.0,,http://www.vgchartz.com/game/7265/naruto-uzumaki-chronicles-2/?region=All,1,,/games/boxart/7099970ccc.jpg,0.58,"A brand new tale arrives as Naruto faces different challenges to defend the Hidden Leaf Village and surrounding villages from the evil force trying to dominate it. An ancient organization, which was thought to have been disbanded, is alive and in search of orbs to resurrect a mechanical terror. It's now up to Naruto and all of the Hidden Leaf Genin to join forces with those of the Hidden Sand Village to stop this menace.
www.us.playstation.com
  "
14,4015,NHL 06,nhl-06,Sports,E10,PS2,EA Sports,EA Canada,,,,0.0,0.58,0.48,0.02,,0.08,2005.0,,http://www.vgchartz.com/game/5520/nhl-06/?region=All,1,,/games/boxart/4553823ccc.jpg,0.58,"Score like a superstar with NHL® 06. Express your shooting style with the all-new EA SPORTS™ Skill Stick and light the lamp with highlight reel moves such as spinoramas, toe drags, bat-ins, and between-the-legs shots. Classic deke control adds to your arsenal by letting you manoeuvre around defensemen and make goalies dizzy before snapping off dangerous shots that can ripple the twine and knock the water bottle off the net. Own the ice like in the glory days of the EA SPORTS™ classic NHL ‘94!
 
Source - www.electronicarts.co.uk (publisher) "
