Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total,Summary
6001,J-League Pro Soccer Club o Tsukurou!,j-league-pro-soccer-club-o-tsukurou,Sports,,DC,Sega,Smilebit,,,,0.0,0.36,,,0.36,0.0,1999.0,,http://www.vgchartz.com/game/3660/j-league-pro-soccer-club-o-tsukurou/?region=All,1,,/games/boxart/full_8182511JapanFrontccc.jpg,0.36,"J-League Pro Soccer Club o Tsukurou! is a Soccer Sim game, developed by Smilebit and published by Sega,  which was released in Japan in 1999. "
6002,Sword Art Online: Lost Song,sword-art-online-lost-song,Role-Playing,,PS4,Namco Bandai Games,Namco Bandai Games,,,,0.0,0.36,0.19,0.11,,0.06,2015.0,,http://www.vgchartz.com/game/85550/sword-art-online-lost-song/?region=All,1,,/games/boxart/full_1742861AmericaFrontccc.jpg,0.36, 
6003,Formula 1 Championship Edition,formula-1-championship-edition,Racing,E,PS,Sony Computer Entertainment,Bizarre Creations,,8.5,,0.0,0.36,0.06,0.04,0.23,0.02,1997.0,,http://www.vgchartz.com/game/3350/formula-1-championship-edition/?region=All,1,,/games/boxart/full_6131610AmericaFrontccc.jpg,0.36, 
6004,Trauma Center: Under the Knife,trauma-center-under-the-knife,Simulation,T,DS,Atlus,Atlus Co.,,8.0,,0.0,0.36,0.3,0.01,0.02,0.03,2005.0,,http://www.vgchartz.com/game/2525/trauma-center-under-the-knife/?region=All,1,,/games/boxart/full_7565977AmericaFrontccc.jpg,0.36,"                                     Got an urge to perform some surgery? Now you can try your hand at a        selection of complicated medical procedures in this brilliantly quirky        hospital simulation! Take the role of a brilliant, unusually skilled        young doctor working to save lives as a mysterious, deadly virus -        rumoured to be the work of terrorists - hits your emergency ward. Put        your finely honed medical skills into practice, using the touch screen        and stylus to operate on patients and cure them of their maladies. As        you learn to make the most of your unique medical skills you'll become        even more adept in the Operating Room.·Use scalpels, forceps and other medical tools to save the day· Apply antibiotic gels, laser complicated tumours, and carry out other        daunting surgical procedures· Play against the clock - certain medical challenges must be completed        within a time limit· Prove you’re the best - earn higher rankings by operating quickly and        proficiently to save your patients· Stay cool under pressure as you perform ever more complicated surgery· Every patient you operate on has a story - find yourself emotionally        involved in the welfare of your patient· In between ops, follow the unlikely twists and turns of hospital life· Striking anime-style graphics Source - www.Nintendo.com  "
6005,Shrek,shrek,Platform,T,XB,TDK Mediactive,Digital Illusions,,,,0.0,0.36,0.25,0.1,,0.01,2001.0,,http://www.vgchartz.com/game/2043/shrek/?region=All,1,,/games/boxart/1193465ccc.gif,0.36,"Every Ogre needs some peace and quiet, even Shrek!   Now that Shrek is the newly discovered hero to all of the fairy tale characters, they have over-run his""home sweet swamp"" and are begging for his help … after all, he is the strongest, meanest, and greenest ogre around. In an effort to live happily ogre after, Shrek embarks on 36 missions in four never-before-seen worlds.
 
Xbox.com "
6006,Hello Neighbor,hello-neighbor,Action,E10,PS4,Gearbox Software,Dynamic Pixels,,,,0.0,0.35,0.13,0.16,,0.06,2018.0,06th Nov 18,http://www.vgchartz.com/game/221215/hello-neighbor/?region=All,1,,/games/boxart/full_904552AmericaFrontccc.png,0.35,"In Hello Neighbor, you move into a brand-new suburb, where you discover your neighbor is hiding something in his basement. The only logical thing to do is to break into his house and figure out what he’s hiding. Your main goal is to get into the Neighbor’s basement and uncover his secrets, but be careful – the Neighbor is watching. Controlled by an advanced AI, the Neighbor assesses the player’s habits and invents unique ways to counter them.
The more you play, the more complex the Neighbor’s tactics become.
Source: Publisher "
6007,Football Manager Handheld 2010,football-manager-handheld-2010,Sports,,PSP,Sega,Sports Interactive,,6.0,,0.0,0.35,,0.27,,0.09,2009.0,,http://www.vgchartz.com/game/44232/football-manager-handheld-2010/?region=All,1,,/games/boxart/full_6052574PALFrontccc.jpg,0.35, 
6008,Dark Void,dark-void,Action,T,PS3,Capcom,Airtight Games,,6.1,,0.0,0.35,0.18,0.12,,0.05,2010.0,,http://www.vgchartz.com/game/7698/dark-void/?region=All,1,,/games/boxart/full_1291081AmericaFrontccc.jpg,0.35,"Dark Void’s unique combination of in-air and on-ground combat creates a thrilling new gameplay dynamic to the third-person shooter experience. Taking 3D action to a whole new level, Dark Void’s vertical combat system allows players to dangle from thousand foot drops as they take cover and drop enemies from above and below, bringing a whole new sense of vulnerability and thrill to the player. Defying gravity in vertical combat is only half the battle as, over time, Will is upgraded to a powerful rocket pack which allows for fierce in-air combat as gamers are able to fly through the void at unparallel speeds shooting down anything that gets in their path. Blasting away at massive bosses has never been this much fun as Dark Void™ offers a unique grip system made up of a variety of grip-based mini-games including skyjacking UFOs mid-flight.
Features

Sci-Fi Action-Adventure combines aerial and on-foot combat for unparallel 3D third-person shooter experience
Gravity-defying vertical combat system where moving up is the only way to bring your enemies down
Unique grip system that allows the players to scale walls jumping from surface to surface or hijack UFO’s while in mid-air
Explosive hover and rocket pack and special in-air moves allow players to fly with reckless abandon while performing hair-raising stunts
The Void- a mind-bending parallel world where an evil alien race called, “The Watchers” are waiting…
Mysterious thought-provoking storyline based on conspiracy theory and strange phenomenon
Main character, Will, is a regular pilot turned unlikely superhero in a wild ride to save humanity

Source - www.capcom.com (publisher) "
6009,NBA 2K17,nba-2k17,Sports,E,X360,2K Sports,Visual Concepts,,,,0.0,0.35,0.26,0.06,,0.04,2016.0,28th Mar 18,http://www.vgchartz.com/game/103820/nba-2k17/?region=All,1,,/games/boxart/full_9074342AmericaFrontccc.jpg,0.35,"
Legends Live On
Following the record-breaking launch of NBA 2K16, the NBA 2K franchise continues to stake its claim as the most authentic sports video game with NBA 2K17. As the franchise that “all sports video games should aspire to be” (GamesRadar), NBA 2K17 will take the game to new heights and continue to blur the lines between video game and reality.
Source: 2k.com
"
6010,Blasto,blasto,Action,T,PS,Sony Computer Entertainment,Unknown,,4.6,,0.0,0.35,0.2,0.13,,0.02,1998.0,,http://www.vgchartz.com/game/208/blasto/?region=All,1,,/games/boxart/9354887ccc.jpg,0.35,"BLASTO! Defender of humanity crusher of slimy alien things vaporizer of Earth's enemies - AND our last hope for survival! Great hard-core shooting action and classic platform game features in an open 3-D animated world. 

Features: 
Interactive environments with 3D rendered graphics
Voice sampling from Phil Hartman
Variety of moves and characters
 "
6011,U-Sing,u-sing,Misc,,Wii,Mindscape,Mindscape Inc.,,,,0.0,0.35,,0.32,,0.03,2009.0,,http://www.vgchartz.com/game/40400/u-sing/?region=All,1,,/games/boxart/full_u-sing_6PALFront.jpg,0.35,"ARE YOU READY TO SING HIT SONGS BY YOUR  FAVOURITE ARTISTS?
U-Sing - the Wii Karaoke game  taking Australia and Europe by storm!
Turn your lounge room into a stage,  grab hold of the mic and gather your family and friends for the  ultimate karaoke party.  U-Sing offers you a collection of  30 hit  songs ALL with their original music video clips.  Sing out loud on your  own or partner up with friends or family, its up to you!  There's a song  for everyone.
Features

30 amazing international artists including Lady Gaga, Lily Allen, The Pussycat Dolls,  Mika, Stereophonics, the Jackson 5, Barry White, the Cure and Kool and  the Gang.
Includes two Logitech Microphones so you can start singing  with family & friends right away.
7 exciting game modes  including Training, Solo, Duo, Versus, Battle, Jukebox and Medley.
State of the art speech  technology offers real feedback on your tone, pitch and rhythm - all  uniquie to the Wii!
Play the entire track list  and video clips as many times as you like using the Juke box Mode. 
Go head to head with your  friends in Versus or Battle mode and challenge them for the best score. 
Record your performances and  listen to them to see whether you've got talent!
Compatible with the  Logitech USB microphone included in all Wii singing games.
""U"" in U-Sing  representing Universal Music, the world's No. 1 music group with the  world's biggest catalogue of songs!

Visit the official U-Sing website  now to discover the line-up of artists and sample the songs.  Just click  on the link below.
http://www.u-sing-thegame.com/uk/
http://games.mindscape.com.au/Products/ProductInfo.aspx?pid=1803 "
