Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
19001,Assassin's Creed Chronicles,assassins-creed-chronicles,Action,T,XOne,Ubisoft,Climax Studios,,,,0.0,0.01,,0.01,,0.0,2016.0,03rd Jul 18,http://www.vgchartz.com/game/86357/assassins-creed-chronicles/?region=All,1,,/games/boxart/full_5434204AmericaFrontccc.jpg,0.01
19002,Battle Garegga Rev.2016,battle-garegga-rev2016,Strategy,,PS4,M2,Arc System Works,,,,0.0,0.01,,,0.01,,2016.0,20th Sep 18,http://www.vgchartz.com/game/150229/battle-garegga-rev2016/?region=All,1,,/games/boxart/full_8936101JapanFrontccc.jpg,0.01
19003,Heart no Kuni no Alice: Wonderful Twin World,heart-no-kuni-no-alice-wonderful-twin-world,Misc,,PSP,Quinrose,Unknown,,,,0.0,0.01,,,0.01,,2014.0,,http://www.vgchartz.com/game/82557/heart-no-kuni-no-alice-wonderful-twin-world/?region=All,1,,/games/boxart/default.jpg,0.01
19004,Madagascar: Escape 2 Africa,madagascar-escape-2-africa,Action,E10,PC,Activision,Aspyr,,,,0.0,0.01,0.01,,,0.0,2008.0,,http://www.vgchartz.com/game/28820/madagascar-escape-2-africa/?region=All,1,,/games/boxart/full_5115882AmericaFrontccc.jpg,0.01
19005,Icewind Dale II,icewind-dale-ii,Role-Playing,T,PC,Interplay,Black Isle Studios,,,,0.0,0.01,0.0,0.01,,0.0,2002.0,,http://www.vgchartz.com/game/16887/icewind-dale-ii/?region=All,1,,/games/boxart/full_icewind-dale-ii_579AmericaFront.jpg,0.01
19006,Wade Hixton's Counter Punch,wade-hixtons-counter-punch,Sports,T,GBA,"Destination Software, Inc",Inferno Games,,,,0.0,0.01,0.01,0.0,,0.0,2004.0,,http://www.vgchartz.com/game/13858/wade-hixtons-counter-punch/?region=All,1,,/games/boxart/2063643ccc.jpg,0.01
19007,Junjou Romanchika: Koi no Doki Doki Daisakusen,junjou-romanchika-koi-no-doki-doki-daisakusen,Adventure,,PS2,Marvelous Interactive,Marvelous Interactive,,,,0.0,0.01,,,0.01,,2008.0,,http://www.vgchartz.com/game/29415/junjou-romanchika-koi-no-doki-doki-daisakusen/?region=All,1,,/games/boxart/full_junjou-romanchika-koi-no-doki-doki-daisakusen_6JapanFront.jpg,0.01
19008,Tropico 3: Gold Edition,tropico-3-gold-edition,Strategy,T,PC,Kalypso,Haemimont Games,,,,0.0,0.01,,0.01,,0.0,2010.0,,http://www.vgchartz.com/game/48953/tropico-3-gold-edition/?region=All,1,,/games/boxart/full_tropico-3-gold-edition_797AmericaFront.jpg,0.01
19009,Shin Koihime Musou: Otome Taisen * Sangokushi Engi,shin-koihime-musou-otome-taisen-sangokushi-engi,Misc,,PS3,Views,Unknown,,,,0.0,0.01,,,0.01,,2014.0,,http://www.vgchartz.com/game/79229/shin-koihime-musou-otome-taisen-sangokushi-engi/?region=All,1,,/games/boxart/default.jpg,0.01
19010,Luxor: Pharaoh's Challenge,luxor-pharaohs-challenge,Puzzle,E,DS,Mumbo Jumbo,Mac Play,,,,0.0,0.01,,0.01,,0.0,2007.0,,http://www.vgchartz.com/game/40985/luxor-pharaohs-challenge/?region=All,1,,/games/boxart/full_6725664AmericaFrontccc.jpg,0.01
19011,Outdoors Unleashed: Alaska 3D,outdoors-unleashed-alaska-3d,Sports,T,3DS,Mastiff,Mastiff,,,,0.0,0.01,0.01,,,0.0,2011.0,,http://www.vgchartz.com/game/68664/outdoors-unleashed-alaska-3d/?region=All,1,,/games/boxart/full_7688087AmericaFrontccc.jpg,0.01
19012,Winning Post 8 2018,winning-post-8-2018,Sports,,NS,Koei Tecmo,Koei Tecmo Games,,,,0.0,0.01,,,0.01,,2018.0,30th Jul 18,http://www.vgchartz.com/game/221398/winning-post-8-2018/?region=All,1,,/games/boxart/full_9588937JapanFrontccc.jpg,0.01
19013,Gardening Mama 2: Forest Friends,gardening-mama-2-forest-friends,Simulation,E,3DS,Majesco Entertainment,Cooking Mama Ltd.,,,,0.0,0.01,,0.01,,0.0,2014.0,24th Jan 19,http://www.vgchartz.com/game/79417/gardening-mama-2-forest-friends/?region=All,1,,/games/boxart/full_9031323AmericaFrontccc.png,0.01
19014,Sebastien Loeb Rally EVO,sebastien-loeb-rally-evo,Racing,E,XOne,Square Enix,Milestone S.r.l,,,,0.0,0.01,,0.01,,0.0,2016.0,13th Sep 18,http://www.vgchartz.com/game/86136/sebastien-loeb-rally-evo/?region=All,1,,/games/boxart/full_5783262AmericaFrontccc.jpg,0.01
19015,Heart no Kuni no Alice,heart-no-kuni-no-alice,Adventure,,PS2,Prototype,Prototype,,,,0.0,0.01,,,0.01,,2008.0,,http://www.vgchartz.com/game/27144/heart-no-kuni-no-alice/?region=All,1,,/games/boxart/full_7393720JapanFrontccc.jpg,0.01
19016,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,shijyou-saikyou-no-deshi-kenichi-gekitou-ragnarok-hachikengou,Fighting,,PS2,Capcom,Capcom,,,,0.0,0.01,,,0.01,,2007.0,,http://www.vgchartz.com/game/3491/shijyou-saikyou-no-deshi-kenichi-gekitou-ragnarok-hachikengou/?region=All,1,,/games/boxart/full_shijyou-saikyou-no-deshi-kenichi-gekitou-ragnarok-hachikengou_2JapanFront.jpg,0.01
19017,Juggler DS,juggler-ds,Misc,,DS,Commseed,Commseed,,,,0.0,0.01,,,0.01,,2008.0,,http://www.vgchartz.com/game/28937/juggler-ds/?region=All,1,,/games/boxart/full_8566159JapanFrontccc.jpg,0.01
19018,The Eye of Judgment: Legends,the-eye-of-judgment-legends,Strategy,E10,PSP,Sony Computer Entertainment,SCE Japan Studio,,,,0.0,0.01,,0.0,0.01,0.0,2010.0,17th Sep 18,http://www.vgchartz.com/game/42642/the-eye-of-judgment-legends/?region=All,1,,/games/boxart/full_the-eye-of-judgment-legends_214PALFront.jpg,0.01
19019,Katekyoo Hitman Reborn! Kindan no Yami no Delta,katekyoo-hitman-reborn-kindan-no-yami-no-delta,Action,,Wii,Marvelous Interactive,Marvelous Interactive,,,,0.0,0.01,,,0.01,,2008.0,,http://www.vgchartz.com/game/28582/katekyoo-hitman-reborn-kindan-no-yami-no-delta/?region=All,1,,/games/boxart/full_9555975JapanFrontccc.jpg,0.01
