Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
1001,Rocket League,rocket-league,Sports,E,PS4,505 Games,Psyonix Studios,,8.7,,0.0,2.02,0.37,1.34,,0.31,2016.0,04th Apr 18,http://www.vgchartz.com/game/85773/rocket-league/?region=All,1,,/games/boxart/full_9866011AmericaFrontccc.jpg,2.02
1002,NBA 2K18,nba-2k18,Sports,E10,XOne,2K Sports,Visual Concepts,,7.7,,0.0,2.02,1.67,0.14,,0.21,2017.0,02nd Apr 18,http://www.vgchartz.com/game/174554/nba-2k18/?region=All,1,,/games/boxart/full_1524157AmericaFrontccc.jpg,2.02
1003,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,X360,Activision,Treyarch,,,,0.0,2.01,1.36,0.47,,0.19,2015.0,14th Jan 18,http://www.vgchartz.com/game/85732/call-of-duty-black-ops-3/?region=All,1,,/games/boxart/full_2985212AmericaFrontccc.jpg,2.01
1004,Need for Speed: The Run,need-for-speed-the-run,Racing,T,PS3,Electronic Arts,EA Black Box,,6.3,,0.0,2.01,0.58,1.05,0.03,0.35,2011.0,,http://www.vgchartz.com/game/51003/need-for-speed-the-run/?region=All,1,,/games/boxart/full_need-for-speed-the-run_770AmericaFront.jpg,2.01
1005,Dragon Ball: Xenoverse,dragon-ball-xenoverse,Fighting,T,PS4,Namco Bandai Games,Dimps Corporation,,,,2.01,0.0,,,,,2015.0,11th Sep 18,http://www.vgchartz.com/game/82944/dragon-ball-xenoverse/?region=All,1,,/games/boxart/full_2446198AmericaFrontccc.jpg,2.01
1006,Stick Fight: The Game,stick-fight-the-game,Fighting,,PC,Unknown,Landfall West,,,,2.01,0.0,,,,,2015.0,02nd Feb 19,http://www.vgchartz.com/game/223382/stick-fight-the-game/?region=All,1,,/games/boxart/full_6483102AmericaFrontccc.jpg,2.01
1007,Plague Inc: Evolved,plague-inc-evolved,Strategy,,PC,Ndemic Creations,Ndemic Creations,,,,2.0,0.0,,,,,2020.0,02nd Feb 19,http://www.vgchartz.com/game/82995/plague-inc-evolved/?region=All,1,,/games/boxart/full_447054AmericaFrontccc.jpg,2.0
1008,Dead Space,dead-space,Shooter,M,PS3,Electronic Arts,EA Redwood Shores,,8.9,,0.0,2.0,1.05,0.66,,0.29,2008.0,,http://www.vgchartz.com/game/13107/dead-space/?region=All,1,8.4,/games/boxart/full_9621972AmericaFrontccc.jpg,2.0
1009,Bloodborne,bloodborne,Role-Playing,M,PS4,Sony Computer Entertainment,From Software,,8.2,,2.0,0.0,,,,,2015.0,10th Apr 18,http://www.vgchartz.com/game/82937/bloodborne/?region=All,1,,/games/boxart/full_157272AmericaFrontccc.png,2.0
1010,Detroit: Become Human,detroit-become-human,Adventure,M,PS4,Sony Interactive Entertainment,Quantic Dream,,8.0,,2.0,0.0,,,,,2018.0,05th Jun 18,http://www.vgchartz.com/game/86175/detroit-become-human/?region=All,1,8.0,/games/boxart/full_6117415AmericaFrontccc.jpg,2.0
