Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
18001,Miyako,miyako,Adventure,,PSP,Idea Factory,Idea Factory,,,,0.0,0.02,,,0.02,,2010.0,,http://www.vgchartz.com/game/47144/miyako/?region=All,1,,/games/boxart/full_miyako_79JapanFront.jpg,0.02
18002,Motto NUGA-CEL!,motto-nuga-cel,Adventure,,PSP,Idea Factory,Lupinus,,,,0.0,0.02,,,0.02,,2010.0,,http://www.vgchartz.com/game/44212/motto-nuga-cel/?region=All,1,,/games/boxart/full_585659JapanFrontccc.jpg,0.02
18003,UFO: Trilogy,ufo-trilogy,Strategy,,PC,Unknown,Altar Interactive,,,,0.0,0.02,,0.02,,0.0,2007.0,,http://www.vgchartz.com/game/23829/ufo-trilogy/?region=All,1,,/games/boxart/8700400ccc.jpg,0.02
18004,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),yu-gi-oh-gx-the-beginning-of-destiny-jp-sales,Strategy,E,PS2,Konami,Konami,,,,0.0,0.02,,,0.02,,2008.0,,http://www.vgchartz.com/game/13209/yu-gi-oh-gx-the-beginning-of-destiny-jp-sales/?region=All,1,,/games/boxart/full_2359122AmericaFrontccc.jpg,0.02
18005,11eyes: CrossOver,11eyes-crossover,Adventure,,PSP,5pb,Genterprise,,,,0.0,0.02,,,0.02,,2010.0,,http://www.vgchartz.com/game/40853/11eyes-crossover/?region=All,1,,/games/boxart/full_6216003JapanFrontccc.jpg,0.02
18006,Super Dodge Ball,super-dodge-ball,Sports,,NG,Technos Japan Corporation,Technos,,,,0.0,0.02,,,0.02,,1996.0,,http://www.vgchartz.com/game/3629/super-dodge-ball/?region=All,1,,/games/boxart/default.jpg,0.02
18007,Gon: BakuBakuBakuBaku Adventure,gon-bakubakubakubaku-adventure,Misc,,3DS,Namco Bandai Games,Unknown,,,,0.0,0.02,,,0.02,,2012.0,,http://www.vgchartz.com/game/70812/gon-bakubakubakubaku-adventure/?region=All,1,,/games/boxart/default.jpg,0.02
18008,Eve: Burst Error R,eve-burst-error-r,Action,,PSV,Red Flagship,Unknown,,,,0.0,0.02,,,0.02,,2016.0,,http://www.vgchartz.com/game/109438/eve-burst-error-r/?region=All,1,,/games/boxart/full_9815358JapanFrontccc.jpg,0.02
18009,Style Book: Junior City,style-book-junior-city,Misc,,DS,Bandai,Bandai,,,,0.0,0.02,,,0.02,,2006.0,,http://www.vgchartz.com/game/4401/style-book-junior-city/?region=All,1,,/games/boxart/full_8567416JapanFrontccc.jpg,0.02
18010,Earth Seeker,earth-seeker,Role-Playing,,Wii,Kadokawa Shoten,Crafts & Meisters,,,,0.0,0.02,,,0.02,,2011.0,,http://www.vgchartz.com/game/46491/earth-seeker/?region=All,1,,/games/boxart/full_earth-seeker_951JapanFront.jpg,0.02
18011,Atlantic Quest,atlantic-quest,Puzzle,,PC,Avanquest,Oberon Media,,,,0.0,0.02,,0.02,,0.0,2011.0,,http://www.vgchartz.com/game/70165/atlantic-quest/?region=All,1,,/games/boxart/full_9380473AmericaFrontccc.png,0.02
18012,PopCap Hits!,popcap-hits,Misc,,X360,PopCap Games,PopCap Games,,,,0.0,0.02,,0.02,,0.0,2011.0,,http://www.vgchartz.com/game/49640/popcap-hits/?region=All,1,,/games/boxart/full_popcap-hits_100PALFront.jpg,0.02
18013,Still Life 2,still-life-2,Adventure,M,PC,Encore,GameCo Studios,,7.3,,0.0,0.02,,0.02,,0.0,2009.0,,http://www.vgchartz.com/game/34672/still-life-2/?region=All,1,,/games/boxart/full_still-life-2_745AmericaFront.jpg,0.02
18014,Dark Tales: Edgar Allan Poe's The Premature Burial,dark-tales-edgar-allan-poes-the-premature-burial,Misc,,PC,Focus Multimedia,Unknown,,,,0.0,0.02,,0.02,,0.0,2012.0,,http://www.vgchartz.com/game/70537/dark-tales-edgar-allan-poes-the-premature-burial/?region=All,1,,/games/boxart/default.jpg,0.02
18015,Trapped Dead,trapped-dead,Strategy,M,PC,Meridian4,Headup Games / Crenetic,,4.0,,0.0,0.02,,0.02,,0.0,2011.0,,http://www.vgchartz.com/game/53146/trapped-dead/?region=All,1,,/games/boxart/full_trapped-dead_796PALFront.jpg,0.02
18016,Rainbow Islands Revolution,rainbow-islands-revolution,Platform,E,DS,Codemasters,Taito Corporation,,,,0.0,0.02,0.01,0.0,,0.0,2006.0,,http://www.vgchartz.com/game/1830/rainbow-islands-revolution/?region=All,1,,/games/boxart/full_5342860AmericaFrontccc.jpg,0.02
18017,Barbie as the Princess and the Pauper,barbie-as-the-princess-and-the-pauper,Adventure,E,GBA,Knowledge Adventure,VU Games,,6.0,,0.0,0.02,0.01,0.0,,0.0,2004.0,,http://www.vgchartz.com/game/26232/barbie-as-the-princess-and-the-pauper/?region=All,1,,/games/boxart/3623315ccc.jpg,0.02
18018,Diabolik Lovers: Lost Eden,diabolik-lovers-lost-eden,Adventure,,PSV,Idea Factory,Unknown,,,,0.0,0.02,,,0.02,,2017.0,21st Feb 18,http://www.vgchartz.com/game/158975/diabolik-lovers-lost-eden/?region=All,1,,/games/boxart/full_1890627JapanFrontccc.jpg,0.02
18019,Horrid Henry: Missions of Mischief,horrid-henry-missions-of-mischief,Adventure,E,Wii,SouthPeak Interactive,Asylum Entertainment,,,,0.0,0.02,0.0,0.01,,0.0,2010.0,,http://www.vgchartz.com/game/34942/horrid-henry-missions-of-mischief/?region=All,1,,/games/boxart/full_7865202PALFrontccc.jpg,0.02
18020,Space Hulk Tactics,space-hulk-tactics,Strategy,,XOne,Focus Home Interactive,Cyanide,,,,0.0,0.02,0.02,,,0.0,2018.0,28th Jun 18,http://www.vgchartz.com/game/222249/space-hulk-tactics/?region=All,1,,/games/boxart/full_4594561AmericaFrontccc.jpg,0.02
18021,Tantei Opera: Milky Holmes,tantei-opera-milky-holmes,Adventure,,PSP,Unknown,BushiRoad,,,,0.0,0.02,,,0.02,,2010.0,,http://www.vgchartz.com/game/46447/tantei-opera-milky-holmes/?region=All,1,,/games/boxart/full_tantei-opera-milky-holmes_739JapanFront.jpg,0.02
18022,Starship Troopers,starship-troopers,Shooter,M,PC,Empire Interactive,Strangelite,,,,0.0,0.02,,0.02,,0.0,2005.0,,http://www.vgchartz.com/game/31779/starship-troopers/?region=All,1,,/games/boxart/full_8101972AmericaFrontccc.jpg,0.02
18023,Adventure Time: Pirates of the Enchiridion,adventure-time-pirates-of-the-enchiridion,Adventure,E10,PS4,Outright Games,Outright Games,,,,0.0,0.02,0.01,,,0.0,2018.0,17th Mar 19,http://www.vgchartz.com/game/221377/adventure-time-pirates-of-the-enchiridion/?region=All,1,,/games/boxart/full_6964669AmericaFrontccc.jpg,0.02
18024,Casper's Scare School: Spooky Sports Day,caspers-scare-school-spooky-sports-day,Sports,E,DS,Crave Entertainment,The Code Monkeys,,,,0.0,0.02,0.02,0.0,,0.0,2010.0,,http://www.vgchartz.com/game/31472/caspers-scare-school-spooky-sports-day/?region=All,1,,/games/boxart/full_caspers-scare-school-spooky-sports-day_8AmericaFront.jpg,0.02
18025,Entaku no Seito: The Eternal Legend,entaku-no-seito-the-eternal-legend,Misc,,PSP,Kadokawa Games,Unknown,,,,0.0,0.02,,,0.02,,2012.0,,http://www.vgchartz.com/game/71056/entaku-no-seito-the-eternal-legend/?region=All,1,,/games/boxart/default.jpg,0.02
18026,My Hero: Doctor,my-hero-doctor,Action,E10,DS,Majesco,Game Life / Dream On Studio,,,,0.0,0.02,0.02,,,0.0,2009.0,,http://www.vgchartz.com/game/35225/my-hero-doctor/?region=All,1,,/games/boxart/full_2957650AmericaFrontccc.jpg,0.02
18027,Shin Atelier Rorona: Hajimari no Monogatari,shin-atelier-rorona-hajimari-no-monogatari,Role-Playing,,3DS,Koei Tecmo,Gust,,,,0.0,0.02,,,0.02,,2015.0,06th Aug 18,http://www.vgchartz.com/game/85648/shin-atelier-rorona-hajimari-no-monogatari/?region=All,1,,/games/boxart/full_2981193JapanFrontccc.jpg,0.02
18028,WorldShift,worldshift,Strategy,T,PC,Playlogic Game Factory,Black Sea Studios,,,,0.0,0.02,0.02,,,0.0,2009.0,,http://www.vgchartz.com/game/28655/worldshift/?region=All,1,,/games/boxart/full_6927291AmericaFrontccc.jpg,0.02
18029,Mount & Blade Collection,mount-amp-blade-collection,Misc,,PC,Paradox Interactive,Unknown,,,,0.0,0.02,,0.02,,0.0,2012.0,,http://www.vgchartz.com/game/70520/mount-amp-blade-collection/?region=All,1,,/games/boxart/default.jpg,0.02
18030,Sega Ages 2500 Series Vol. 29: Monster World Complete Collection,sega-ages-2500-series-vol-29-monster-world-complete-collection,Role-Playing,,PS2,Sega,Sega,,,,0.0,0.02,,,0.02,,2007.0,,http://www.vgchartz.com/game/4265/sega-ages-2500-series-vol-29-monster-world-complete-collection/?region=All,1,,/games/boxart/full_1164730JapanFrontccc.jpg,0.02
18031,Cabela's Alaskan Adventure,cabelas-alaskan-adventure,Sports,T,PS2,Activision,Activision,,,,0.0,0.02,0.01,0.01,,0.0,2006.0,,http://www.vgchartz.com/game/286/cabelas-alaskan-adventure/?region=All,1,,/games/boxart/5731606ccc.jpg,0.02
18032,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,metal-fight-beyblade-portable-chouzetsu-tensei-vulcan-horses,Action,,PSP,Takara Tomy,Takara Tomy,,,,0.0,0.02,,,0.02,,2010.0,,http://www.vgchartz.com/game/46018/metal-fight-beyblade-portable-chouzetsu-tensei-vulcan-horses/?region=All,1,,/games/boxart/full_metal-fight-beyblade-portable-chouzetsu-tensei-vulcan-horses_9JapanFront.jpg,0.02
18033,Robotics;Notes,roboticsnotes,Visual Novel,,PSV,5pb,5pb. Games,,,,0.0,0.02,,,0.02,,2014.0,21st Nov 18,http://www.vgchartz.com/game/80563/roboticsnotes/?region=All,1,,/games/boxart/full_8576469JapanFrontccc.jpg,0.02
18034,Tropico 5,tropico-5,Simulation,T,XOne,Kalypso Media,Haemimont Games,,,,0.0,0.02,0.02,,,0.0,2016.0,20th Aug 18,http://www.vgchartz.com/game/99046/tropico-5/?region=All,1,,/games/boxart/full_9075677AmericaFrontccc.jpg,0.02
18035,Elf Bowling 1 & 2,elf-bowling-1-amp-2,Sports,T,DS,Ignition Entertainment,Ignition Entertainment,,,,0.0,0.02,0.02,,,0.0,2005.0,,http://www.vgchartz.com/game/640/elf-bowling-1-amp-2/?region=All,1,,/games/boxart/full_3582751AmericaFrontccc.jpg,0.02
18036,Aqua Panic!,aqua-panic,Puzzle,E,DS,Neko Entertainment,EKO System,,,,0.0,0.02,0.01,0.01,,,2009.0,,http://www.vgchartz.com/game/32974/aqua-panic/?region=All,1,,/games/boxart/full_7823659PALFrontccc.jpg,0.02
18037,Back to the Future: The Game,back-to-the-future-the-game,Adventure,T,XOne,Telltale Games,Telltale Games,,,,0.0,0.02,,0.02,,0.0,2015.0,23rd Apr 18,http://www.vgchartz.com/game/85975/back-to-the-future-the-game/?region=All,1,,/games/boxart/full_4960110AmericaFrontccc.jpg,0.02
18038,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,rezero-kara-hajimeru-isekai-seikatsu-death-or-kiss,Adventure,,PSV,5pb,MAGES,,,,0.0,0.02,,,0.02,,2017.0,21st Sep 18,http://www.vgchartz.com/game/166780/rezero-kara-hajimeru-isekai-seikatsu-death-or-kiss/?region=All,1,,/games/boxart/full_1909229JapanFrontccc.jpg,0.02
18039,Tycoon City: New York,tycoon-city-new-york,Strategy,T,PC,Atari,Deep Red,,6.2,,0.0,0.02,,0.02,,0.0,2006.0,,http://www.vgchartz.com/game/40457/tycoon-city-new-york/?region=All,1,,/games/boxart/full_5975855AmericaFrontccc.jpg,0.02
18040,uDraw Studio: Instant Artist,udraw-studio-instant-artist,Misc,,X360,THQ,Unknown,,,,0.0,0.02,0.01,0.01,,0.0,2011.0,,http://www.vgchartz.com/game/71279/udraw-studio-instant-artist/?region=All,1,,/games/boxart/default.jpg,0.02
18041,Fuuraiki 3,fuuraiki-3,Action,,PSV,Unknown,Unknown,,,,0.0,0.02,,,0.02,,2015.0,,http://www.vgchartz.com/game/85216/fuuraiki-3/?region=All,1,,/games/boxart/default.jpg,0.02
18042,Puzzle Chronicles,puzzle-chronicles,Puzzle,E10,DS,Konami,Infinite Interactive,,,,0.0,0.02,0.02,0.0,,0.0,2010.0,,http://www.vgchartz.com/game/33525/puzzle-chronicles/?region=All,1,,/games/boxart/full_8093934AmericaFrontccc.jpg,0.02
18043,Kadenz fermata//Akkord:fortissimo,kadenz-fermata,Adventure,,PSV,5pb,La'cryma,,,,0.0,0.02,,,0.02,,2015.0,,http://www.vgchartz.com/game/84332/kadenz-fermataakkordfortissimo/?region=All,1,,/games/boxart/full_9133530JapanFrontccc.jpg,0.02
18044,Puzzle Quest: Challenge of the Warlords,puzzle-quest-challenge-of-the-warlords,Puzzle,E10,PSP,D3 Publisher,Vicious Cycle,,,,0.0,0.02,0.01,0.0,,0.0,2007.0,,http://www.vgchartz.com/game/18207/puzzle-quest-challenge-of-the-warlords/?region=All,1,,/games/boxart/full_9605534AmericaFrontccc.jpg,0.02
18045,Arabians Lost: The Engagement on Desert,arabians-lost-the-engagement-on-desert,Adventure,,PS2,Prototype,QuinRose,,,,0.0,0.02,,,0.02,,2007.0,,http://www.vgchartz.com/game/12311/arabians-lost-the-engagement-on-desert/?region=All,1,,/games/boxart/full_2259439JapanFrontccc.jpg,0.02
