Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
8001,Imagine: Zookeeper,imagine-zookeeper,Simulation,E,DS,Ubisoft,Magic Pockets,,,,0.0,0.24,0.15,0.06,,0.02,2009.0,,http://www.vgchartz.com/game/37124/imagine-zookeeper/?region=All,1,,/games/boxart/full_7393897AmericaFrontccc.jpg,0.24
8002,Grand Slam Tennis 2,grand-slam-tennis-2,Sports,E,PS3,EA Sports,EA Sports,,,,0.0,0.24,0.09,0.1,,0.04,2012.0,,http://www.vgchartz.com/game/57500/grand-slam-tennis-2/?region=All,1,,/games/boxart/full_grand-slam-tennis-2_63AmericaFront.jpg,0.24
8003,Killer is Dead,killer-is-dead,Action,M,PS3,Xseed Games,Grasshopper Manufacture,,,,0.0,0.24,0.12,0.04,0.05,0.03,2013.0,20th Aug 18,http://www.vgchartz.com/game/71347/killer-is-dead/?region=All,1,,/games/boxart/full_3858958AmericaFrontccc.jpg,0.24
8004,Are You Smarter than a 5th Grader? Game Time,are-you-smarter-than-a-5th-grader-game-time,Puzzle,E,DS,THQ,THQ,,,,0.0,0.24,0.22,,,0.02,2009.0,,http://www.vgchartz.com/game/38303/are-you-smarter-than-a-5th-grader-game-time/?region=All,1,,/games/boxart/full_4822853AmericaFrontccc.jpg,0.24
8005,METRO 2033,metro-2033,Shooter,M,PC,THQ,4a-games,,7.5,,0.0,0.24,,0.19,,0.04,2010.0,,http://www.vgchartz.com/game/40227/metro-2033/?region=All,1,,/games/boxart/full_5366225AmericaFrontccc.jpg,0.24
8006,NASCAR 08,nascar-08,Racing,E,PS2,EA Sports,EA Tiburon,,,,0.0,0.24,0.12,0.09,,0.03,2007.0,,http://www.vgchartz.com/game/7087/nascar-08/?region=All,1,,/games/boxart/8854371ccc.jpg,0.24
8007,Payday 2,payday-2,Shooter,M,XOne,505 Games,Overkill Software,,,,0.0,0.23,0.14,0.07,,0.02,2015.0,08th Jan 18,http://www.vgchartz.com/game/85347/payday-2/?region=All,1,,/games/boxart/full_9488711AmericaFrontccc.png,0.23
8008,DC Universe Online,dc-universe-online,MMO,T,PC,Sony Online Entertainment,WBIE,,7.0,,0.0,0.23,0.16,0.06,,0.02,2011.0,15th Sep 18,http://www.vgchartz.com/game/47159/dc-universe-online/?region=All,1,,/games/boxart/full_dc-universe-online_17AmericaFront.jpg,0.23
8009,Hot Shots Tennis: Get a Grip,hot-shots-tennis-get-a-grip,Sports,E,PSP,Sony Computer Entertainment,Clap Hanz,,8.0,,0.0,0.23,0.08,0.0,0.13,0.02,2010.0,,http://www.vgchartz.com/game/42744/hot-shots-tennis-get-a-grip/?region=All,1,8.1,/games/boxart/full_hot-shots-tennis-get-a-grip_1AmericaFront.jpg,0.23
8010,Naruto: Path of the Ninja 2,naruto-path-of-the-ninja-2,Role-Playing,E10,DS,D3 Publisher,TOSE,,,,0.0,0.23,0.22,,,0.02,2008.0,,http://www.vgchartz.com/game/25974/naruto-path-of-the-ninja-2/?region=All,1,,/games/boxart/full_4904203AmericaFrontccc.jpg,0.23
