Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
3001,Ridge Racer,ridge-racer,Racing,E,PS,Namco,Namco,,9.0,,0.0,0.79,,,0.74,0.05,1995.0,,http://www.vgchartz.com/game/1899/ridge-racer/?region=All,1,,/games/boxart/full_6154805AmericaFrontccc.jpg,0.79
3002,All Star Cheer Squad,all-star-cheer-squad,Sports,E,Wii,THQ,Gorilla Systems,,,,0.0,0.79,0.43,0.29,,0.08,2008.0,,http://www.vgchartz.com/game/19924/all-star-cheer-squad/?region=All,1,,/games/boxart/full_6083287AmericaFrontccc.jpg,0.79
3003,Dead Island: Riptide,dead-island-riptide,Misc,M,X360,Deep Silver,Techland,,5.6,,0.0,0.79,0.44,0.27,0.01,0.07,2013.0,15th Mar 18,http://www.vgchartz.com/game/70789/dead-island-riptide/?region=All,1,,/games/boxart/full_4976933AmericaFrontccc.jpg,0.79
3004,Harvest Moon: A Wonderful Life,harvest-moon-a-wonderful-life,Role-Playing,E,GC,Natsume,Marvelous Interactive,,8.2,,0.0,0.79,0.61,0.16,,0.02,2004.0,,http://www.vgchartz.com/game/6294/harvest-moon-a-wonderful-life/?region=All,1,,/games/boxart/2879213ccc.jpg,0.79
3005,Momotarou Dentetsu 7,momotarou-dentetsu-7,Simulation,,PS,Hudson Entertainment,Hudson Soft,,,,0.0,0.79,,,0.74,0.05,1997.0,,http://www.vgchartz.com/game/3823/momotarou-dentetsu-7/?region=All,1,,/games/boxart/full_5834575JapanFrontccc.jpg,0.79
3006,Darksiders II,darksiders-ii,Action-Adventure,M,X360,THQ,Vigil Games,,8.6,,0.0,0.79,0.45,0.27,0.0,0.07,2012.0,07th Feb 18,http://www.vgchartz.com/game/70582/darksiders-ii/?region=All,1,,/games/boxart/full_967876AmericaFrontccc.jpg,0.79
3007,Motocross Mania,motocross-mania,Racing,E,PS,Take-Two Interactive,Deibus Studios,,,,0.0,0.79,0.44,0.3,,0.05,2001.0,,http://www.vgchartz.com/game/1433/motocross-mania/?region=All,1,,/games/boxart/5271691ccc.jpg,0.79
3008,Prototype 2,prototype-2,Action,M,X360,Activision,Radical Entertainment,,,,0.0,0.79,0.48,0.24,,0.06,2012.0,,http://www.vgchartz.com/game/49115/prototype-2/?region=All,1,,/games/boxart/default.jpg,0.79
3009,NBA 2K16,nba-2k16,Sports,E10,PS3,2K Sports,Visual Concepts,,,,0.0,0.79,0.49,0.12,0.05,0.13,2015.0,28th Mar 18,http://www.vgchartz.com/game/85557/nba-2k16/?region=All,1,,/games/boxart/full_4006868AmericaFrontccc.jpg,0.79
3010,Band Hero,band-hero,Misc,E10,X360,Activision,Neversoft Entertainment,,7.6,,0.0,0.79,0.51,0.21,,0.07,2009.0,,http://www.vgchartz.com/game/37171/band-hero/?region=All,1,8.3,/games/boxart/full_7603677AmericaFrontccc.jpg,0.79
3011,Football Manager 2014,football-manager-2014,Sports,,PC,Sega,Sports Interactive,,8.4,,0.79,0.0,,,,,2013.0,21st Mar 18,http://www.vgchartz.com/game/76962/football-manager-2014/?region=All,1,,/games/boxart/full_9216754PALFrontccc.jpg,0.79
3012,Mega Man 5,mega-man-5,Platform,,NES,Capcom,Capcom,,,,0.0,0.79,0.39,0.07,0.32,0.01,1992.0,,http://www.vgchartz.com/game/3738/mega-man-5/?region=All,1,,/games/boxart/7305119ccc.jpg,0.79
3013,WCW Mayhem,wcw-mayhem,Fighting,T,N64,Electronic Arts,Kodiak Interactive,,,,0.0,0.79,0.63,0.15,,0.01,1999.0,,http://www.vgchartz.com/game/2649/wcw-mayhem/?region=All,1,,/games/boxart/351031ccc.jpg,0.79
