Name,Summary,assassin,transformers,bakugan,ninja,combat,spider,samurai,warriors,enemies,lego,spidey,zeroes,salem,bombur,thorin,ronan,hobbit,superchargers,emmet
Grand Theft Auto V,"the fifth mainline entry in the mega-selling grand theft auto series, grand theft auto v was developed by rockstar north and published by rockstar games originally for the playstation 3 and xbox 360 in 2013. xbox one and playstation 4 versions followed in november of 2014 and finally a windows pc verison was released in april of 2015.grand theft auto v is set in the city of los santos and its surrounding hills, countryside, and beaches. it is the largest and most ambitious game rockstar have yet created and, for the first time in the series, features three different playable characters.
source: machina. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto V,"the fifth mainline entry in the mega-selling grand theft auto series, grand theft auto v was developed by rockstar north and published by rockstar games originally for the playstation 3 and xbox 360 in 2013. xbox one and playstation 4 versions followed in november of 2014 and finally a windows pc verison was released in april of 2015.grand theft auto v is set in the city of los santos and its surrounding hills, countryside, and beaches. it is the largest and most ambitious game rockstar have yet created and, for the first time in the series, features three different playable characters.
source: machina. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: San Andreas,"five years ago carl johnson escaped from the pressures of life in los santos, san andreas... a city tearing itself apart with gang trouble, drugs and corruption. where filmstars and millionaires do their best to avoid the dealers and gangbangers.
now, it's the early 90s. carl's got to go home. his mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster.
on his return to the neighborhood, a couple of corrupt cops frame him for homicide. cj is forced on a journey that takes him across the entire state of san andreas, to save his family and to take control of the streets.
liberty city. vice city. now san andreas, a new chapter in the legendary series.
 
source: rockstar games website
  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: Vice City," from the decade of big hair, excess, and pastel suits comes a story of one man's rise to the top of the criminal pile. vice city is a huge urban sprawl ranging from the beach to the swamps and the glitz to the ghetto, and is the most varied and complete digital city ever created. combining nonlinear gameplay with a character driven narrative, you arrive in a town brimming with seedy opportunities and are given the chance to take it over as you choose. take control of a variety of vehicles including high-performance cars and motorbikes, powerboats, golf buggies and helicopters. browse through the radio stations, with styles ranging from rock to electro to find a sultry melody or pumping beat to suit your mood. no matter what type of man you are, vice city is always full of surprises.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto V,"the fifth mainline entry in the mega-selling grand theft auto series, grand theft auto v was developed by rockstar north and published by rockstar games originally for the playstation 3 and xbox 360 in 2013. xbox one and playstation 4 versions followed in november of 2014 and finally a windows pc verison was released in april of 2015.grand theft auto v is set in the city of los santos and its surrounding hills, countryside, and beaches. it is the largest and most ambitious game rockstar have yet created and, for the first time in the series, features three different playable characters.
source: machina. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto III,"emerging from the underworld, grand theft auto 3 dares to set new levels of unflinching criminal behavior in a dark, ruthless videogame that never pretends to be anything but truly adult entertainment. make no mistake -- videogames have grown up, and gta3 demonstrates that fully. not only is the content severely mature -- how could a game putting you in the shoes of a mob gun-for-hire who has no qualms against hit orders, car jackings, or public use of heavy artillery not earn that ""m"" rating? -- but the game itself shows incredible leaps in production values to achieve that gritty reality. hollywood talents such as michael rapaport, and michael madson give voice to the gangland thugs and mafioso, while the playstation 2 super-charges gta3's massive scale of crowded streets crammed with cars to steal. liberty city is wide open to those who control it, and you're the kind of guy who makes his own key. in all seriousness, this game is rated ""mature"" for a reason -- it's not for those under 17. otherwise, they don't get much hotter than grand theft auto 3 ... if they know what's good for them.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto V,"when a young street hustler, a retired bank robber and a terrifying psychopath find themselves entangled with some of the most frightening and deranged elements of the criminal underworld, the u.s. government and the entertainment industry, they must pull off a series of dangerous heists to survive in a ruthless city in which they can trust nobody, least of all each other.grand theft auto v for pc offers players the option to explore the award-winning world of los santos and blaine county in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.the game offers players a huge range of pc-specific customization options, including over 25 separate configurable settings for texture quality, shaders, tessellation, anti-aliasing and more, as well as support and extensive customization for mouse and keyboard controls. additional options include a population density slider to control car and pedestrian traffic, as well as dual and triple monitor support, 3d compatibility, and plug-and-play controller support.grand theft auto v for pc also includes grand theft auto online, with support for 30 players and two spectators. grand theft auto online for pc will include all existing gameplay upgrades and rockstar-created content released since the launch of grand theft auto online, including heists and adversary modes.the pc version of grand theft auto v and grand theft auto online features first person mode, giving players the chance to explore the incredibly detailed world of los santos and blaine county in an entirely new way.grand theft auto v for pc also brings the debut of the rockstar editor, a powerful suite of creative tools to quickly and easily capture, edit and share game footage from within grand theft auto v and grand theft auto online. the rockstar editor’s director mode allows players the ability to stage their own scenes using prominent story characters, pedestrians, and even animals to bring their vision to life. along with advanced camera manipulation and editing effects including fast and slow motion, and an array of camera filters, players can add their own music using songs from gtav radio stations, or dynamically control the intensity of the game’s score. completed videos can be uploaded directly from the rockstar editor to youtube and the rockstar games social club for easy sharing.soundtrack artists the alchemist and oh no return as hosts of the new radio station, the lab fm. the station features new and exclusive music from the production duo based on and inspired by the game’s original soundtrack. collaborating guest artists include earl sweatshirt, freddie gibbs, little dragon, killer mike, sam herring from future islands, and more. players can also discover los santos and blaine county while enjoying their own music through self radio, a new radio station that will host player-created custom soundtracks.
source: steam ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto IV,"what does the american dream mean today?for niko bellic, fresh off the boat from europe,  it is the hope he can escape his past.for his cousin, roman, it is the vision that together they can find fortune in liberty city, gateway to the land of opportunity.as they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them and a living nightmare for those who don't.developed by rockstar north, grand theft auto iv is out now for the xbox 360® video game and entertainment system.
from take 2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto IV,"what does the american dream mean today?
for niko bellic fresh off the boat from europe, it is the hope he can escape his past. for his cousin, roman, it is the vision that together they can find fortune in liberty city, gateway to the land of opportunity.
as they slip into debt and get dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them and a living nightmare for those who don’t.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horizon: Zero Dawn,"the next era of mankind
in a lush, post-apocalyptic world where nature has reclaimed the ruins of a forgotten civilization, pockets of humanity live on in primitive hunter-gatherer tribes. their dominion over the new wilderness has been usurped by the machines – fearsome mechanical creatures of unknown origin.
play as aloy, a young hunter on a quest to discover her destiny among the remnants of the ancient past.  shunned by her own tribe since birth, aloy has learned to harness her agility, cunning, and deadly aim to hunt the machines, defend against rival tribes, and survive in the unforgiving wilds.
journey through a world filled with strange artefacts and crumbling ruins to unlock its deepest mysteries. how did the machines come to dominate this world, and what happened to the civilisation that came before? the answers may determine aloy’s fate – and that of humanity itself.
source: publisher ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
