Name,Summary,investigation,clues,hakuouki,5pb,hunex,telltale,csi,factory,idea,adventure
The Legend of Zelda: Ocarina of Time,"courtesy of nintendo power:a dark time is approaching in hyrule. the storm clouds of evil are gathering over the land, and malevolent forces are poised to strike at the most sacred and powerful artifact of all, the mysterious triforce. the only thing standing between chaos and destruction are two youths, an elfin boy from the magical kokiri forest, and the young princess of legend, zelda. do you have what it takes to guide the intrepid hero, link, from his secluded forest home to the final confrontation with the ultimate evil force?the legend of zelda: ocarina of time reveals the genesis of the fantasy land of hyrule, the origin of the triforce, and tells the tale of the first exploits of the heroic adventurer link and the princess of legend, zelda. like the previous games in the series, the legend of zelda: ocarina of time has taken its place in the realm of video game legends, with immersive graphics, sweeping storyline, swashbuckling adventure, mind-bending puzzles, and just a dash of humor.the legend of zelda: ocarina of time transports you into the fantasy world of hyrule with vibrant, real-time 3-d graphics. with full freedom of movement, your quest takes you through dense forests and across wind-whipped deserts. you swim raging rivers. climb treacherous mountains. dash on horseback across rolling hills. and when you reach your destination, you delve into dungeons full of creatures that fight to the finish to put an end to your adventures, and your life.as you venture through the many locales of hyrule, an epic story unfolds. an evil being of immense power covets the sacred relic that will give him ultimate might, the triforce. you must race against time to find the keys to the legendary sacred realm where the triforce is kept. fail, and the fair land of hyrule and all its peoples will fall into a dark age of destruction. your adventure spans even time itself as link must venture back and forth between two ages to completely foil the evil plot that threatens his world. it is a quest so epic, it takes many, many hours of adventure to complete.but while there are legions of monsters to be slain, the forces of evil cannot be thwarted with force of arms alone. no, a true hero must possess wisdom in addition to courage. within the depths of a dozen dungeons, puzzles as perplexing as they are deadly must be solved to win weapons and devices necessary to complete your quest.you will not be totally alone in your fight. throughout your travels, you will encounter folk who thirst for justice and will offer you aid. speak to everyone you meet for you never can tell who might possess a pearl of wisdom that will be the key to unlocking some great mystery.the legend of zelda: ocarina of time is one of nintendo's most epic challenges ever. with 256 megabits of action, this is one game that you won't finish overnight.originally released on the nintendo 64, the legend of zelda: ocarina of time was re-released for nintendo gamecube as part of a special pre-sell offer for the legend of zelda: the wind waker. this special disk also contained the master quest version of the game with even more challenging dungeons.  ",0,0,0,0,0,0,0,0,0,2
The Legend of Zelda: Twilight Princess,"when an evil darkness enshrouds the land of hyrule, a young farm boy named link must awaken the hero - and the animal - within. when link travels to the twilight realm, he transforms into a wolf and must scour the land with the help of a mysterious girl named midna. using the power and unique control of the wii console, the legend of zelda: twilight princess features precise aiming control using the wii remote. the wii remote and the nunchuk controller are used for a variety of game activities, including fishing and special sword attacks. players ride into battle against troops of foul creatures using an amazing horseback combat system, then take on massive bosses that must be seen to be believed. [nintendo]at an incredble 60 hours long, and with more temples than ever before, this is link's biggest adventure yet. the scale of hyrule is awe inspiring, and the game never ceases to amaze. this game is the refinement of all previous 3d zelda games, placed into one gigantic, polished package, and represents the pinnacle of the legend of zelda. while the game is easier and more linear than previous installments of zelda, this is more than made up for by the sheer size of the world and the wealth of characters within. the wii controls add considerably to the game, whether aiming the hero's bow with precision or using it to execute a deadly helm splitter, it has never been more engaging controlling link in the quest to save hyrule.a no brainer for any fans of the series, and if you haven't played any zelda games before, what are you waiting for? this game belongs near the top of any ""best games of all time"" list.iwata asks about the legend of zelda: twilight princess  ",0,0,0,0,0,0,0,0,0,1
The Legend of Zelda,"experience the original smash-hit adventure on the nes!  ganon, the king of evil, has broken free of the dark world and has captured hyrule's beloved princess zelda.  but, before she was caught, zelda managed to shatter the triforce of wisdom and scatter its eight pieces throughout hyrule.  you begin your adventure by finding a small wooden sword in a dark cave.  then, as you grow in stature, experience, and strength, so do your weapons.  help link collect the captured pieces of the triforce, rescue the princess, and thwart ganon’s evil plans!from www.nintendo.com   ",0,0,0,0,0,0,0,0,0,2
Myst,"alone on a mysterious island, you set out to explore its grandeur and mystery. here, a chilling tale of intrigue and injustice, defying all boundaries of space and time, is being told. summon your wits and imagination about you. every scrap of paper and ambient sound may provide the vital clues that allow hidden secrets to unravel before you. each discovery you make and each puzzle you solve will lead you one step closer to reversing a wrong that has gone unchecked for ages.
cyan worlds ",0,1,0,0,0,0,0,0,0,0
Luigi's Mansion: Dark Moon,"luigi™ is back on a mission to remove a bunch of stubborn ghosts from some spooky mansions. armed with his trusty poltergust ghost-sucking vacuum cleaner, mario’s brother takes center stage to capture these pesky phantoms. shining a light on the ghosts is no longer enough to stun them into immobility. players need to activate a strobe function and release it to stun the ghosts before sucking them up with the poltergust.
• different types of ghosts haunt the different mansions. luigi must figure out how to defeat each one of them and find hidden secrets to unlock new areas and treasure chests. these new elements add more variety and introduce new puzzle-solving mechanics.
• players can use the poltergust to help luigi remove wallpaper to reveal hidden areas, clean up piles of treasure-hiding leaves or suck up stacks of coins and bills. but in reality, the nervous and reluctant luigi just wants to get as far away from these ghosts as possible.
• the 3d visuals bring the mansions, ghosts and surroundings to life. players experience all the haunting chills and fun the game has to offer.
• this game is the first follow-up to the 2001 nintendo gamecube™ launch title luigi’smansion™.
 
(nintendo) ",0,0,0,0,0,0,0,0,0,0
Tomb Raider II,"lara's back!
the unstoppable lara croft is back in tomb raider ii.
join lara in her quest for the dagger of xian, reputed to possess the power of the dragon. but beware, lara is not the only one in search of the dagger! warrior monks and crazed cult members plot against you as you travel from the remote mountain peaks of tibet, the canals of venice and even to the bottom of the sea.
explore new worlds:

tibet, china, venice and a sunken ship

arm yourself with:

automatic pistols, harpoon gun, rocket launcher, m16 rifle, uzis, shotguns, flares and more!

kill or be killed by:

warrior monks, yetis, jaguars, great white sharks, killer eels, rabid dobermans and more!

 
--box ",0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: Phantom Hourglass,"the game is a sequel to the legend of zelda: the wind waker and is set several months after the events of the wind waker. the game starts out like the opening of the wind waker, telling the story of what happened in the last game. it tells you how tetra and her pirate crew picked up link from outset island, and how they found out that tetra is zelda, and defeated ganondorf. the story that is told is left off with link riding aboard tetra's ship. link, tetra and her pirates are at sea looking for the ""ghost ship"" rumored to ply the waters in that area, taking sailors and residents of the nearby islands. tetra, convinced that the ghost ship is simply a bunch of trouble-making pirates, is determined to teach them that pirates have rules, too. when a mysterious ship appears in the middle of a dense fog, tetra jumps aboard to explore. as the ship pulls away and begins to vanish with her on board, link attempts to leap over and save her only to fall into the water himself. after having a vision of tetra being surrounded by darkness and calling for his help, link finds himself awakened on a nearby island by a curious fairy. with the fairy’s help, he sets off in search of tetra, and a way back to where they belong.a multiplayer battle mode is also included in phantom hourglass. this battle mode is a 1-on-1 multiplayer game officially dubbed ""hide-and-go-seek"" by eiji aonuma. in an arena, one player takes on the role of link, while the other player, on defense, controls three phantom guardians. players of both sides are aided by power-up items that shortly appear on the playing field, such as the pegasus shoes, a decoy, a time increase and a whirlwind maker.link’s goal is to grab a force gem from one of the many zones and carry it to his own base at one side of the arena. the other player, controlling the three phantom guardians, must try to find and catch link before he scores any points. when link is caught, or if the turn-time has passed, players switch sides. a game consists of three rounds, and in each round, each player takes a turn at both sides. the maximum length of one whole multiplayer game is 12 minutes.the game will support multiplayer via both local and online of nintendo wi-fi connection. local download play is also supported ",0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: A Link to the Past,"long ago, in the beautiful kingdom of hyrule surrounded by mountains and forests... legends told of an omnipotent and omniscient golden power that resided in a hidden land. many people aggressively sought to enter the hidden golden land... but no one ever returned. one day evil power began to flow from the golden land... so the king commanded seven wise men to seal the gate to the land of the golden power. this seal should have remained for all time... but, when these events were obscured by the mists of time and became legend... a mysterious wizard known as agahnim came to hyrule to release the seal. he eliminated the good king of hyrule. through evil magic, he began to make descendants of the seven wise men vanish, one after another. and the time of destiny for princess zelda is drawing near... in many eyes the best snes game and arguably the best zelda game ever.  ",0,0,0,0,0,0,0,0,0,0
Riven: The Sequel to Myst,"plunge deeper into a deceptively beautiful world cursed by bewildering rifts in time. every shadow hides a secret, and appearances are never what they seem. atrus needs you once again. untangle the truth about riven, and help him free his beloved wife, catherine. you must search, explore, and summon every spark of intellect and intuition. only then will you learn the truth about this troubled land and its inhabitants. you must let riven become your world, before an entire world is lost.
cyan worlds ",0,0,0,0,0,0,0,0,0,0
Professor Layton and the Curious Village,"in the curious village of st. mystere, townsfolk greet each other with        riddles, lock their doors with sliding puzzles, and hide their secrets        within brainteasers. when a wealthy baron passes away, his will reveals        an elusive treasure hidden someplace inside the village. now it's up to        professor layton to untangle st. mystere's riddles and puzzles, find the        hidden treasure, and crack the case.

 as professor layton, you'll tackle mind-bending puzzles as you unravel          the mysteries of the village. puzzles range from mazes and riddles to          logic and sliding puzzles. 
 touch screen controls make working through puzzles a snap for players          of all skill levels, and new puzzles will be available for download          via nintendo wi-fi connection. 
 professor layton is the first to offer a story, cast of characters,          and style that are just as strong as the gameplay. fully voiced          animated scenes bring the story to life, while the funny and eccentric          villagers and the classic, hand-drawn art provide a stylish charm that          will appeal to gamers and non-gamers alike. 

nintendo.com ",0,0,0,0,0,0,0,0,0,0
