Name,Summary,naruto,smackdown,tekken,snk,kombat,wwe,fighter,wrestling,fighters,fighting
Super Smash Bros. Brawl,"following the legacy of its predecessors, super smash bros. brawl has been one of the most highly anticipated games of the generation. departing from the classic style of fighting game and featuring a whole host of characters from a slough of nintendo games, the smash bros. series is most definitely a unique one.
super smash bros. brawl is the third game of the series that originally began on the nintendo 64 with super smash bros. in the smash bros. series, rather than whittling down a player's health meter, damage taken is measured by a growing percentage level. as the player's damage percentage increases, their character is launched further and further by enemy attacks. additionally, instead of trying to knock out a player by eliminating their health, one tries to knock the player off the arena, much like in sumo wrestling.
in brawl, this gameplay is that much more intense. featuring a total of thirty-five characters (fourteen to unlock), over thirty different stages (including a host of stages from melee, as well as custom stages!), fifty-two different battle items, and a massively detailed single-player adventure mode known as the subspace emissary. tie that in with a variety of new moves, new combat features (such as the final smash), and massively updated graphics, and you'll find that super smash bros. brawl is a must-have!
 
european friend codes thread:
http://www.vgchartz.com/forum/thread.php?id=30897 ",0,0,0,0,0,0,0,0,0,1
Super Smash Bros. Ultimate,"a new super smash bros. game with new fighters, stages, and more!
legendary game worlds and fighters collide in the ultimate showdown—a new entry in the super smash bros. series for the nintendo switch system! new fighters, like inkling from the splatoon series and ridley from the metroid series, make their super smash bros. series debut alongside every super smash bros. fighter in the series…ever! faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.

a new game in the super smash bros. series releases dec. 7, 2018
new fighters, new stages, and every fighter ever featured in the series…ever!
inkling from the splatoon series join the roster
ridley from the metroid series also joins the fight
returning fighters include wolf, ice climbers, pokémon trainer and more
elevate the super smash bros. experience to new heights with faster combat, new attacks, new items, and new defensive options
hold a 4 player free-for-all, or kick it up to 8-player battles*
all current super smash bros. series amiibo™ figures are supported

source: nintendo ",0,0,0,0,0,0,2,0,2,0
Super Smash Bros. for 3DS,"
a smash in the hand

super smash bros. for nintendo 3ds is the first portable entry in the renowned series, in which game worlds collide. up to four players battle each other locally or online using some of nintendo’s most well-known and iconic characters across beautifully designed stages inspired by classic portable nintendo games. it’s a genuine, massive super smash bros. experience that’s available to play on the go, anytime, anywhere.
features:

smash and crash through “smash run” mode, a new mode exclusive to the nintendo 3ds version that gives up to four players five minutes to fight solo through a huge battlefield while taking down recognizable enemies from almost every major nintendo franchise and multiple third-party partners. defeated enemies leave behind power-ups to collect. players who collect more power-ups have an advantage once time runs out and the battle with opponents begins.
compete with classic characters from the super smash bros. series like mario, link, samus and pikachu, along with new challengers like mega man, little mac and newly announced palutena, the goddess of light from the kid icarus games. for the first time players can even compete as their own mii characters.
customize different aspects of your character when playing locally or online with friends in a variety of multiplayer modes.
view most elements of the high-energy action at silky-smooth 60 frames per second and in eye-popping stereoscopic 3d.
fight against friends and family locally or online, or battle random challengers all over the world online in “for fun” or “for glory” modes.

source: nintendo ",0,0,0,0,0,0,0,0,0,0
Tekken 3,"the fight of your life
an ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. to lure it out of hiding will take the greatest fighting contest the world has ever seen...tekken 3. some are fighting for revenge, some for honor. ultimately, all are fighting for their lives and the fate of all mankind.
new characters

includes your favorite arcade characters: eddy , jin, xiaoyu, hwoarang, julia, law, mokujin, bryan, ogre, and more, along with new characters created just for the playstation version.

hidden features

secret characters, secret game modes, and dramatic cinematic sequences for each character.

faster gameplay

instant bounce-back from falls, more escapes from tackles and stuns, plus all-new throws make gameplay faster than ever before.

new fighting styles

including the brazilian art of capoeira fighting and two new styles of kung fu.

 
--box ",0,0,0,0,0,0,0,0,0,5
Super Smash Bros. Melee,"the all-star brawl is on!
nintendo's biggest stars are all here! duke it out with mario, link, donkey kong, the ice climbers, and many more.

the craziest four-player fighting game of all time returns for a frantic, fun-filled nintendo gamecube melee! pick a classic character and enter the frey.
a brand-new adventure mode takes you through classic side-scrolling worlds like the mushroom kingdom!
choose from over 20 stages and wage battles with tons of items, like bob-ombs and the super scope.
tons of custom options await, each with a wild twist. try playing giant melee for a gargantuan clash!
battle through a new coin match, fight for style points in bonus mode, or stage a trournament with up to 64 players!
unlock cool game secrets! take on event mode and fight through specific battle challenges.
as you play, collect nearly 300 detailed trophies of characters and items from throughout nintendo's history.

*nintendo - back of box
  ",0,0,0,0,0,0,0,0,0,1
Street Fighter II: The World Warrior, ,0,0,0,0,0,0,0,0,0,0
Tekken 2,"more than a sequel. the undisputed #1 fighting game on the planet.
two years have passed since kazuya mishima won the first ""king of the iron fist"" tournament. with the mysterious disappearance of heihachi mishima, kazuyamishima - the new head of the mishima ziabatsu organization - is holding the tournament a second timee. once again, the best fighters from around the world have gathered to compete for the coveted title ""the king of iron fist"". there is a rumor that kazuya has made a deal with the devil. so enter the tournament at your own risk!
23 of the greatest fighters on earth.
includes new characters, new bosses, each with new ways to inflict multiple ten-hit combos.
three new fighting modes.
not available in the original: survival mode, battle mode & pratice mode.
23 new stages.
mind-blowing backgrounds with phenomenal light-sourcing. jam to 23 new music tracks as you jam an opponent's face in the ground.
more moves and multiple combos.
new attack and throw reversals plus new bone-snapping techniques.
brand new 3d animations
cinematics at their finest. all-new intro sequence plus animations for each character not found in the arcade version.
 
--manual and box ",0,0,0,0,0,0,0,0,2,2
Super Smash Bros.,"courtesy of nintendo power:
can link beat up mario? can yoshi deck donkey kong? can kirby punch out      pikachu? these and other age-old questions can finally be answered,      because the first-ever tournament fighter boasting an all-star cast of      nintendo heroes (and one heroine) has hit store shelves with the impact of      a fox mccloud roundhouse.crossing multiple universes and alternate      dimensions, the most popular of nintendo's characters grace this      bare-knuckle pak. the 12 superstars are mario, luigi, donkey kong, link,      samus, yoshi, kirby, fox mccloud, jigglypuff, ness, captain falcon and      pikachu.this awesome lineup answers long-debated questions of the      characters' comparative strengths, and the idea of a battle between donkey      kong and pikachu is downright hilarious. each character has a specific 3d      fighting arena, with power-ups and obstacles scattered throughout the      areas. two to four players can fight simultaneously on the same screen, or      one player can battle through the tournament ladder to reach a secret boss      at the summit.the goal is to knock your opponent out of the      playing field as many times as possible within a specified time limit. if      you dominate the competition, you can kick them so hard they fly into the      sky and turn into a constellation. link hacks away with his master sword,      yoshi slurps up enemies and turns them into eggs, and fox mccloud is      strapped with his trusty blaster. if you get into trouble, any character      can take advantage of classic special attack items like fire flowers and      bob-ombs.super smash bros. is extremely easy to learn, but to      become a true master takes many hours of practice. subtle technique can      mean the difference between victory and defeat, and each character has      unique strengths and weaknesses to learn and put to use.super      smash bros. is full of surprises, like pikachu's level where random      pokémon are always popping up. it's strange to see two good guys like      mario and fox mccloud butting heads, but don't worry. when the battle is      over you'll discover that all of the characters are actually good friends. ",0,0,0,0,0,0,1,0,0,1
Super Smash Bros. for Wii U,"
a smashing good time

mario! link! samus! pikachu! all of your favorite nintendo characters are back, along with plenty of new faces, in super smash bros. for wii u, the next entry in the beloved super smash bros. series. up to four players can battle each other locally or online across beautifully designed stages inspired by classic nintendo home console games. with a variety of control options and amiibo compatibility, the timeless super smash bros. battles come alive.
features:

compete with classic players from the super smash bros. series, along with new challengers like mega man, little mac or newly announced palutena, the goddess of light from the kid icarus games.
for the first time, players can even compete as their own mii characters.
use a variety of control methods during the high-energy and action-filled battles, including nintendo gamecube controllers – the longtime controller of choice for hard-core super smash bros. players.
customize move sets when playing locally or online with friends.
connect with amiibo for added fun.
experience the beauty of super smash bros. for wii u in stunning hd, a first for the series.
fight against friends and family locally or online, or battle random challengers from all over the world online in “for fun” or “for glory” modes.

source: nintendo


 ",0,0,0,0,0,0,0,0,0,0
Street Fighter IV,"street fighter iv brings the legendary fighting series back to its roots by taking the beloved fighting moves and techniques of the original street fighter ii, and infusing them with capcom's latest advancements in next generation technology to create a truly extraordinary experience that will re-introduce the world to the time-honored art of virtual martial arts.
everything that made the legendary street fighter ii a hit in the arcades, living rooms and dormitories across the globe has been brought back in street fighter iv. players will be able to play their favorite classic characters, such as ryu, ken, chun-li and guile, along with new characters, including crimson viper, abel, el fuerte, and rufus. characters and environments are rendered in stylized 3d, while the game is played in the classic street fighter 2d perspective with additional 3d camera flourishes. six-button controls for the game return, with a host of new special moves and features integrated into the gameplay system. street fighter iv brings a brand new fighting game to fans the world over.
key features

3d environments and characters
traditional ""2d"" street fighter six-button gameplay
classic street fighter characters re-imagined for a new generation of gamers, including the original cast of street fighter ii
new brawlers: female super-spy crimson viper, lucha libre wrestler el fuerte, mixed martial artist abel and more!
new special moves that go beyond any street fighter fan's wildest imagination, including focus attacks, super combos, and the revenge-fueled ultra combo system.
amazing locations never seen before in a street fighter game
new gameplay elements provide challenges for both newcomers as well as the most seasoned street fighter pro. 

*capcom ",0,0,0,0,0,0,12,0,0,3
