Name,Summary,casino,singstar,sing,poker,party,guitar,trivia,rock,music,songs
Minecraft,"the world is yours for the making
prepare for an adventure of limitless possibilities as you build, mine, battle mobs, and explore the ever-changing minecraft landscape.
always something new
new tools, locations, and spaces are yours to explore, thanks to our regular updates. check out the latest.
play to create
if you can dream it, you can build it. put your imagination and limitless resources to work with creative mode.
play to survive
battle mobs, construct shelter, and explore the landscape—it’s all in a day’s work when you try to survive and thrive in survival mode.
play with friends
build together, search together, have fun together! the world of minecraft is even better when explored with your best buds.
how it worlds
be resourceful
get crafty and use the surrounding environment to gather building materials—see how breaking down trees can help you create something new.
survive the night
it’s always best to avoid the unpredictable by distancing yourself from wandering mobs—you never know what’ll happen if they get too close!
build something amazing
discover all the versatile ways dust from the redstone ore can be used to enhance your creations, bring them to life, or give them some bang.
source: minecraft.net ",0,0,0,0,0,0,0,0,0,0
Wii Play,"wii play consists of nine games:

table tennis- move the wii remote left or right to hit the ball back and forth.
laser hockey- it is, essentially, air hockey played with a wii remote.
fishing- simple fishing game where you use the wii remote to hook and yank a fish from a pond.
find mii- players must pick out certain mii from a crowd of miis in a limited amount of time.
pose mii- use the wii remote pointer to move a mii into falling bubbles, and use the a button to change its pose.
shooting range- use the wii remote to shoot targets on the screen.
billiards- use the wii remote as a pool stick to play a game of nine ball.
charge!- use the wii remote as a steering wheel to guide your cow through a course.
tanks!- use the nunchuck attachmen or the wii remote d pad to move a tank on screen, while using the pointer to shoot at enemies. 

these can all be played by 1 or 2 players.
the biggest draw with wii play is the fact that it is bundled with an extra wii remote. it is perfect for people who are looking to pick up an extra controller.
the games are very simplistic. the ones that require the most strategy are tanks! and laser hockey. shooting range is remeniscent of duck hunt, and games like find mii and pose mii make use of a multitude of mii characters, including ones of your own creation.
overall, the game is most enjoyable when played with a friend
  ",0,0,0,0,0,0,0,0,0,0
Brain Age: Train Your Brain in Minutes a Day,"nintendo worked with dr. kawashima to develop a game that could be used to maintain mental fitness. the result was brain training (brain age in na). it is a puzzle 'game' that tests the user with certain activities, such as stroop tests and mathematical questions. it also contains over 100 sudoku puzzles (outside of japan).the game contains a variety of games to test your brain, such as calculations x20, where you solve 20 math problems as quickly as possible, and head count, where you must keep track of the number of people inside of a house while people enter and exit it.you unlock more games by performing daily trainings. it encourages users to play daily, thus, keeping your mind sharp.   users can also take a brain age test, which will calculate a brain age for the user based on 3 different tests. these tests range from memorization to observation, and focus heavily on time spent completing the activity. with daily training, and quite a number of sudoku puzzles, players will find tons to do with the brain training game. ",0,0,0,0,0,0,0,0,0,0
Garry's Mod,"garry’s mod is a sandbox game. there aren’t any predefined aims or goals like in regular games. players are given tools and are left to entertain themselves.
it could be used to create comic strips, by posing ragdolls and taking screenshots.
it could be used to create and race cars, by welding objects together and adding wheels and thrusters.
it could be used to create a house by placing furniture and walls carefully around the map and inviting your friends to explore.
create your own games, or play games created by other users.
source: garrysmod.com ",0,0,0,0,0,0,0,0,0,0
Brain Age 2: More Training in Minutes a Day,"       hot on the heels of brain age: train your brain in minutes a day!, the        brain training phenomena grows with brain age 2: more training in        minutes a day! seventeen all new, engaging activities designed to help        work your brain and increase blood flow to the prefrontal cortex.        whether you’re playing simple songs on a piano keyboard or monitoring        the photo finish of a footrace, you’ll love your new mental workout!       features            17 brand-new activities                keep training: up to four save files keep track of your improvement                expanded multiplayer: compete with family and friends         what is brain age? brain age acts like a treadmill for the        mind! brain age 2: train your brain in minutes a day for nintendo ds is        a fun, rewarding game that helps you flex your mental muscles with quick        activities that help keep your brain in shape. brain age is inspired by        the research of dr. ryuta kawashima, a prominent japanese        neuroscientist. his studies evaluated the impact of performing certain        reading and mathematic exercises to help stimulate the brain.             on your first day of exercise, you will take a series of tests and get a        score that determines how old your brain is. this number is called your        ds brain age. perform daily exercises just minutes a day over weeks and        months to get better at the exercises and lower your ds brain age!       why is brain training good for you? we all know as we grow        older our bodies change and it becomes important to regularly exercise        to maintain health and fitness. our brain is no different. that's where        brain age comes in.       how does brain age work? the nintendo ds touch screen lets        you write your answers with a stylus, just as though you were writing on        paper. plus, the nintendo ds's voice input identifies particular words        you'll speak during games like the stroop test. brain age tracks your        progression through each exercise with easy-to-read line charts. use        brain age each day to open new exercises to test your ability.             brain age includes a fun calculation competition for friends and        family—it's a snap to download this minigame to as many as 15 ds systems        using only one brain age 2 game card!                 challenge yourself and find ways to stay sharp. with the simplicity of        the nintendo ds, and brain age's challenging and rewardingnintendo  ",0,0,0,0,0,0,0,0,0,1
Minecraft,"there’s no one way to play minecraft. it’s an open-ended game where  players decide what they want to do by themselves! minecraft offers  several modes, though: creative mode, where players are given limitless  resources to build whatever they can imagine; and survival mode, where  players must explore the world and mine its resources to feed, house and  defend themselves. or you can join your friends online and make up your  own rules!
nearly every block in the world of  minecraft can be broken down by mining and collected. then those bits  can be recombined to build new stuff!punch a tree until you get some  wood, turn the wood into planks and then combine the planks to create a  crafting table. you can use the crafting table to make all kinds of  useful tools, so long as you find the right ingredients.
minecraft on xbox 360 supports split-screen play for up to four players,  and offers a heap of extra cool stuff for you to download, like  specially crafted skin-packs, console-only competitive modes, mini games  and more! available as a physical disc or digitally from the xbox  store.
source: official site ",0,0,0,0,0,0,0,0,0,0
Just Dance 3,"just dance is back and the party is bigger than ever before. the new  just dance 3 gives a new twist to the already spontaneous and outrageous  dance game.just dance 3 kick-starts the party with 45+ tracks  from multiple genres, popular artist, and top billboard tracks. whatever  the occasion, the amazing just dance 3 soundtrack and fun game features  will get the party started and your friends dancing all night long. you weren’t able to resist the urge to join the party, now you won’t be able to leave it. the party machine is on!key featurestop of the chartsover  45 all-new tracks, ranging from billboard/top-charted hits to classic  dance party tracks! there's something for all tastes, everyone will find  their groove. want more songs? download from an expanding catalogue of  new tracks from the xbox marketplace.be part of the bandwith  now up to 4 concurrent dance routines, it’s your time to shine! each  player can get his own moment of fame with unique choreographies and  move for each member of the band. top score challengerank  on leaderboards with your friends in the all new leaderboards system.  compare each other’s score on each song to see who’s the best dancer.shake the worldjust  dance 3 lets you bring down the house with dynamic environments. watch  the background change as you perform progressive moves.just sweat it outthe popular just sweat mode gets an upgrade with more workout plans and playlists. stay fit, have fun, and just dance.dance ‘til you dropuse  the party mode and lose yourself in the music! no navigating through  menus, no need to stop to select the next song… just dance 3 gives you a  non-stop dance-a-thon..... get ready to dance ‘til dawn!too shy to dance… but love to sing?! all  tracks provide song lyrics on-screen. so even if you don’t score points  with your voice, you’re sure to score some with the crowd!just can’t get enoughjust dance 3 still has everyone’s favorite modes like classic mode, duet mode, medley, simon says, and more.
 
ubisoft ",0,0,0,0,6,0,0,0,0,0
Wii Party,"
the whole family stars in its own electronic board game
most video games require players to focus their attention on a screen.        now nintendo brings the action into the living room with wii party, a        game that changes the way people interact with other players. featuring        13 different party game modes and 70+ minigames, wii party can be        enjoyed by everyone in the family, regardless of age.
features:

 some of the 13 different party game modes take the fun out of the tv          and into the living room. players have to interact with one another in          the real world to get the results they want in the game. some house          party games include:
players place four wii remote controllers on a table. each one emits          a different animal noise. players win the round by being the first to          grab the controller that is making the sound of the animal shown on          the tv. 
 players use wii remote controllers to play hide and go seek. one          player asks the other players to leave the room and then hides all of          the controllers around the living room. when the other players return,          they have to find them. 
 wii party features mii characters in minigames in which up to four          people can play together. each player uses only the wii remote          controller. some of the party game modes are cooperative, such as          “balance boat.” others are competitive, such as “board game island.” 
 in board game island mode, players help their mii characters compete          in more than 70 different minigames:
 mii characters ride a rollercoaster while players try to shoot down          floating balloons containing gifts 
 players use their wii remote controllers to help mii characters          navigate a virtual game of tag. 

*for multiplayer modes, additional wii remote controllers are        required and are sold separately.
http://www.nintendo.com/games/detail/hprykzyhy46su2uwdzwiqqthr6ogpjhq ",0,0,0,0,6,0,0,0,0,0
Mario Party DS,"everything you love about mario party...in the palm of your hand! the party boards and minigames are crazier than ever in a new title that shrinks down the whole mario crew for whimsical party play.

with 70+ minigames and five themed game boards, mario party ds packs all the goods for portable play. and it’s brought to life with fun surprises players can see only on nintendo ds, such as touch control, microphone control and dual-screen challenges.
users can play as one of eight characters: mario, luigi, yoshi, peach, daisy, toad, wario and waluigi. they’re all ready to foil bowser’s latest scheme. he seeks five powerful crystals and shrinks down the crew so they can’t stop him. but each of the tiny heroes wants to be the one and only superstar that brings down bowser.
mario party ds makes the series’ multiplayer action portable at last, from playing with friends on the game boards to challenging them in favorite minigames. and now players can throw a party anywhere and play wirelessly with friends, since much of the game can be shared to other nintendo ds systems from just one game card.

game storyline: when mario and his friends are shrunk down for mario party ds, harmless locations take on menacing proportions in five game boards, such as wiggler’s garden and toadette’s music room.how to progress through the game: in the mario party series, after everyone takes a turn moving on the game board, the action shifts to a minigame. in mario party ds, the minigames are crazier than ever, because everyday objects are a huge threat to the minimized crew. more than 70 minigames use the nintendo ds touch screen, the microphone and standard buttons in a surprising combination of ways. players will fling massive hamburgers with the stylus, drag huge leaves out of the way in a forest race and literally blow down a gargantuan whomp.

story mode (1 player): in this solo mode, mario and his friends are shrunk down by bowser. as players make their way to bowser’s castle, they must win first place on each game board, then beat the boss minigame for each board.
party mode (1-4 players): compete against human or system-controlled players on a party board in a battle royale, tag battle or duel battle.
minigame mode (1-4 players): enjoy six games that draw upon the pool of 70+ minigames for challenges that don’t take place on the game boards: free play, step it up, battle cup, score scuffle, boss bash and rocket rascals.
puzzle mode (1-2 players): play six puzzle-action games, which include five classics from previous mario party games. this mode also includes the new touch-controlled triangle twisters, which has two play modes. in frenzy mode, players clear the field by twisting triangles so they connect with those of the same color. in focus mode, they twist them to build complex shapes, like turtles and pinwheels.
multiplayer (2-4 players): using one game card, players can wirelessly share party mode and minigame mode (2-4 players), plus puzzle mode (2 players) and the download-only extras mode with nearby friends who have a nintendo ds. extras mode includes games that are designed for two-player gaming: cooperative pen pals and competitive desert duel.
gallery mode: check out 150 prizes, which includes figures, music and cutscenes.

characters: play as eight classic characters, including mario, luigi, wario, waluigi, yoshi, daisy, peach and toad. the tiny characters will encounter many “gigantic” friends and foes from the mario universe, including bowser, toadette, donkey kong and hammer bro.special powers/weapons/moves/features: mario party ds brings back a play dynamic from previous games: putting traps on board spaces. players can obtain hexes, such as the coin swap hex, then stick them on board spaces in the hope that other players stop on them. ",0,0,0,0,13,0,0,0,2,0
Mario Party 8,"the world's enormously popular party video game is getting a lot crazier in mario party 8. whether you're shaking up cola cans or lassoing barrels, you and your friends will be drawn into the action like never before using the wii remote™.

play with motion control: players row their way through a river race, punch a statue to pieces, steer race cars, mopeds and go-karts and handle a balancing pole while walking a tightrope.
play using the wii remote as a pointer: shoot at boos in a haunted house, drag and drop toppings in a cake-decorating competition, select the correct answers in game show challenges.
play using the wii remote's buttons: players jump and pummel their way through a football brawl, and hop and run across a field of spinning platforms
mario party 8 also includes dozens of new minigames, six new party boards and many new game modes. in a series first, players can transform their characters into many forms, such as player-smashing boulders and coin-sucking vampires.
mario party 8 also includes ""extra-large"" minigames like star carnival bowling and table menace. one to four players can play mario party 8, each with a wii remote.

game storyline: in mario party 8, a hyperactive emcee has invited mario, peach and the rest of the crew to his carnival, a perfect setting for the dynamic spectacle of the wii game play. mario party 8 keeps the surprises coming with minigames that draw upon the wii remote's motion, pointing and button control in a variety of ways. players always know how to jump into the action by watching an animated tutorial that shows how to use the wii remote.how to progress through the game: following tradition, mario party 8 takes the social, strategic game play of board games and adds breaks for quick, action-oriented minigames. in the main mode, players travel across six boards in search of stars, landing on spaces that are helpful (example: giving coins) or a hindrance (example: sending bowser in to mess with the player). several variations for these boards tweak the main goals to enhance game play for solo sessions, two-player games and three- to four-player games.in addition, mario party 8 includes four more minigame-infused kinds of special games, such as tic-tac drop, where players earn the right to put the next mark on the board by winning a minigame.characters: mario party games are a celebration of all things mario, so you can play as 14 classic characters, the widest selection yet for the series, including newcomers hammer bro and blooper. you'll also bump into many old friends and foes that span 20+ years of mario games.special powers/weapons/moves/features: beyond using the wii remote's motion and pointer control, this eighth game in the mario party series goes its own way with two changes:

players can transform their character using candy power-ups. examples: when peach eats bowlo candy, she'll turn into a peach-faced ball and bowl over characters to get their coins. when wario eats vampire candy, he'll sprout wings and fly off to suck the coins from all other players.
 ",0,0,0,0,12,0,0,0,0,0
