Name,Summary,eggman,2d,dr,ratchet,rayman,spyro,platforming,clank,sonic,platformer
Super Mario Bros.,"for more than 25 years, the super mario series has conquered the charts and won the hearts of fans the world over. now you can discover - or rediscover - the original game that made mario a household name.
run and jump with mario or luigi through caves and castles, down pipes and across platforms, and face off against bowser to rescue your beloved princess peach.
it may be more than a quarter of a century old, but super mario bros. is still as enchanting as ever!
source: nintendo ",0,0,0,0,0,0,0,0,0,0
New Super Mario Bros.,"the first all-new 2d mario platformer since super mario world has arrived! boasting incredible 3d graphics to accompany classic 2d gameplay, this fast-paced adventure will have mario fans cheering as they make their way over fields, under water, through castles, and into the air. the power of the ds is used to great effect, and the result is that the mushroom kingdom looks more alive than ever. backgrounds are beautifully layered and every character on screen is presented in gorgeous 3d, with piranha plants baring their teeth with wild abandon and goombas looking almost too cute to stomp on. just below the surface you will find hundreds of hard-as-nails mini-missions that will force you to reconsider your supposed super mario supremacy. the real challenge of the game is tracking down its 240 star coins, which allow you to open up paths on the eight world maps. each level hides three of those shiny collectibles: sometimes they’re in plain sight but require a special skill in order to be reached. other times they’re cleverly hidden, and sometimes you will need one of the game’s special new power-ups to find them. nostalgic and new in equal doses, new super mario bros. is, quite simply, a gem of a game. gorgeous 3d graphics show off the power of ds as you run, jump and stomp your way through the mushroom kingdom.play through hundreds of mini-missions as you try to track down precious star coins.source - www.nintendo.com ",0,2,0,0,0,0,0,0,0,1
New Super Mario Bros. Wii,"developers at nintendo have dreamed of creating a simultaneous multiplayer super mariobros. game for decades. the wii console finally makes that dream come true for everyonethis holiday season. now players can navigate the side-scrolling worlds alone as before orinvite up to three others to join them at the same time on the same level at any point in thegame for competitive and cooperative multiplayer fun. with the multiplayer mode, the newestinstallment of the most popular video game franchise is designed to bring yet another type offamily entertainment into living rooms and engage groups of friends in fast-paced supermario bros. fun.
features

new super mario bros. wii offers a combination of cooperation and competition. players can pick each other up to save them from danger or toss them into it.
mario, luigi and two toads are all playable characters, while many others from the mushroom kingdom make appearances throughout the game. players can even ride different yoshi characters and use their tongues to swallow enemies – or their fellow players.
in some areas, players use the motion abilities of the wii remote™ controller. the first player to reach a seesaw might make it tilt to help his or her character reach a higher platform – and then tilt it incorrectly just to mess with other players.
new items include the propeller suit, which will shoot players high into the sky with just a shake of the wii remote and mario’s new ability to transform into penguin mario.
at the end of each stage during the simultaneous multiplayer mode, players are ranked based on their score, the coins collected and the number of enemies defeated.
 ",0,0,0,0,0,0,0,0,0,0
Super Mario World," during a vacation in dinosaur land, princess toadstool gets kidnapped and a spell is cast on the inhabitants of the island. when they stumble upon yoshi™, a young dinosaur, mario™ and luigi learn that bowser is responsible for the terrible misdeeds. now, all yoshis are trapped in magical eggs that bowser has hidden throughout seven castles. many hidden paths aid mario in making his way to bowser's castle, completing 74 areas and finding all 96 exits. discover items, including a feather that gives mario a cape that allows him to fly, or a flower that shoots fireballs in layers upon layers of 2-d scrolling landscapes. players can even ride yoshi and swallow their enemies. from: www.nintendo.com  ",0,0,0,0,0,0,0,0,0,0
Super Mario Land,"journey with mario to a land of giant crabs, koopa troopas, flying stone heads and hungry sharks!travel over land, in the air, and underwater. mario makes his way through four treacherous worlds on his way to save the princess!
us box ",0,0,0,0,0,0,0,0,0,0
Super Mario Bros. 3,"fight monsters and mini-bosses, avoid ghosts and the burning sun. make your way through water and quicksand. dodge cannon balls and bullets and rescue the king's wand!
in super mario bros. 3, there are more warps, more chances at extra lives, and new special suits! the raccoon suit lets you fly and knock out blocks. the frog suit helps you out-swim deadly fish. there are suits for every occasion!
store up flowers and mushrooms to use later on. play game-show type bonus rounds! go back to that last screen and get a mushroom! pause to take a break, then continue where you left off!
super mario bros. 3 is fun to play alone, or team up with a buddy to prolong the adventure!
(source: back of box) ",0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog,"in the game, sonic has to stop dr. robotnik (dr. eggman in japan) from taking over south island. he must go through 6 completely different zones, each comprised of 3 acts. each zoned ranged from a green beach world, to a labyrinth with underwater areas. at the end of each zone, sonic must face off robotnick who uses a different contraption each time, such a giant recking ball, or a spike.
the gameplay was revolutionary for its time. sonic had speed, the abililty to jump high, and roll as he runs. the levels are designed to show off sonic's speed, through the use of slopes, springs, high falls, and even loop-de-loops. at end of the first 2 acts for each zone if sonic had 50 rings or more he would be sent to a special stage where sonic must each the end without hitting a goal which would end the special stage. if he reaches the end he would get a chaos emerald, in which there were 6 in total (7 in the later games). ",1,0,0,0,0,0,0,0,5,0
Super Mario Odyssey,"explore incredible places far from the mushroom kingdom as you join        mario and his new ally cappy on a massive, globe-trotting 3d adventure.
use amazing new abilities—like the power to capture and control objects,        animals, and enemies—to collect power moons so you can power up the        odyssey airship and save princess peach from bowser's wedding plans!
thanks to heroic, hat-shaped cappy, mario's got new moves that'll make        you rethink his traditional run-and-jump gameplay—like cap jump, cap        throw, and capture. use captured cohorts such as enemies, objects, and        animals to progress through the game and uncover loads of hidden        collectibles. and if you feel like playing with a friend, just pass them        a joy-con™ controller! player 1 controls mario while player 2 controls        cappy. this sandbox-style 3d mario adventure—the first since 1996's        beloved super mario 64™ and 2002's nintendo gamecube™ classic super        mario sunshine™—is packed with secrets and surprises, plus exciting new        kingdoms to explore.
source: developer ",0,0,0,0,0,0,0,0,0,0
New Super Mario Bros. 2,"mario hits the mushroom kingdom jackpot
bowser has once again kidnapped princess peach, but this time, mario has another objective. the mushroom kingdom is bursting with more gold coins than before. each level is littered with gold as coins rain down from overhead pipes, trails of coins are left behind special gold enemies and gold pipes transport mario into coin-filled caverns. it's up to players to collect as many coins as possible throughout their adventure.
features:
the game records all the coins players collect throughout the game, so completing a level is only part of the fun. every level is filled with golden opportunities, such as gold rings that turn enemies into valuable gold versions and a gold flower that gives mario the ability to turn almost anything in his path into coins.
coin rush mode allows players to collect as many coins as possible across three levels and challenge friends to beat their record via streetpass.
new super mario bros. 2 is an all-new side-scrolling adventure game featuring mario and luigi. two players who each own the game will have the option to play the entire game in two-player multiplayer mode using local wireless.
the return of raccoon mario gives mario the ability to fly and access hidden areas.
players will have the option to either purchase the game at retail stores or download the entire game through the nintendo eshop.
source: nintendo ",0,0,0,0,0,0,0,0,0,0
Super Mario Galaxy,"the ultimate nintendo hero is taking the ultimate step ... into space.

become mario as he traverses a galaxy of gravities, traveling in and out of gravitational fields by blasting from planet to planet. players experience dizzying perspective shifts as they run upside down through wild alien worlds that need to be seen to be believed.
controlling mario is as simple as can be with the wii remote and nunchuk. players move mario with the control stick and shake the wii remote to perform a spin move or cue stars that launch him to and from planetary objects. players can even point at bits of stardust to collect them or latch onto stars to blaze a magnetic trail through the heavens.
don't want to head into space alone? with a second wii remote, another player can play alongside by pointing at and collecting bits of stardust, then launching them at enemies. the second player can even sweep aside projectiles or stall enemies to help make mario's adventure easier.

  ",0,0,0,0,0,0,0,0,0,0
Super Mario 3D Land,"a new look at mario as he jumps into 3d
past mario™ games have let the blue-suspendered hero roam around  fully rendered 3d landscapes. now, for the first time, players can see  true depth of their environment without the need for special glasses. super mario™ is a 3d evolution of classic mario platforming featuring new level designs and challenges.
features:

3d visuals make it easier for players to judge the depths and  distances in their environments. players can more accurately judge the  jump to the next platform or how far mario is from a question block.
new and familiar abilities add unique game-play strategies to  the adventure. mario can perform a rolling somersault attack or run fast  with a dash move. or, as tanooki mario, he can use his tail to hover,  perform floating jumps or attacks.
the circle pad gives players complete control to confidently move mario through fun and challenging environments.
new enemies include goombas with tails, tall stacks of goombas and a piranha plant that spits ink to obscure a player's view.

(nintendo) ",0,0,0,0,0,0,1,0,0,0
