Name,Summary,blocks,colored,bubbles,puzzles,tiles,bomberman,sudoku,puyo,tetris,puzzle
Tetris,"tetris is a puzzle game originally developed in russia by a man named alexey pajitnov for the academy of science of the ussr in 1984. it has been released in various versions continually since then, but the game boy version has been the most popular of these by a notable margin. 
released in 1989, tetris would soon be packaged with all game boys. in america, the game continued to be a pack-in for 5 years. it has, on many occasions, been considered the greatest video game ever developed due to the simplicity and elegance of its design.
the goal of the game is to arrange ""tetrads"" (a variety of shapes made of four blocks each) as they fall, to complete rows across the bottom of the screen. when a row is filled with blocks, it will disappear, earning the player points. when the screen fills to the top, the player loses.
  ",1,0,0,0,0,0,0,0,2,1
Pac-Man," move pac-man through the maze, avoiding ghosts and eating all the pac-dots. beware, each of the ghosts behave differently.  when pac-man chomps a power pellet, he becomes invincible and is able to eat the blue ghosts.  the more ghosts pac-man eats in a row, the higher the score. don't forget to eat the bonus fruit too. released in 1980, pac-man is the most well-known video game on earth and is also commonly acknowledged as one of the most successful coin-operated games in history.  enjoy this masterpiece of gaming history today.   from: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Tetris,"the soviet game sensation!
your pulse quickens. beams, boxes, zig-zags and ""l"" shaped building blocks drop relentlessly down a narrow passage.
you quickly spin, shift, and align the shapes then slide them in for a perfect fit.
it's challenging and the pace is demanding. but satisfaction comes as you position each block neatly into place.
start at new heights for a tougher contest. pick the music and set your pace from 20 progressive skill levels.
 * back of box (pal) ",1,0,0,0,0,0,0,0,0,0
Dr. Mario,"it's dr. mario for an intense new challenge! mario throws multi-shaded vitamin capsules into a bottle that contains an ugly variety of nasty viruses. you can move, shift or spin the capsules as they fall. arrange them to align with other capsules on top of a virus. if you can get 4 or more of the same shade in a row, poof! they disappear! destroy all of the viruses in the bottle and you progress to the next round where things get even more difficult. dr. mario, with germs that are fun to catch. ",0,0,0,0,0,0,0,0,0,0
Dr. Mario,dr. mario is a simplistic puzzle game released for both the nes and gameboy. the gameplay is very easy to learn and become adept with. it consists or matching colored pills to the same color virus in order to destroy that virus. the game features both a single and 2 player variation. in 2 player 3 matches must be won in order to defeat your opponent. the objective is to eliminate all of your viruses before the opponent.  ,0,1,0,0,0,0,0,0,0,1
Yoshi,"it's raining goombas, bloobers, and boo buddies! you have to help mario cope with the airborne invasion! as the critters fall, catch them on trays. switch and shuffle to save the day! stack two of a kind and they both disappear. or, capture the whole bunch in-between egg shells. when the egg shells match, out hatches yoshi and up goes your score! the action heats up as the characters fall faster and faster. if your piles get too high, the game is over. choose your difficulty level and play for a high score or challenge a friend in a head-to-head hatch-off! if you like dr. mario, but you're ready for a whole new kind of challenge, you'll love this quick-shuffle action puzzle game! ",0,0,0,0,0,0,0,0,0,1
Mario vs. Donkey Kong: Mini-Land Mayhem!,"
mini marios mean maximum fun!at the grand opening of mario's new  theme park, where pauline is a special guest, the first 100 guests will  receive a mini pauline toy. donkey kong is the 101st guest to arrive.  instead of walking away empty handed, he grabs pauline and heads into  the park. now mario must rescue pauline by guiding mini marios through  over 200 new action-puzzle levels filled with traps set by donkey kong.  grab your stylus and place girders to cross pits, build conveyor belts,  set springs, or even place warp pipes to solve these puzzling levels.  mario vs. donkey kong: mini-land mayhem! is the latest installment in  the mario vs. donkey kong franchise that offers plenty of new challenges  for new players and fans alike.
features:

use your stylus to strategically place items and solve different  puzzles. once you tap the mini marios, be ready to react quickly to help  guide them safely to the exit.
with an intuitive interface, players of any experience level will be  able to enjoy mario vs. donkey kong. players can access the in-game  help mode that lets you get more information on key items. additionally,  if players get stuck trying to solve a level, they can now use the new  mini guide to demonstrate a possible solution.
feeling creative? construct your own levels in the construction zone  with an easy-to-use level building tool. you are also able to share  your new levels with friends over local wireless or post them online  using the nintendo® wi-fi connection.
access new levels created by fellow users with the nintendo wi-fi  connection. store up to 160 additional puzzles to always take the action  with you, wherever you go.
participate in the all new challenge mode where you will create a  level based on certain criteria. players can vote for their favorites  and the top rated levels will be announced.
the new mini pauline toy has been added to the roster of familiar  toys in the series (mini mario, mini toad™, mini princess and mini  donkey kong)

*nintendo fact sheet
",0,0,0,1,0,0,0,0,0,0
Pac-Man Collection,"what better way to bring pac-man back than to feature him in four of his all-time greatest hits. enjoy the original pac-man, the fast and furious pac-attack, and the addictive and challenging pac-mania. and now, for the first time outside the arcade, namco introduces the special pac-man arrangement mode. ",0,0,0,0,0,0,0,0,0,0
Tetris DS,"it's tetris like you've never seen it before!
features 

innovative use of ds stylus and dual screens 
six classic and all-new modes 
incredible artwork inspired by nintendo favorites like super mario bros. and the legend of zelda 
10 ds players can battle with only one tetris ds card! 
battle worldwide on the nintendo wi-fi connection 

everyone agrees: tetris is one of the most popular games ever. but standard mode is only the starting point of this stunning game.
touch mode -- only possible with the ds!
at the top of a heap of tetriminos sits a cage of balloons inspired by the nes classic balloon fighter. use the stylus to touch and slide the tetriminos to clear lines and drop that cage ever closer to earth. if you can get the cage to hit the ground, it will open and the balloons will be set free.
in early levels, players can tap blocks to rotate them just to fit into the open spaces. touch mode gets really challenging, though on the tougher levels, where you can't rotate the tetriminos. think hard and carefully plan your moves. there's no time limit in this brain-bending mode.
once you play touch mode, you'll wonder why no one has thought up this simple yet incredibly addictive puzzler before.
push mode -- tetris tug-of-war
push against friends locally via the ds wireless connection or all over the world via nintendo wi-fi connection.
themed to the arcade classic donkey kong, players must clear lines in an attempt to push the other player to the edge of the screen. clearing two lines at a time moves the screen down and pushes the opponent into the red zone. the frantic action leads to abrupt changes of momentum. all it takes is a few well-timed pushes to quickly end a game.
push mode can also be played solo vs. the cpu.
catch mode -- tetris in reverse
instead of controlling the flying tetriminos, gamers control a flying core of blocks. maneuvering in a classic metroid setting (you even get to destroy metroids), gamers twist and move that core to catch the tetriminos.
as pieces fall, the core of blocks turns into a mass that can grow to unmanageable sizes if a player isn't careful. falling metroids will deplete your player's energy if they touch the mass of blocks. to keep the core of blocks under control, you'll need to form a solid square, then detonate it to refill the energy meter.
catch mode is the ultimate tetris game of survival.
puzzle mode -- testing your wits
clear all the blocks using only a few tetriminos in this innovative mode themed around the game boy classic yoshi's cookie.
you are given lines of blocks and a predetermined set of tetriminos. use the stylus to choose, rotate and drop a tetrimino. each drop has to clear at least one line. often, the obvious choice isn't the right one.
there's no time limit, so you have all the time in the world to ponder your next move. with 200 puzzles, gamers of all ages will be engrossed for hours.
mission mode -- move quickly!
in this legend of zelda-inspired mode, you are given scenarios to complete, such as clear two lines at once, or clear lines with a specific tetrimino. move quickly -- if you take too long, you'll be hit with junk blocks.
you can play an endless marathon game. in time trial, clear 10 missions as quickly as possible in time trial. if your zelda-inspired heart meter runs down, the game is over.
for frantic lan fun, play mission mode head-to-head against a friend.
standard mode -- the classic, updated
this is the place for classic tetris action! gamers can play traditional tetris solo before a super mario bros. backdrop or battle others nearby or around the world!
up to four people can battle around the world with nintendo wi-fi connection and see how they stack up against others on the leaderboard on nintendowifi.com. additionally, tetris ds lets up to 10 people battle at the same time via wireless lan. all you need is one tetris ds game card and a ds for each player!
for each ten levels cleared, you'll open up a new nintendo-inspired theme. excitebike, ice climber and duck hunt are just a few of the retro themes you'll love!
nintendo.com ",5,0,0,0,0,0,0,0,10,1
WarioWare Touched!,"wario makes his mad debut on the nintendo ds with 180 all-new, factory-fresh microgames!
what really makes this game rock is the ds's touch control. whether you're slicing veggies flying through the air or ripping the clothes off a sweltering beachgoer, the touch control makes playing wario's blazingly fast microgames so simple, even a nintendo.com writer can figure 'em out.
did we only say ""touch""? sorry, we forgot mic control. yep, a karaoke-mad robot named mike is on hand to get this party going with special mic-controlled games. for the absolutely first time in video-game history, you can blow sweet nothings into the ear of that someone special or cool off a cup of hot java.
the usual gang of wing nuts
touch the latest fruits from the bizarro developers of warioware inc. (gba and nintendo gamecube). expect to make lots of spins and whirlpools to win dr. crygor's slightly unscrewed microgames. kickin' kindergartners kat and anna return with a dojo's worth of ninja scribble microgames. scooter girl mona has made a career move from the gelateria to the pizza delivery business, but she's also found time to become a pop diva and, of course, develop a whole new set of extremely cuuute microgames.
that madcap taxi-driving duo, dribble and spitz, and way-out alien orbulon return in wholly unpredictable supporting roles. old-school grade-schooler 9-volt is joined by his big brother, 18-volt, to make five-second gems inspired by classic nintendo games. this time, he's even gotten inspiration from gold digger, one of the classier offerings (not!) from warioware inc. gba.
disco heartthrob jimmy t. is back, along with his mom, dad, james (""jimmy's chick-magnet brother""), jamie (""jimmy's disco-fabulous sis""). remix masters james and jamie each spins their favorite microgames.
new software developers this time are ashley, a goth girl whose games are a ""total drag,"" and mike, the aforementioned party robot. ashley's hilarious theme song is worth the price of admission by itself.
you can also feed a special something to wario to create wario-man, who looks like one of those masked mexican wrestlers. ""faster than a doughnut! stronger than cardboard!"" (we kid you not), wario-man's boss battle challenges you to plumb the depths of someone's nose for buried treasure.
 
microgame madness
some of the many all-new microgames include:
 

shakedown knock the fruits from the trees. 
pet petter pet a dog or cat. awww! 
washed up make like a mom and scrub a kid's dirty face. 
quite puzzled slide the panels to complete the picture. 
got the chops slice the veggies, chop-chop! 
crowd control hey, you're a superstar with no time for groupies. blow 'em off! 
fresh squeezed milk the cow. 
pro bowling you get three balls to knock down the pins, which may be in strange formations. 

but there's even more bonus games! how about orbit ball, an insanely addictive game in which you jot down lines that morph into trampolines that a grinning ball bounces off of. can you put mr. goof ball into outer space? there's even a two-player table-tennis sim, in which one player swings a paddle by pressing the l button and the other uses the r button.
source: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
