Name,Summary,speed,driver,racers,drivers,driving,tracks,car,race,cars,racing
Mario Kart Wii,"mario kart wii includes 16 new courses and 16 classic courses from previous mario kart games. for the first time ever, players have the option of racing with either karts or motorbikes. players can also hit the road as their personalized mii(tm) caricatures in addition to the handful of classic nintendo characters found in the game. true to the series, the game features tons of racing, plenty of power-ups and oodles of objects for players to use to slow down other drivers. and 10 battle arenas will keep players busy between trips around the circuit.
the easy-to-use wii wheel is also sold as a separate accessory, giving every driver in the household a chance to get behind his or her own wheel. and if veteran mario kart fans are afraid of getting smoked by rookie drivers using the wii wheel, they can rest assured that nintendo has them covered. mario kart wii supports four different control options: wii remote(tm) with or without the wii wheel, wii remote and nunchuk(tm) controller combo, classic controller and even the nintendo gamecube(tm) controller. so there's bound to be a configuration that fits everyone's style.
mario kart wii launches with a new channel added to the wii menu to enhance game play: the mario kart wii channel. this new channel builds on the huge online community of wii owners and lets players compete in tournaments, check worldwide rankings, see when their friends are playing and download ghost data.
official vgchartz mario kart wii gp leagues

european gp league
na gp league
australian gp league

iwata asks ",0,1,0,1,0,0,0,0,0,1
Mario Kart DS,"koopa shells will be flying world-wide with the release mario kart ds this fall. the acclaimed mario kart series is going wireless, letting you race and battle with an all-star cast that includes mario, luigi, peach, yoshi, donkey kong, wario, bowser, and toad!
with over 30 courses and all the crazy items and frantic speed players would expect, this game is a mario kart fan’s dream!
features 
• drive the competition off the roadways anytime, using nintendo wi-fi connection.
• compete with up to four people wirelessly using nintendo wi-fi connection or up to eight people using one game card with local wireless connection.
• race on 30 courses designed to replicate the best tracks from past games as well as all-new courses.
• keep one eye on the map and the other on the action with dual-screen gameplay.
source: www.nintendo.com ",1,0,0,0,0,1,0,2,0,0
Mario Kart 7,"the newest installment of the fan-favorite mario kart™ franchise brings mushroom kingdom racing fun into glorious 3d. for the first time, drivers explore new competitive kart possibilities, such as soaring through the skies orplunging to the depths of the sea. new courses, strategic new abilities and customizable karts bring the racing excitement to new heights.
• the mario kart franchise continues to evolve. new kart abilities add to the wild fun that the games are known for. on big jumps, a kart deploys a wing to let it glide over a track shortcut. when under water, a propeller pops out to help the kart cruise across the sea floor.
• players can show their own style by customizing their vehicles with accessories that give them a competitive advantage. for instance, giant tires help a kart drive off-road, while smaller tires work best on city courses.
• people can choose to race as one of their favorite mushroom kingdom characters or even as their mii™ character.
• new courses take players on wild rides over a mountain road, on city streets and through a dusty desert. nintendo fans will recognize new courses on wuhu island and in the jungles from donkey kong country™ returns.
• the game supports both spotpass™ and streetpass™ features.
• players can compete in local wireless matches or online over a broadband internet connection.
 
(nintendo) ",0,0,0,1,0,0,0,1,0,2
Mario Kart 8 Deluxe,"race and battle your friends in the definitive version of mario kart 8.
hit the road with the definitive version of mario kart 8 and play anytime, anywhere! race your friends or battle them in a revised battle mode on new and returning battle courses. play locally in up to 4-player multiplayer in 1080p while playing in tv mode. every track from the wii u version, including dlc, makes a glorious return. plus, the inklings appear as all-new guest characters, along with returning favorites, such as king boo, dry bones, and bowser jr.!
source: nintendo ",0,0,0,0,0,0,0,2,0,0
Gran Turismo 3: A-Spec," some say there's nothing finer than a well-crafted automobile. but with over 150 of the world's top performing sports cars, luxury autos, modified street runners, rally racers, and prototype evolutionary automobiles, the finer driving experience may be in gran turismo™ 3: a-spec. the flawless third edition of the racing series that is studied by all other racing game designers creates a new paragon of graphic and handling distinction. recreating racing excellence to the last detail of physics and automotive engineering with the assistance of the manufacturers such as aston martin, lotus, nissan, and ford motors, the evolution of racing realism is unmatched by any other game. and with undeniably stunning visuals set in glinting cityscapes and on swirling rally tracks, no game approaches its beauty. come around a corner at dusk, and blinding sunlight will blaze across your windshield. whip through country roads and marvel as the reflection of nearby trees gleams off of your sedan. skid across slick wet roads and watch the spray of your wake douse your opponent in a wall of mist. from the perfect lines of real automobiles settling on their shocks to unprecedented effects only possible with the playstation 2, this is the pinnacle of racing.  meticulously refined. obsessively technical. viciously fast. the world's most technically advanced racing experience delivers capabilities beyond any game.  key features:  broadcast-quality visuals that blur the line between game and reality 4,000 polygons per vehicle for exceptional detail, right down to the disc brakes behind the wheels amazing special effects: impairing sun-glare, shimmering heat waves, real-time reflections, and much more! 2 modes of play: arcade, for those who love the thrill of speed, and simulation, for the hardcore gamer who longs for the complete racing experience rally racing with a refined physics model to challenge your off-road driving skills advanced opponent behavior and calculated physics; “emotion” physics where players sense other cars reacting to sneering passes and jarring cut-offs each car carefully designed according to the exact specifications of its real-life counterpart analog controls and pressure-sensitive buttons on the dualshock® 2 analog controller to ensure precision steering, braking, and acceleration intense 2-player racing plus, i.link compatibility that allow up to 6 players to race simultaneously an amazing soundtrack featuring 20 of yesterday's, today's, and tomorrow's biggest bands including exclusive original songs and remixes enhanced replay mode that allows players to create their own dynamic replayssource - www.us.playstation.com ",0,0,0,0,2,0,1,1,1,8
Gran Turismo 5," 
gran turismo returns with the most realistic and complete racing experience. an unprecedented collection of over 1,000 meticulously detailed cars, complete with robust online racing and community features, and just about every style of racing imaginable, including road, rally, drift, nascar® and kart--all in gran turismo's signature cutting-edge graphics.
key features:

build a dream collection from over 1,000 of the world's most exciting cars, from exotic imports to muscle cars and performance supercars, to customize, race, and upgrade.
travel the world to experience a wealth of real and fictional road, rally, nascar, drift and kart courses, and use the new course maker feature to create your own personal proving grounds.
expand the gran turismo experience with deep and robust online community features, and challenge friends in the new custom race room system with voice chat for the ultimate track day.
new and improved photo travel mode lets you take stunning pictures of your favorite cars in exotic locations with a virtual digital slr camera. works in both 2d and stereoscopic 3d for enhanced realism.
challenge and hone your driving skills in the a-spec career mode as you complete a wealth of racing events spanning all racing styles.
become a team coach and train ai drivers to be the best of the best as you guide them through a variety of racing events in the b-spec career mode.
the most advanced gran turismo yet, featuring unrivaled graphics and a true-to-life driving feel.

 
www.us.playstation.com ",0,0,0,1,2,0,0,1,2,6
Gran Turismo 4,"with authentic cars, courses, and car physics, gran turismo™ 4 adds an even more realistic racing simulation to the series. the characteristics of each car take into account weight, speed, friction, and more to deliver realistic handling. test-drive new vehicles in courses located in various sites, such as nurburgring nordschleife, new york city, the grand canyon, and tsukuba circuit. along with career mode, gran turismo™ 4 highlights the new gt photo mode. source - www.us.playstation.com  ",0,0,0,0,0,0,2,0,0,1
Gran Turismo,"feel the power of 140 authentic sports cars!!
welcome to the most advanced racing game ever created! encounter exhilarating high-speed racing in 11 stunning environments. feel handling agility and throttle response so convincing, the car seems to be an extension of yourself. experience the extraordinary world of gran turismo!
 
source: game case ",0,0,0,0,0,0,1,0,0,2
Mario Kart 64,"mario kart 64 races eight familiar faces, including mario, bowser and yoshi, on four progressively tougher four-track circuits. wide curves and gentle banks mark the mushroom cup tracks. your commute gets notably tougher on the flower cup, though. you'll have to dodge semis rumbling on toad's turnpike and bounding boulders on fogbound choco mountain! star cup tracks range from the icy surfaces of sherbet land to the lava lakes of bowser's castle. the true test of karting competence, though, comes on the four tracks in special cup. zip through the dark caves and green hillsides of donkey kong's jungle parkway, cling to the sheer cliffs of yoshi valley and hustle over haunted banshee boardwalk before tackling the longest track in the game: neon-lit rainbow road.  ",0,0,0,0,0,2,0,0,0,0
Gran Turismo 2,"the world's most advanced racing game returns with thunderous new features.

over 500 racing machines from world-class manufacturers.
all vehicles are designed according to their exact specifications and are fully customizable.
insane arcade mode with power slides, burnouts, jumps and excessive speeds.
killer soundtrack from star-studded bands.
benchmark 3d graphics
intense two player racing

 
source: game case ",0,0,0,0,0,0,0,0,0,3
