Name,Summary,tales,pokémon,monsters,enix,dungeon,dungeons,fantasy,playing,role,rpg
Pokemon Red / Green / Blue Version,"courtesy of nintendo power:become the greatest pokémon trainer in the world! start your pokémon game boy adventure by choosing a tame pokémon at the home of the great pokémon master professor oak. then start your journey. your mission: collect all 150 pokémon, just like ash, using your own pokémon to capture others. along the way, several skilled trainers, such as gary, and many minor trainers will challenge you to pokémon duels. you can't back down, so be ready for anything!remember, pokémon are not ordinary creatures. to collect all 150, you'll need to train captured pokémon so they evolve. for instance, a captured caterpie will evolve into a metapod, which will then turn into a butterfree. each transformation adds more power to the pokémon-giving you more power to defeat and capture other pokémon. also keep in mind that some pokémon are rare and won't be found in your game. newer pokemon from pokémon gold and silver do not appear in this game, either.the red & blue versions of the game each carry their own variety of pokémon to defeat, collect, and train. to get all 150, trade pokémon with your friends using the game link cable, which allows the transfer of pokémon between game paks.  ",0,13,0,0,0,0,0,0,0,0
Pokemon Gold / Silver Version,"gotta catch even more!
enter a whole new world, with new pokémon to capture, train, and battle!  meet professor elm and get the all-new poké gear, including map, radio, cell phone, and clock.  set the clock then watch as day turns to night and events take place in real time -- and be sure to keep an eye out for pokémon that only come out at night!

dozens of never before seen pokémon!  find new evolutions for some familiar pokémon and discover whole new species.  your pokédex will even reveal genders of some pokémon.
a whole new world!  explore johto, where there are new gym leaders to beat and eight new badges to earn.
two new types!  introducing dark- and steel-type pokémon.
trade with gold, silver, red, blue, and yellow to catch 'em all! (requires game link cable, sold separately.  new pokémon cannot be traded back to blue, red, or yellow versions.  not compatible with pokémon stadium.)
compatible with pokémon pikachu 2 gs!

source - back of box ",0,6,0,0,0,0,0,0,0,0
Pokemon Diamond / Pearl Version," pokemon diamond and pearl is the latest addition to the pokemon rpg series.  it adds many new things to the genre including wifi online play and 107 new pokemon, bringing the total amount of pokemon in the universe to 493 species.gameplay.  the gameplay isn't much changed from previous pokemon games, although some minor tweaks were made to the formula.  the player is able to choose between 1 of 3 starter pokemon at the start of the game, and is able to capture any pokemon to enhance thier party that appear in the wild.  battle takes place in a turn based fassion in either 1 on 1 or 2 on 2 matches.  moves are selected on the touch screen or with the use of the d-pad and buttons.  moves are now divided into physical and special based on how they are executed, unlike previous versions of pokemon where move damage was seperated into physical and special based on type.  there are 17 different types in the game.  each type has it's own weaknesses and strengths in relation to the others. story.  as with most pokemon games, the story centers around the hero's progression as a pokemon trainer.  the hero must combat the evil team galaxy and their nefarious plans of world domination, while collecting the 8 gym badges to challenge the elite 4 and become a pokemon master.  after the elite 4 are defeated there are new areas opened up to the player to explore, and gameplay can extend indefinitely as the gamer collects new pokemon.design. pokemon diamond and pearl is a mixture of cell shaded 3d graphics and 2d environments.  the pokemon are all 2d sprites.  some of the sound effects are synthesized, but most of the music is orchestral.  composers hitomi sato, go ichinose, and junichi masuda wrote 149 songs for the game.  appeal. pokemon diamond and pearl offer all the appealing features of the old pokemon games (the unique ability to chose from hundreds of party members, challenging strategies, and breeding) along with the added bonus of online play.  it polished many of the old gameplay functions and added some new ones, creating a unique and engaging rpg experience.  ",0,0,0,0,0,0,0,0,0,2
Pokemon X/Y,"an all-new 3d pokémon adventure packed with never-before-seen pokémon has launched! pokémon x and pokémon y presents a new generation of pokémon and introduces players to an exciting new adventure in a breathtaking 3d world.
you'll be able to go on your journey as a boy or a girl, and you can  choose how your hero looks overall! find a look that suits you, and then  set off on your travels!
your adventure takes place in the expansive kalos region, where  you'll explore cities, meet people, and encounter many pokémon. don't  miss lumiose city, the central hub of the region, where you'll return  many times on your journey.
look for all-new fairy-type pokémon, the first new pokémon type since  dark-type and steel-type pokémon were introduced almost a decade ago.  fairy-type moves are super effective against dragon-type pokémon. one  such fairy-type pokémon to meet is sylveon, the new evolved form of  eevee!
all-new battle formats are fun for new players and pokémon pros. sky  battles feature duels between pokémon that can fly, and horde encounters  are massive competitions where one of your pokémon faces many wild  pokémon at once! these new modes will challenge every pokémon trainer.
in addition to new battle types, you can also care for your pokémon  with the pokémon-amie feature. feed, pet, and play with your pokémon to  increase your bond. the more you play with your pokémon, the friendlier  they'll become—and perhaps perform better for you in battle.
around the kalos region, you'll meet a lot of people. first there's  the brilliant professor sycamore. he's researching pokémon, and he's  looking to you and your friends for help. he may even challenge you to a  battle from time to time. but you're also likely to encounter members  of the mysterious organization team flare. what they're up to is  anyone's guess.
in pokémon x and pokémon y, some pokémon will tap  into powers long dormant. this special kind of evolution is called mega  evolution. in addition to far greater strength, mega-evolved pokémon may  also see their ability change, or even their type!
there's a new method of pokémon training: super training! with super  training, it’s not your pokémon’s level that goes up but its base stats,  the underlying values that define your pokémon's skills in battle.  these base stats could be increased using items and other methods in  previous pokémon titles, but in pokémon x and pokémon y, you'll be able to raise them far more easily than ever before, thanks to super training.
the all-new player search system (pss) gives you all kinds of new  ways to interact with other players. with the pss, you can battle and  trade with players around the world, as well as share o-powers, special  abilities that will temporarily enhance certain gameplay aspects. and  the holo caster feature of the pss lets you trade messages with faraway  trainers and receive pokémon x and pokémon y news bulletins.
the pokémon global link has been completely redesigned to be easier  and more fun to use! now, directly from the pgl homepage, see your game  progress, enter online competitions, and more. you can even share a  timeline of your adventures with your friends and the whole world!
source: official site ",0,26,0,0,0,0,0,0,0,0
Pokemon Ruby / Sapphire Version,"immerse yourself in the beautiful region of hoenm, a place of masterful heroes and mysterious teams, of friendship and battles. as the new kid in town, you set off on your journey as a pokémon trainer. who knows what wonders and dangers await you? now it's time to grab your gear and head out on your own...

over 200 pokémon appear with over 100 new discovered species - you'll have to link up and trade with a friend who has ruby version to catch them all!
2-on-2 battles - use two of your pokémon in battle at the same time!
engage in intense multi battles with up to four friends!
pokémon contests let you groom your pokémon to be the best of show!
stunning game boy advance graphics display the world of pokémon with more detail than ever!

- from sapphire back cover ",0,6,0,0,0,0,0,0,0,0
Pokemon Sun/Moon, ,0,0,0,0,0,0,0,0,0,0
Pokemon Black / White Version, ,0,0,0,0,0,0,0,0,0,0
Pokemon Yellow: Special Pikachu Edition,"you've finally been granted your pokémon trainer's license, and now you're on your way to becoming the world's greatest pokémon trainer! the shockingly-cute pikachu tags along behind you as you search the enormous world for monsters to train and evolve. face off against blastoise's torrential water gun. stand strong when facing pidgeot's stormy gust. develop the ultimate pokémon strategy to defeat the eight gym leaders and decome the greatest pokémon master of all time!

battle a friend in the new colosseum for the pika cup, petit cup and poké cup titles (requires 2 yellow versions and a game link® cable-each sold separately).
print out your pokédex data with a game boy® printer and a game link cable (sold separately).
trade pokémon with your friends using a game link cable. you'll need to trade with both red and blue versions to catch all 150 pokémon and complete your pokédex!
requires basic readings skills to fully enjoy the entertaining story.

 
source: back of the box
 
  ",0,6,1,0,0,0,0,0,0,0
Pokemon Omega Ruby/Pokemon Alpha Sapphire,"prepare for an epic adventure exploring a world filled with pokémon in pokémon omega ruby and pokémon alpha sapphire for the nintendo 3ds family of systems.
your adventure takes place in hoenn, a region that consists of a main  island that stretches widely from east to west, along with countless  small islets that dot the deep blue sea around it. a live volcano steams  constantly in the heart of this green-covered island. look forward to a  region rich with natural beauty, a variety of pokémon, and  extraordinary people!
pokémon omega ruby and pokémon alpha sapphire tell a  grand tale that draws ever closer to the heart of the secrets behind  mega evolution, said to be the greatest mystery of the pokémon world.  one of your many goals will be to seek out these powerful pokémon and  unlock their incredible potential.
description from the official pokemon website. ",0,7,0,0,0,0,0,0,0,0
Pokemon Heart Gold / Soul Silver Version,"heart gold and soul silver are remakes of pokemon gold/ silver originally on the game boy color. these remakes will feature enhanced graphics similar to diamond/ pearl/ platinum and the ability for your pokemon to follow you around, and that pokemon can be any one you chose. while the pokemon is out you can talk to it to see how it is feeling in a similar manner to pokemon yellow. besides those two things there will also be tons of new stuff we don't know about yet.
 
written by mario128.  ",0,0,0,0,0,0,0,0,0,0
