Name,Summary,campaign,war,sniper,fps,soldier,weapons,enemy,person,duty,shooter
PlayerUnknown's Battlegrounds,"playerunknown's battlegrounds is a battle royale shooter that pits 100 players against each other in a struggle for survival. gather supplies and outwit your opponents to become the last person standing.playerunknown, aka brendan greene, is a pioneer of the battle royale genre and the creator of the battle royale game modes in the arma series and h1z1: king of the kill. at pubg corp., greene is working with a veteran team of developers to make pubg into the world's premiere battle royale experience.
source: steam ",0,0,0,0,0,0,0,1,0,1
Duck Hunt,"take aim, fire and score!
 it's duck hunt!your trusty hunting dog wades into the marshes to flush out your prey. your fingers tighten around your zapper light gun. suddenly, there's a duck in the air! you've only got three shots to bag this duck, and if you miss, even your dog laughs at you! but become a sharp-shooter, and you'll progress to the next round where two ducks fly up at the same time. and then you're on to the ultimate challenge: clay shooting. where you'll compete in a wild clay pigeon shooting contest! play duck hunt and discover you can have lots of laughs and be challenged at the same time.
[duck hunt, us back cover] ",0,0,0,0,0,0,0,0,0,0
Call of Duty: Black Ops 3,"call of duty: black ops iii combines three unique game modes: campaign, multiplayer and zombies, providing fans with the deepest and most ambitious call of duty ever. the campaign has been designed as a co-op game that can be played with up to 4 players online or as a solo cinematic thrill-ride. multiplayer will be the franchise’s deepest, most rewarding and most engaging to date, with new ways to rank up, customize, and gear up for battle. and zombies delivers an all-new mind-blowing experience with its own dedicated narrative. the title ushers in an unprecedented level of innovation, including jaw-dropping environments, never before experienced weaponry and abilities, and the introduction of a new, improved fluid movement system.
source: official site ",1,0,0,0,0,0,0,0,1,0
Counter-Strike: Source,"valve has taken a large selection of the maps from counter-strike 1.6 - office, havana, italy, aztec, chateau, cobble, piranesi and of course eternal favourites dust and dust 2, and recreated them for the source engine. this means all new textures and major aesthetic changes with more complex buildings and scenery. in addition, the levels are scattered with objects that react realistically with the source engine's physics engine.  ",0,0,0,0,0,0,0,0,0,0
Call of Duty: Modern Warfare 3,"modern warfare is back. the best-selling first person action series of  all-time returns with the epic sequel to multiple game of the year award  winner, call of duty®: modern warfare 2.
 
official website ",0,0,0,0,0,0,0,1,0,0
Call of Duty: Black Ops,"
call of duty®: black ops takes you deep  behind enemy lines into the world of deniable operations as a member of  an elite special forces unit engaging in covert warfare, classified  operations, and explosive conflicts across the globe. with access to a  variety of exclusive weaponry and equipment, your actions will tip the  balance during the most dangerous time period mankind has ever known.
black ops features:

 an epic campaign and story  that keeps you glued to edge of your seat from start to finish. 
call of duty's signature multiplayer gameplay with  deeper levels of character customization, and all new modes like wager  matches, the theater, and combat training which can be played solo or co  op. 
zombies! providing endless hours of intense  zombie-slaying entertainment, solo or co-op.


 
xbox.com ",1,0,0,0,0,0,1,0,0,0
Halo 3,"
halo 3 is the third game in the halo trilogy and provides the thrilling conclusion to the events begun in ""halo: combat evolved."" halo 3 picks up where ""halo 2"" left off.
structurally, the campaign is very similar to the first two halo games; much of the game consists of first-person shooter (fps) “run-and-gun” action, with some lengthy segments involving vehicles thrown in for good measure. up to four players can play through the campaign, either on the same console or on xbox live.
in the online mode, up to 16 players can take part in contests over 11 different maps in a plethora of different battle types, which are all customisable. a new addition is the match moderation feature known as the forge, which allows players to move objects around the different levels in real time, as well as spawn weapons and vehicles.
the game also offers players the ability to save and edit video clips from their battles. camera perspective in this theatre mode isn’t fixed, so players can relive their online victories (and losses) from every possible angle. on top of this, the file-sharing option allows players to share these clips, as well as screenshots and forge creations with the online community. ",1,0,0,0,0,1,0,0,0,1
Call of Duty: Black Ops II,"pushing the boundaries of what fans have come to expect from the  record-setting entertainment franchise, call of duty®: black ops ii  propels players into a near future, 21st century cold war, where  technology and weapons have converged to create a new generation of  warfare.
a time-spanning, generation-spanning narrative,  call of duty®: black ops 2 introduces players to an insidious villain  named raul menendez who hijacks the us military infrastructure to  further his own agenda. harness the power of near-future technology and  advanced robotics to pull the world back from the brink of annihilation.
key game features

an all-new call of duty®: black ops ii storyline featuring new characters and returning characters
a unique single-player campaign that contains two time periods linked by characters and their actions
special strike force missions, in which the players action affect the outcome of gameplay and the overall campaign
a variety of multiplayer modes and play options

source: publisher ",2,0,0,0,0,1,0,0,0,0
Call of Duty: Black Ops II,"pushing the boundaries of what fans have come to expect from the  record-setting entertainment franchise, call of duty®: black ops ii  propels players into a near future, 21st century cold war, where  technology and weapons have converged to create a new generation of  warfare.
a time-spanning, generation-spanning narrative,  call of duty®: black ops 2 introduces players to an insidious villain  named raul menendez who hijacks the us military infrastructure to  further his own agenda. harness the power of near-future technology and  advanced robotics to pull the world back from the brink of annihilation.
key game features

an all-new call of duty®: black ops ii storyline featuring new characters and returning characters
a unique single-player campaign that contains two time periods linked by characters and their actions
special strike force missions, in which the players action affect the outcome of gameplay and the overall campaign
a variety of multiplayer modes and play options

source: publisher ",2,0,0,0,0,1,0,0,0,0
Call of Duty: Modern Warfare 2,"on november 10, 2009, infinity ward's modern warfare 2 will strike worldwide. the most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, modern warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.
 game features:

epic single-player campaign picks up immediately following the thrilling events from call of duty 4: modern warfare.
the definitive multiplayer experience returns, with a host of new perks and enhancements.
new cooperative specops mode, the perfect combination of modern warfare's single-player intensity and the addictive replayability of its multiplayer.

from infinity ward.com ",1,0,0,0,0,0,0,0,1,0
Call of Duty: WWII,"call of duty: wwii is the fourteenth main instalment in the call of duty series. the game was developed by sledgehammer games with help from raven software. the game is published by activision and was released for the playstation 4, xbox one and pc on november 3rd 2017. 
call of duty: wwii takes the series back to the past while the last five call of duty games had futuristic setting. call of duty: wwii is also the first call of duty in three years to implement the boots on the ground movement system.
the base game includes a 6-8 hour campaign, a multiplayer mode and a zombies mode. 
source: jason1637 ",0,0,0,0,0,0,0,0,3,0
Call of Duty: Modern Warfare 3,"modern warfare is back. the best-selling first person action series  of  all-time returns with the epic sequel to multiple game of the year  award  winner, call of duty®: modern warfare 2.
 
official website ",0,0,0,0,0,0,0,1,0,0
Portal 2,"welcome to aperture laboratories
the highly anticipated sequel to 2007's game of the year,  portal 2  is a hilariously mind-bending adventure that challenges you to  use wits  over weaponry in a funhouse of diabolical science.
using a highly experimental portal device, you’ll once again  face  off against a lethally inventive, power-mad a.i. named glados. and  this  time you won’t be alone. meet an expanded cast of characters as you   think your way through dangerous, never-before-seen areas of aperture   laboratories.
break the laws of spatial physics in ways you never thought   possible, with a wider variety of portal puzzles and an expansive story   that spans a single player and co-operative game mode.
the official website : http://www.thinkwithportals.com/ ",0,0,0,0,0,0,0,0,0,0
