Name,Summary,crops,mech,aircraft,farm,beatmania,care,farming,pet,pets,sims
Nintendogs," 

with nintendogs, you can put a puppy inside your nintendo ds. pick  from multiple breeds, ranging from labradors to chihuahuas, and then  take care of and train the puppy using the touch screen and microphone.  if you train your puppy well enough, you can compete in dog shows and  agility contests to unlock other items and puppy breeds.

put a puppy inside your nintendo ds!
nintendogs features puppies from the most popular dog breeds, like  chihuahuas, labrador retrievers, beagles and german shepherds. there  will be more than 15 breeds in all, including breeds not featured in the  japanese versions. the pups will vary in gender, coloration and  personality.
players purchase one of several breeds available at the beginning, then  start spending time with their pup. they throw flying discs and balls to  improve the pup's agility, bathe it when it gets dirty and use their  own personal voice commands to train the dog to do tricks. if players  train it well enough, they will excel in obedience and agility trials  and disc competitions, which will earn money that they can use to buy  other supplies and puppy breeds. when players earn enough cash, they can  buy even more puppies to live with their original pup.
players can socialize their pups by walking them around the town, where  they will meet neighborhood dogs, and maybe even find new toys. trips to  the park and gym offer valuable training time to prepare for agility  trials and disc competitions. over time, the pup's stamina will increase  so players can explore farther and farther. players also can interact  wirelessly with their friends' nintendogs ? they can set their ds to  bark whenever another puppy is within wireless range.
features
 

pick from more than 15 of the most popular dog breeds, including  labradors, chihuahuas, beagles and more, then care for and train the  puppy using the touch screen and microphone.
pet the pup, acquire and play with more than 100 items like tennis  balls, flying discs and even clothing accessories. teach your dog to do  tricks by creating your own personalized voice commands.
train your pups well and compete in obedience and agility trials.  win these competitions to earn cash, which you can use to buy supplies  and even more dogs to keep your first puppy company.
walk puppies around the town to meet neighborhood dogs or interact  wirelessly with friends' nintendogs using the innovative bark mode.
players care for and train their puppy by petting it, walking it and  buying it supplies to play with. as a puppy competes in obedience and  agility trials, owners can win money to purchase other puppy breeds.


 ",0,0,0,0,0,3,0,1,0,0
Animal Crossing: New Leaf, ,0,0,0,0,0,0,0,0,0,0
Animal Crossing: Wild World,"in this sequel to the wildly popular nintendo gamecube game, players and up to three friends can hang out in the same village and interact in real time - either through wireless lan or over nintendo wi-fi connection. now players can visit a friend's village from thousands of miles away. the touch screen makes item management and world navigation a breeze. typing letters and designing patterns are now just stylus strokes away. days and seasons pass in real time, so whether players want to decorate their homes, catch bugs or fish, collect brand-new items like hats and sunglasses or just chat with the wild and wacky characters in their villages, there's always something to do. [nintendo]barely a game at all, animal crossing is almost like a way of life. once it draws you in, it is impossible to leave. ""i just need to check tom nook's for the turnip prices"" you will say as you turn on your ds and two hours of fishing, talking and bug catching later you will finally realise that you need to eat something!while the game has no goal, the incredble charm and simple crazyness of your own little town's inhabitants just makes this game impossible to give up. there are so many side quests and events that even after playing for two years you will not have explored everything there is to do in this game. play with friends locally or over the nintendo wi-fi connection, show off your town, and meet crazy new animals in every town you visit. this game fits the nintendo ds perfectly.   ",0,0,0,0,0,0,0,0,0,0
The Sims 3,"get inspired by the endless creative possibilities and unexpected moments of surprise and mischief in the sims 3! customize your sims’ appearances and choose up to five traits to create individual personalities. with over 60 personality traits—including kleptomaniac, insane, and evil—you can create millions of unique sims! new goal-oriented game play enables you to choose which short or long-term objectives you want your sims to pursue and even determine your sims’ destinies in life. create and edit your own movies by capturing your gameplay moments or select from a library of clips. then join the sims 3 online community where you can show off all of your creations, get free bonus content, hear the latest news, and more!key features

create any sims you can imagine and give them personalities! design your ultimate sim by choosing up to five traits from more than 60 and numerous body characteristics in the create-a-sim feature. customize your sims body type, facial features, hair styles, and more. create an evil, handsome, ripped kleptomaniac that wreaks havoc on those around.
control your sims’ destinies. from a rock star or world leader to an expert thief, you choose whether or not to pursue the lifetime wish of your sim. choose whether to fulfill their destiny, giving them a lifetime of happiness and rewards—or not and be devious!
customize everything! you are the designer! from clothing to houses, customize patterns, colors, or create any house you can imagine. customize any aspect of your sims' style…even down to the style and color of their shoes!
be the director of your sims’ movies! never before have you been able to make your own movie with a cast, a set, soundtrack, a story and editing without leaving the game. now you can with the movie making mash up tool set. make a movie and share it with the world!
share like never before! join the sims 3 online community where you can show off your creations from sims and houses to objects, movies, and more. download tons of exclusive content and hear the latest news of the sims 3 world first. (www.thesims3.com)
 ",0,0,0,0,0,0,0,0,0,8
Tomodachi Life,"what happens when friends, family, and celebrities become mii™        characters and live together on an island? tomodachi life happens! start        by creating mii characters and customizing everything about them. have        fun recreating your best friend, your favorite actor, mom and dad,        co-workers...whoever! then watch as they rap, rock, eat donuts, fall in        love, break up, go shopping, play games, and live their crazy mii lives.
source: publisher ",0,0,0,0,0,0,0,0,0,0
Euro Truck Simulator 2,"euro truck simulator 2 gives you the chance to become a real truck driver from the comfort of your home! featuring licensed trucks with countless customization options and advanced driving physics, the game delivers an unparalleled driving experience which has put it in the spot of the most popular truck driving simulator on the market. in game world features numerous landmarks and precisely recreated territories to create the ultimate experience, making you feel as if you were driving the trucks in real life! but let's not be fooled - euro truck simulator 2 is not only about driving - the economy in game allows you to create and grow your own transportation company exactly as you see fit - the opportunities are endless!
source: publisher ",0,0,0,0,0,0,0,0,0,0
Cooking Mama,"learn how to cook with your nintendo ds! as a budding chef you must first prepare foods then combine raw ingredients together as you cook them on the stove. follow real recipes or experiment with your own combinations to create a culinary masterpiece with your stylus.
let's get cooking, mama!

create 76 different, real world dishes from fried eggs to cabbage meat rolls! by mastering the first 15 recipes you can unlock 61 increasingly complex bonus recipes to expand your skills in the kitchen. 
the stylus is your master kitchen tool! use it in more than 200 mini-games to chop, slice, pan fry, knead, grate, mash, tenderize, mix, peel, carve, roll and more. once your dish is ready, you can even use the stylus to prepare the final layout of your meal. 
cool food down by blowing into the nintendo ds microphone 
combine recipes to create more advanced dishes 
share recipes with up to 4 other people or transfer a saved game to a friend via the ds wireless link 
earn bronze, silver and gold medals based on the quality of your cooking 
practice mode lets you finetune your cooking skills without being judged

- from majesco ",0,0,0,0,0,0,0,0,0,0
Microsoft Flight Simulator, ,0,0,0,0,0,0,0,0,0,0
Cities: Skylines, ,0,0,0,0,0,0,0,0,0,0
Stardew Valley, ,0,0,0,0,0,0,0,0,0,0
