Name,Summary,sim,fifa,nfl,pro,league,soccer,nba,football,sports,baseball
Wii Sports,"wii sports was developed by nintendo to show the strengths of the wii. use your wii remote to play one of 5 sports, including tennis, baseball, golf, bowling, and boxing. swing at a tennis or baseball. simulate throwing a bowling ball. use the nunchuck attachment with the wii remote and throw punches. you can play with up to 4 friends at a time, and 1vs1 in boxing and baseball.
the game is shallow, but very enjoyable. great for playing with friends and family. just remember to wear your wrist straps; you dont want to crack your tv. it is a very immersive sports simulator.
it is more than just a game. it is currently being used in rehabiliation facilites. many wii owners use wii sports for exercise. the boxing game provides a great work out.
get in shape with wii sports. party with wii sports.
iwata asks about wii sports  ",0,0,0,0,0,0,0,0,4,0
Wii Sports Resort,"wii sports resort is an immersive, expansive active-play game that includes a dozen funresort-themed activities. it maintains the wide-ranging appeal that attracted millions to the original wii sports. wii sports resort is easy to pick up and play, but comes coupled with deeper levels of play that are sure to challenge even the most experienced gamers. wii sports resort whisks players away to a resort that’s full of action, while introducing an unprecedented experience in physical reality. wii sports resort comes bundled with a wii motionplus™ accessory to provide players the most realistic, immersive experience possible – the slightest tilt, turn and twist of the wii remote controller is recognized. from the moment players skydive onto wuhu island, they’re presented with a huge selection of fun activities that everyone can play.
features

wuhu island has so many things to do, there’s never a dull moment. a dozen activities await visitors: archery, frisbee®, basketball, cycling, canoeing, power cruising, table tennis, air sports, bowling, swordplay, golf and wakeboarding.
the activities use the precision controls of the wii motionplus accessory to help players come much closer to the physical reality of engaging in the actual sports. every real-world action, whether it’s a perfect drive on the fairway or a slice off the course, is meant to be faithfully replicated.
each activity has multiple fun challenges designed to keep visitors coming back for more. basketball players might compete in a three-point shootout or jump into a three-on-three pickup game. archery enthusiasts must aim for the bull’s-eye across ever-increasing distances and obstacles.
different activities use the wii remote and nunchuk controllers in different ways. for example, players hold the wii remote like a paddle in canoeing, while in cycling they use both arms to “pedal” with the two controllers. the wii motionplus accessory picks up every nuance of motion and translates it onto the tv screen.
depending on the activity, players can compete solo or against other players. some activities even let players team up to work cooperatively.
 ",0,0,0,0,0,0,0,0,4,0
Wii Fit,"wii fit uses a unique platform peripheral called the wii balance board that can measure a user's weight and their center of gravity, and calculate their body mass index based on the user's height.
wii fit allows you to install the wii fit channel straight to the wii menu, which allows users to compare fitness results and perform a body test without inserting the game disc. the wii fit channel will also let you know when your last body test was taken right on the wii menu.
the body test performs two functions. first it weighs you for your daily weigh in. secondly, it calculates a wii fitness age, which comprises of your weight, actual age, and performance on two balance minigames.
activities
training within wii fit is divided into four categories: yoga, strength training, aerobics, and balance games. these exercises will provide a ""core workout"", emphasizing slower, controlled motions. the activities include:

yoga

half-moon
cobra
bridge
warrior
tree


strength training

torso twists
rowing squat
lunge
push-up and side plank
jackknife


aerobics

hula hoop
basic step
basic run
2-p run
rhythm boxing


balance games

soccer heading
ski sloalom
ski jump
tightrope walk
lotus focus



read the official vgchartz thread here

read iwata asks about wii fit
visit the official site  ",0,0,0,0,0,1,0,0,0,0
Wii Fit Plus,"wii fit attracted millions of new players to the world of video games. now wii fit plus offers a range of new features and enhancements to help players reinvigorate their workouts, along with exercises and balance games designed to keep them fun. players will find a new dimension to the wii fit experience as they easily set their own customized workout routines or choose 20-, 30- or 40-minute workouts based on how much time they have available. users will also be able to choose from specialized workout routines that focus on an individual’s personal fitness goals or certain target areas. and with the addition of activities like skateboarding and rhythm kung fu, players will be using the wii balance board accessory in a variety of new and fun ways.
features

workouts combine the original wii fit activities and selections from 15 new balance games and six new strength training and yoga activities.
users can input the amount of time they want to spend on their workouts or select an area for personal improvement, and wii fit plus will suggest a number of diverse activities for them.
for the first time, users can mix and match which strength and yoga activities they prefer on a given day. the seamless exercise flows make it easier than ever for users to maintain their daily workout routines.
users might be asked to run an obstacle course across a series of platforms, zoom across a beach on a segway x2 personal transporter or flap their arms to help their hilarious chicken-suited characters aim for targets.
the range of games and customization options will make players want to play every day. they’ll be having so much fun that their workouts will seem to fly by in no time at all.
players also can see estimates of calories burned and can even activate a feature that lets them weigh their dogs or cats.
wii fit plus comes packaged with the wii balance board accessory. for people who already own wii fit, the wii fit plus disc will be available for purchase separately.
 ",0,0,0,0,0,0,0,0,0,0
FIFA 18," 
fifa 18 ultimate team birthday 
celebrate nine years of fut with sbcs, the fut birthday squad, and more!
the king of spain 
16 year old british wonderkid dhtekkz shocked the fifa world to take the fut champions cup crown in barcelona.
new fut 18 features 
build your very own ultimate team squad from thousands of players in the most popular mode in fifa. discover new daily objectives, compete for weekly rewards in squad battles, and watch the world’s best on the champions channel!
icon stories
fut icons stories - play with iconic legends of football at distinct periods of their career. each fut icon will have different items with unique attributes in fifa 18 ultimate team for you to try on your squad.
the world's game 
ea sports™ fifa 18* blurs the line between the virtual and real worlds, bringing to life the players, teams, and atmospheres of the world’s game.
the journey – hunter returns
after a breakthrough first year in the premier league, the whole world is talking about alex hunter. he's back for a second season and, following a tumultuous transfer saga, he'll have the chance to compete at some of the biggest clubs in world football.
real player motion technology 
the biggest step in gameplay innovation in franchise history, fifa 18 introduces real player motion technology*, an all-new animation system which unlocks a new level of responsiveness, and player personality – now cristiano ronaldo and other top players feel and move exactly like they do on the real pitch. 
source: easports.com
  ",0,5,0,0,0,0,0,1,0,0
FIFA 17, ,0,0,0,0,0,0,0,0,0,0
FIFA 19,"champions rise
the journey: champions
become a champion through the stories of alex hunter, danny williams, and kim hunter. each hero will face career-defining choices and football challenges on their journey, as you guide these three stars to glory in either the uefa champions league or on the international stage.
fifa 19 ultimate team
build your dream squad from thousands of players and compete in the most popular mode in fifa. new fut 19 features include live content from the uefa champions league, all-new online match mode division rivals, and more.
uefa champions league
experience the world’s most prestigious club competition with the addition of the uefa champions league. the legendary tournament is woven into every mode in fifa 19, introducing brand new ways to play.
new gameplay features
from tactical approach to every technical touch, control the pitch in every moment with new gameplay features in ea sports fifa 19. the brand-new active touch system allows for closer control, dynamic tactics enables deeper and more accessible squad setups, 50/50 battles enables greater physicality and more user skill when challenging for loose balls, and timed finishing elevates user control in striking.
source: https://www.easports.com/fifa
",0,3,0,0,2,0,0,1,1,0
FIFA 16, ,0,0,0,0,0,0,0,0,0,0
FIFA 13,"fifa 13 captures all the drama and unpredictability of real world football. this year, the game creates a true battle for possession across the entire pitch, and delivers freedom and creativity in the attack.
 
source from the back of the box. ",0,1,0,0,0,0,0,0,0,0
Zumba Fitness,"
bring the exhilarating zumba fitness partytm right  into your living room! the zumba program pairs red hot international  dance steps with sexy latin music to create an ultra fun fitness party  on your console that's focused on the joy of movement. follow along as  zumba instructor fan favorites tanya beardsley, gina grant and zumba's  creator beto guide you through 30 routines that will make you forget you  are even exercising!

bring the ultimate zumba fitness experience home with you in the first interactive game based on the successful brand!
learn and perfect nine different dance styles: reggaeton, merengue, salsa, cumbia, hip-hop, mambo, rumba, flamenco and calypso
includes 30 zumba routines-some exclusive to the game-designed by zumba creator beto and his core group of celebrity instructors
build strength, tone and endurance as you dance to 30 official zumba music tracks, some created exclusively for the videogame
follow  your on-screen zumba instructor's routine in a high voltage party  atmosphere. as you fine tune the steps, the stage transforms and the  party and crowd become more dynamic. 
wear the included zumba belt to holster your wii remote and dance hands free as your hips match the rhythm.
supports up to four players. team up and try to earn the highest workout score as a group or play against each other in zumba attack! mode for the ultimate fitness dance off.
dance  in a range of venues: learn the basics in the zumba gym and then take   the party to a fantasy night club, an industrial factory, a skyscraper  rooftop and a zumbathon® stadium   
includes ""learn the steps"" training, beginner, intermediate and advanced routines for all skill levels 
cool post-processed video-based aesthetic brings the party to life

http://majescoentertainment.com/games/nintendo-wii/zumba-fitness/ ",0,0,0,0,0,0,0,0,0,0
