Name,Summary,yabou,gundam,tycoon,armies,command,sd,rts,units,worms,strategy
RollerCoaster Tycoon 3,"one ride you cant get off!open the gates to the amusement park of your dreams. pack it with fantastic rides, cool concession stands, custom themes and rollercoasters that you design. create pyrotechnic wonders with the fireworks mixmaster. grab the front seat for the ride of your life! ",0,0,0,0,0,0,0,0,0,0
StarCraft,"a galaxy in chaos...
in the distant future a small group of human exiles have been doomed to fight for survival on the edge of the galaxy. through military strength, espionage and deceit, a unified terran government has maintained an uneasy peace. as resources run short, however, these confederate nations find themselves looking towards the rich worlds of their alien neighbors, the enigmatic protoss. to further complicate matters, it seems that a previously unknown and deadly species known only as the zerg has entered protoss space and is destroying everything in its path. the time for war has come... 

intense real-time strategy - as the military leader for your species, you must gather the resources you need to train and expand your forces and lead them to victory. 30 unique missions will challenge you across three different campaigns as you control the fate of the galaxy.
three unique species - control any of three different species, each with unique units, technologies, attributes, and abilities.
multiplayer mayhem - multiplayer games for up to 8 players over ipx networks and battle.net®, 4 players with direct cable connection, and 2 players with modem connection.
customize - included campaign editor allows players to edit units and create their own campaigns. 
additional features - starcraft boasts award-winning advanced control features, such as waypoints and training queues, to provide enhanced gameplay. in addition to the intuitive interface, starcraft has the superb graphics and outstanding sound and music that have come to be expected from blizzard 

*blizzard ",0,0,0,0,0,0,0,1,0,1
Age of Empires II: HD Edition,"age of empires ii is the sequel to the award-winning, best-selling real-time strategy game age of empires. explore new maps, multiplayer scenarios, spectator mode, user-created content from the steam workshop and more in the hd edition re-release and the forgotten expansion.
features
advanced combat options
players can use garrisoning and military formations that add interesting tactical choices.
alternative to combat
players can improve the economy of their civilization through trade and diplomacy options.
diverse cultures
command one of 23 mighty civilizations, each with unique attributes, buildings, and technologies, as well as unique combat units.
achieve victory in many ways
choose your path to victory: be it the domination of enemy civilizations, or economic victory through the accumulation of wealth.
experience intense single & multiplayer gameplay
story-based campaigns focus on historical figures and their struggles, like william wallace, joan of arc, genghis khan and more.
ageofempires.com ",0,0,0,0,1,0,0,0,0,1
Pokemon Stadium,"ever wanted to see your glorious collection of pokemon in full 3-d? well now you have the chance.
pokemon stadium allows pokemon red/blue/yellow owners the chance to fight pokemon battles on their televisions, allowing you to transfer your collection onto your nintendo 64 and fight in a huge arena. seeing your pokemon in a much larger form is spectacular, and each attack you've given your pokemon can now be viewed in glorious colour, with every single move animated.
fan favourites such as charmander, pikachu and blastoise can now be seen in their full glory, and you can take your team into battle against a friends team or against a selection controlled by the computer.
as well as the customary battles, there are a selection of mini-games for you to enjoy, with the highlight a game where you have to devour a selection of food dishes on a moving rail, dodging the undercooked meals as you try to rack up a high score.
pokemon stadium is exclusive to the nintendo 64.
 
(submitted by colonelstubbs) ",0,0,0,0,0,0,0,0,0,0
Warzone 2100,"they said it would be the war to end all wars...remaining underground until it was safe, you emerge to find a barbaric world where you must fight in a bitter struggle for territory. warzone:2100 takes real time strategy gaming to an exciting new dimension. rediscover lost technologies design and develop the ultimate war machine! three unique campaigns packed with fast-action combat. only the most ruthless and cunning will control the warzone! ",0,0,0,0,0,0,0,0,0,1
StarCraft II: Wings of Liberty,"starcraft ii: wings of liberty is the long-awaited sequel to the original starcraft, blizzard entertainment’s critically acclaimed sci-fi real-time strategy game. starcraft ii: wings of liberty is both a challenging single-player game and a fast-paced multiplayer game, and it also taps into battle.net – blizzard entertainment’s fully-featured online gaming service.
the terrans, protoss, and zerg are the three “races” of starcraft ii, each featuring unique units, buildings, and game mechanics. they all offer different gameplay experiences tailored to different play styles; this section will familiarize you with each race.
 
from starcraft2.com ",0,0,0,0,0,0,0,0,0,1
Warcraft III: Reign of Chaos,"it has been nearly fifteen years since the war between the orcs and humans ended. an uneasy peace settled over the land while, for years, the drums of war were silent. yet the kingdoms of men grew complacent in their victory - and slowly, the defeated orcish clans regrouped under the banner of a new visionary leader. now a darker shadow has fallen over the world, threatening to extinguish all life - all hope. the drums of war play upon the winds once again - rising urgently towards the inevitable hour when the skies will rain fire - and the world will tremble before the coming of the burning legion. the day of judgment has come...
*from the official blizzard warcraft iii site ",0,0,0,0,0,0,0,0,0,0
Pokemon Trading Card Game,have you ever wanted to learn how to play the pokemon trading card game quick and easy. well this is the game for you. you can get your own deck of cards and battle other trainers. you learn the basics of the game and will be able to battle others with real pokemon cards in no time at all. ,0,0,0,0,0,0,0,0,0,0
Warcraft II: Tides of Darkness,"warcraft ii is the continuation of the ruthless clash between the armies of the noble humans and the brutish orcs. from the initial, unexpected invasion of the orcish horde to the quest of the great alliance to forever seal the dark portal that links their two worlds, you will experience the epic saga of the mighty battle to gain dominance over the kingdom of azeroth. along the way you'll need to carefully manage your limited resources to successfully construct and rule your medieval empire while engaging in real-time tactical warfare over land, sea and air.
*from the official blizzard warcraft ii site ",0,0,0,1,0,0,0,0,0,0
Command & Conquer: Red Alert,"surrender is not an option. dark experiments have permanently altered time. or have they? now, soviet tanks crush city after city while allied cruisers shell bases. spies lurk, land mines wait, and strange new technologies aid both sides in their struggle for ultimate control.command & conquer: red alert gives you the opportunity to be more devious, cunning and ruthless than ever before. easy to play and highly addictive, red alert puts the fate of the world in your hands!
[westwood] ",0,0,0,0,0,0,0,0,0,0
