Name,Summary,用途不明の丸い鏡とガラス玉のはまった妙な物体が入った小包が届けられる,titor,sern,hadron,worldline,microwave,collider,divergence,xblaze,steins
NEKOPARA Vol. 1, ,0,0,0,0,0,0,0,0,0,0
NEKOPARA Vol. 0, ,0,0,0,0,0,0,0,0,0,0
NEKOPARA Vol. 2,"rock band® track pack country™ is a standalone software product from the creators of rock band and rock band 2. the rock band platform lets you and your friends form your own band and live out your rock and roll fantasies to music’s greatest soundtrack—now with a down-home country twang! keep the party going with 21 seminal hits from the history of country music, hand-picked with care by harmonix. *does not require rock band® or rock band 2 ® to play!""
www.us.playstation.com
  ",0,0,0,0,0,0,0,0,0,0
Tricolour Lovestory, ,0,0,0,0,0,0,0,0,0,0
Hatoful Boyfriend,"

somebirdie to love
congratulations!  you’ve been accepted as the only human student at the prestigious st.  pigeonation’s institute, a school for talented pigeons.
roam the  halls and uncover dark secrets as a sophomore student at the world’s  greatest high school for birds. finding happiness won’t be easy, but  it’s not all academic - there’s always time for a little lovin’ in this  remake of hato moa’s [awesome] underground cult classic visual novel /  avian dating sim hatoful boyfriend.
source: https://www.mediatonicgames.com/hatoful-boyfriend

 ",0,0,0,0,0,0,0,0,0,0
NEKOPARA Vol. 3, ,0,0,0,0,0,0,0,0,0,0
The Lords of the Earth Flame, ,0,0,0,0,0,0,0,0,0,0
Russian Horror Story, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate, ,0,0,0,0,0,0,0,0,0,0
Super Star, ,0,0,0,0,0,0,0,0,0,0
Wishmaster, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate, ,0,0,0,0,0,0,0,0,0,0
Tears to Tiara II: Heir of the Overlord, ,0,0,0,0,0,0,0,0,0,0
Psycho-Pass: Mandatory Happiness, ,0,0,0,0,0,0,0,0,0,0
Utawarerumono: Mask of Truth, ,0,0,0,0,0,0,0,0,0,0
Fate/hollow ataraxia, ,0,0,0,0,0,0,0,0,0,0
Analogue: A Hate Story, ,0,0,0,0,0,0,0,0,0,0
Replica, ,0,0,0,0,0,0,0,0,0,0
fault - milestone one,"the first story in the fault series. the story begins in rughzenhaide, a kingdom that has long known peace. one night, a mysterious group of raiders attacks the kingdom's castle. the crown princess selphine and her guardian ritona are forced to escape the castle and go into hiding.‍however, their escape leads them to kadia, a city halfway around the world. completely lost, the two come across a girl named rune, who seems to be carrying secrets of her own...
source: official website ",0,0,0,0,0,0,0,0,0,0
Robotics;Notes, ,0,0,0,0,0,0,0,0,0,0
Utawarerumono: Mask of Truth, ,0,0,0,0,0,0,0,0,0,0
Uta no Prince-Sama: Debut, ,0,0,0,0,0,0,0,0,0,0
Tokyo Twilight Ghost Hunters, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate: Darling of Loving Vows, ,0,0,0,0,0,0,0,0,0,0
Tokimeki Memorial Girl's Side Premium: 3rd Story, ,0,0,0,0,0,0,0,0,0,0
Chaos;Child, ,0,0,0,0,0,0,0,0,0,0
The Silver Case, ,0,0,0,0,0,0,0,0,0,0
I Don't Have Many Friends Portable, ,0,0,0,0,0,0,0,0,0,0
Lucian Bee's: Justice Yellow / Evil Violet, ,0,0,0,0,0,0,0,0,0,0
Tokyo Twilight Ghost Hunters, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate: Senkei Kousoku no Phonogram, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate: Darling of Loving Vows, ,0,0,0,0,0,0,0,0,0,0
Fate/stay night [Realta Nua], ,0,0,0,0,0,0,0,0,0,0
Kyoukai Senjou no Horizon Portable, ,0,0,0,0,0,0,0,0,0,0
"Love, Election and Chocolate Portable", ,0,0,0,0,0,0,0,0,0,0
Bakemonogatari Portable, ,0,0,0,0,0,0,0,0,0,0
New Hayarigami, ,0,0,0,0,0,0,0,0,0,0
XBlaze Lost: Memories,"xblaze lost: memories is the sequel to 2013’s xblaze code: embryo, set 150 years prior to the blazblue series.
the heroine, known only as “me”, lived with her younger sister on the  outskirts of magister’s city, ishana. however, one day her younger  sister goes missing, and after being engulfed in an azure light, the  heroine finds herself in a strange dimension called the “phantom field”  with no memories. with the help of a mysterious woman called “nobody”,  she must now search the phantom field for memory fragments, as well as  her sister. experience all of the twists and turns in this engaging  visual novel!
source: https://arcsystemworks.com/game/xblaze-lostmemories/ ",0,0,0,0,0,0,0,0,2,0
Amnesia: Crowd, ,0,0,0,0,0,0,0,0,0,0
Diabolik Lovers, ,0,0,0,0,0,0,0,0,0,0
Amnesia Later, ,0,0,0,0,0,0,0,0,0,0
Hakuouki SSL: Sweet School Life, ,0,0,0,0,0,0,0,0,0,0
Aokana: Four Rhythm Across the Blue, ,0,0,0,0,0,0,0,0,0,0
Kenka Bancho Otome, ,0,0,0,0,0,0,0,0,0,0
Utawarerumono: Mask of Truth, ,0,0,0,0,0,0,0,0,0,0
Psycho-Pass: Mandatory Happiness, ,0,0,0,0,0,0,0,0,0,0
Zero Escape: Virtue's Last Reward,"follow-up  to 2010’s award-winning puzzle adventure nine hours, nine persons, nine  doors – virtue’s last reward is full of conspiracies, huge plot twists,  amazing characters, and so much more. with multiple different possible  endings, virtue’s last reward will continue to thrill and surprise right  to the finish. 
kidnapped and taken to a mysterious warehouse, sigma awakens in an  elevator with a girl named phi.  he soon discovers that there are seven  others playing a sick game of life or death with guidance from a  mysterious rabbit named zero iii.  their mission: survive and escape the  warehouse.  but with secrets, betrayal and intrigue everywhere, who  will survive this warehouse of hell?
features

heralded beginnings – successor to the highly acclaimed ‘9 hours, 9 persons, 9 doors’ with some old friends joining the new cast
beautifully original – visual elements masterfully rendered in 3d and featuring original japanese voice with english subtitles
different gameplay experiences – two types of gameplay,  ‘novel’ and ‘escape’ sections, offer players a chance to drastically  change outcomes and solve complex puzzles
multiple  endings – play different timelines and find the one true ending

source: publisher ",0,0,0,0,0,0,0,0,0,0
Code: Realize - Bouquet of Rainbows, ,0,0,0,0,0,0,0,0,0,0
Aokana: Four Rhythm Across the Blue, ,0,0,0,0,0,0,0,0,0,0
Root Letter, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate Elite,"follow a group of young, tech-savvy “lab members” who discover the means of changing the past via e-mail using a modified microwave. their experiments in pushing the boundaries of time begin to spiral out of control as they become entangled in a conspiracy surrounding sern, the organization behind the large hadron collider, and john titor, who claims to be from a dystopian future.
features:

fully animated adventure – indulge in all the beautiful animation from 24 episodes of the steins;gate anime.
a new way to time leap – experience the world of steins;gate with this remastered, ultimate version that features newly animated sequences for certain endings.
branching storylines – every choice you make has its own consequence, shifting the worldline closer or farther from reaching 1% divergence, providing a multitude of animated endings.

source: publisher ",0,0,0,1,1,0,0,0,0,0
Taishou x Alice: All in One,"「大正×対称アリス」は、女性向けコンテンツブランド「primula」より2015年に発売された全4巻のpc用アドベンチャーゲーム（全年齢対象）で、2016年には全4巻が1つになったps vita用ソフト「大正×対称アリス all in one」が発売され、好評を博しています。物語の舞台は、全てがあべこべな鏡の国。「シンデレラ」や「赤ずきん」などの童話をモチーフに、性別が逆転した童話のキャラクターたちとのちょっぴり不思議で歪な物語が紡がれていきます。また、各攻略対象キャラクターの物語はそれぞれが独立した物語で、キャラクターの立場や関係性も異なるオムニバス形式になっており、7人の攻略対象キャラクターごとに異なった物語を楽しむことができます。美しいグラフィックと音楽と共に綴られる夢見るおとぎ話が、描き下ろしイベントスチルとビジュアルノベルを追加してnintendo switch™に登場します！
source: prototype ",0,0,0,0,0,0,0,0,0,0
Steins;Gate: Senkei Kousoku no Phonogram, ,0,0,0,0,0,0,0,0,0,0
Dunamis 15, ,0,0,0,0,0,0,0,0,0,0
Collar x Malice: Unlimited, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate Elite,"follow a group of young, tech-savvy “lab members” who discover the means of changing the past via e-mail using a modified microwave. their experiments in pushing the boundaries of time begin to spiral out of control as they become entangled in a conspiracy surrounding sern, the organization behind the large hadron collider, and john titor, who claims to be from a dystopian future.
features:

fully animated adventure – indulge in all the beautiful animation from 24 episodes of the steins;gate anime.
a new way to time leap – experience the world of steins;gate with this remastered, ultimate version that features newly animated sequences for certain endings.
branching storylines – every choice you make has its own consequence, shifting the worldline closer or farther from reaching 1% divergence, providing a multitude of animated endings.

source: publisher ",0,0,0,1,1,0,0,0,0,0
428: Shibuya Scramble, ,0,0,0,0,0,0,0,0,0,0
Robotics;Notes, ,0,0,0,0,0,0,0,0,0,0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,"物語主人公・有馬たくやは幼少期に母を亡くし、歴史学者である父も二ヶ月前に事故で亡くしてしまった。
全てにおいて活力を失ってしまった高校生最後の夏休み。ある日、用途不明の丸い鏡とガラス玉のはまった妙な物体が入った小包が届けられる。同梱されていた手紙には父親が生きていると思わせる内容が…？！
「今夜10時に、この物体を持って剣ノ岬（三角山）へ行け」
指示に従いその場へ向かうと、謎の女性が倒れていた。そこには学園長と謎の転校生の姿も。
瞬間、地響きとともに光に包まれる…。並列世界を駆け巡る旅が、今、始まる。
source: official website ",0,0,0,0,0,0,0,0,0,0
Steins;Gate: Darling of Loving Vows, ,0,0,0,0,0,0,0,0,0,0
Higurashi no Naku Koro ni Hou,"



although the release for this visual novel also contains all the higurashi sound novels 07th expansion previously released, this entry is only concerned with the completely new content featured in the release:
• higurashi outbreak• higurashi outbreak ~kami kashimashi-hen~• hinamizawa bus stop


 ",0,0,0,0,0,0,0,0,0,0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,"物語主人公・有馬たくやは幼少期に母を亡くし、歴史学者である父も二ヶ月前に事故で亡くしてしまった。
全てにおいて活力を失ってしまった高校生最後の夏休み。ある日、用途不明の丸い鏡とガラス玉のはまった妙な物体が入った小包が届けられる。同梱されていた手紙には父親が生きていると思わせる内容が…？！
「今夜10時に、この物体を持って剣ノ岬（三角山）へ行け」
指示に従いその場へ向かうと、謎の女性が倒れていた。そこには学園長と謎の転校生の姿も。
瞬間、地響きとともに光に包まれる…。並列世界を駆け巡る旅が、今、始まる。
source: official website ",0,0,0,0,0,0,0,0,0,0
Psycho-Pass: Mandatory Happiness, ,0,0,0,0,0,0,0,0,0,0
Robotics;Notes, ,0,0,0,0,0,0,0,0,0,0
XBlaze Lost: Memories,"xblaze lost: memories is the sequel to 2013’s xblaze code: embryo, set 150 years prior to the blazblue series.
the heroine, known only as “me”, lived with her younger sister on the  outskirts of magister’s city, ishana. however, one day her younger  sister goes missing, and after being engulfed in an azure light, the  heroine finds herself in a strange dimension called the “phantom field”  with no memories. with the help of a mysterious woman called “nobody”,  she must now search the phantom field for memory fragments, as well as  her sister. experience all of the twists and turns in this engaging  visual novel!
source: https://arcsystemworks.com/game/xblaze-lostmemories/ ",0,0,0,0,0,0,0,0,2,0
Chaos;Child, ,0,0,0,0,0,0,0,0,0,0
Chaos;Child, ,0,0,0,0,0,0,0,0,0,0
Memories Off: Yubikiri no Kikou, ,0,0,0,0,0,0,0,0,0,0
Dunamis 15, ,0,0,0,0,0,0,0,0,0,0
Reine des Fleurs,"かつて、滅びかけた世界に手を差し伸べた、ひとりの女神がいた。
女神は彼女に従う４人の騎士たちと共に、荒れた地を癒し、摩耗した命を育む力【グラース】によって世界を救った。以後、眠りについた女神の意思は、女神の依代【レーヌ】と、地上より選ばれた４人の騎士たちによって受け継がれ、世界は女神の恩寵を受けながら発展を遂げていく。しかし、ある時を境に、代々受け継がれていたレーヌが空座となる。グラースの供給は滞り、世界は再び闇に包まれようとしていた。そしてようやく誕生したのが、次代のレーヌ――ヴィオレット。彼女は慣例に従い、女王の騎士となる４人の騎士たちを選出する。しかし、長い空座の影響か、彼らの心はレーヌとの絆を拒んでいた。世界にグラースを供給するには、騎士たちの協力が不可欠である。ヴィオレットは彼らの信頼と忠誠を得るため、動き出す――
source: otomate ",0,0,0,0,0,0,0,0,0,0
"Sharin no Kuni, Himawari no Shoujo", ,0,0,0,0,0,0,0,0,0,0
Pioneer no Banshou, ,0,0,0,0,0,0,0,0,0,0
Harukanaru Toki no Naka de Ultimate, ,0,0,0,0,0,0,0,0,0,0
Ikemen Sengoku: Toki o Kakeru Koi - Aratanaru Deai, ,0,0,0,0,0,0,0,0,0,0
La Corda d'Oro 3, ,0,0,0,0,0,0,0,0,0,0
Chaos;Head Dual, ,0,0,0,0,0,0,0,0,0,0
Killer and Strawberry, ,0,0,0,0,0,0,0,0,0,0
London Detective Mysteria, ,0,0,0,0,0,0,0,0,0,0
Chaos;Child: Love Chu Chu!!, ,0,0,0,0,0,0,0,0,0,0
Doukoku Soshite... Doukoku Soshite..., ,0,0,0,0,0,0,0,0,0,0
Tokimeki Restaurant: Project Tristars, ,0,0,0,0,0,0,0,0,0,0
"Tengai ni Mau, Iki na Hana", ,0,0,0,0,0,0,0,0,0,0
Memories Off 6: Next Relation,"memories off 6: next relation is an adventure game, developed and published by 5pb,  which was released in japan in 2010. ",0,0,0,0,0,0,0,0,0,0
Chaos;Child: Love Chu Chu!!, ,0,0,0,0,0,0,0,0,0,0
Doukoku Soshite... Doukoku Soshite..., ,0,0,0,0,0,0,0,0,0,0
VA-11 HALL-A, ,0,0,0,0,0,0,0,0,0,0
Steins;Gate Elite,"follow a group of young, tech-savvy “lab members” who discover the means of changing the past via e-mail using a modified microwave. their experiments in pushing the boundaries of time begin to spiral out of control as they become entangled in a conspiracy surrounding sern, the organization behind the large hadron collider, and john titor, who claims to be from a dystopian future.
features:

fully animated adventure – indulge in all the beautiful animation from 24 episodes of the steins;gate anime.
a new way to time leap – experience the world of steins;gate with this remastered, ultimate version that features newly animated sequences for certain endings.
branching storylines – every choice you make has its own consequence, shifting the worldline closer or farther from reaching 1% divergence, providing a multitude of animated endings.

source: publisher ",0,0,0,1,1,0,0,0,0,0
Clannad, ,0,0,0,0,0,0,0,0,0,0
Yoshiwara Higanbana Kuon no Chigiri, ,0,0,0,0,0,0,0,0,0,0
Vitamin X: Destination,"私立聖帝学園──。
日本トップクラスと名声の高いこの学園の卒業生徒達は各界に多大な影響を及ぼし、以前は学園内の落ちこぼれを集めた駄目クラスであったclassxも、今では勉強だけでなく一芸に秀でた生徒が望んで集まる人気のクラスになっていた。７年前、落ちこぼれ集団『b6』を更生させた伝説の女教師『南悠里』（名前変更可）は、その後海外を飛び回り世界中の生徒を相手に教鞭をふるっていたが、急きょ日本に呼び戻されることに。
source: publisher ",0,0,0,0,0,0,0,0,0,0
Grisaia Phantom Trigger 03 & 04, ,0,0,0,0,0,0,0,0,0,0
Maitetsu: Pure Station, ,0,0,0,0,0,0,0,0,0,0
Memories Off: Innocent File, ,0,0,0,0,0,0,0,0,0,0
Flowers: Le volume sur hiver, ,0,0,0,0,0,0,0,0,0,0
Nil Admirari no Tenbin: Irodori Nadeshiko, ,0,0,0,0,0,0,0,0,0,0
Sengoku Hime 7: Sen'un Tsuranuku Guren no Ishi, ,0,0,0,0,0,0,0,0,0,0
Kimi no Hitomi ni Hit Me, ,0,0,0,0,0,0,0,0,0,0
Amaekata wa Kanojo Nari ni., ,0,0,0,0,0,0,0,0,0,0
Lucky Dog 1,"developed by tennenouji, lucky dog 1 is a bl visual novel set in the united states in the 1930s, where mafia  member lucky dog (giancarlo bourbon del monto) and 4 other members of mafia group called cr-5 are locked in prison. one  day, they all receive letters from their boss, stating that if gian  successfully breaks all five of them out of the prison, he will become  the boss of the cr-5. the group decides to give it a try.
source: versusevil ",0,0,0,0,0,0,0,0,0,0
Shiro to Kuro no Alice: Twilight Line, ,0,0,0,0,0,0,0,0,0,0
Cafe Cuillere, ,0,0,0,0,0,0,0,0,0,0
Koshotengai no Hashihime Noma, ,0,0,0,0,0,0,0,0,0,0
Saiaku Naru Saiyaku Ningen ni Sasagu, ,0,0,0,0,0,0,0,0,0,0
Amatsutsumi, ,0,0,0,0,0,0,0,0,0,0
Dance with Devils: My Carol, ,0,0,0,0,0,0,0,0,0,0
Memories Off: Innocent File, ,0,0,0,0,0,0,0,0,0,0
World End Syndrome,"arc system works brings a new visual novel to the west! mixing romance with murders and the living dead, world end syndrome is a gripping story that will make you shiver but ask for more! arrive in a beautiful seaside town and join the local school's clubs, before a dead body drifts on the shores of the river and it's up to you and your friends to figure out if the legend of the yomibito is true and what it means for the town.
source: publisher's website. ",0,0,0,0,0,0,0,0,0,0
Sweet Pool, ,0,0,0,0,0,0,0,0,0,0
